,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,106.64,107.16,106.36,106.89,4226122,47753,106.824008,106.71,True,True,120425.0
1,2021-07-01,107.24,108.81,107.11,108.34,3188209,39258,108.249763,107.94,True,True,63580.0
2,2021-07-02,108.87,109.54,108.47,109.27,3260424,35909,109.037115,108.6963,True,True,157794.0
3,2021-07-06,109.18,109.49,108.07,108.7,3822523,44193,108.576063,108.42,False,True,132845.0
4,2021-07-07,109.05,109.68,108.81,109.14,3250205,37551,109.221317,108.88,False,True,89538.0
5,2021-07-08,108.23,108.45,107.27,107.74,3185298,47156,107.774913,107.58,False,True,46152.0
6,2021-07-09,108.5,109.48,108.39,108.94,2855699,39564,108.962221,108.78,False,True,91297.0
7,2021-07-12,108.24,109.03,107.79,108.83,3113269,37486,108.592191,108.44,True,True,54004.0
8,2021-07-13,109.11,110.59,108.9,110.09,4107071,50064,109.953389,110.35,True,False,147750.0
9,2021-07-14,110.08,110.505,109.42,109.74,3653564,43530,109.894254,110.23,True,False,197728.0
10,2021-07-15,109.66,111.01,109.5,110.8,3605033,44830,110.520137,109.81,False,True,104364.0
11,2021-07-16,111.52,112.47,111.16,111.2,3579353,46433,111.643417,112.35,True,False,237945.0
12,2021-07-19,110.02,110.18,106.05,106.66,4771644,65332,106.943187,107.08,True,False,146669.0
13,2021-07-20,106.98,109.73,106.73,108.84,4613532,54707,108.79471,107.81,True,True,87815.0
14,2021-07-21,109.0,110.18,108.57,110.04,2759443,35974,109.8193,109.7,False,True,81420.0
15,2021-07-22,110.47,110.48,108.955,110.05,3061335,36551,109.835759,110.09,True,False,63968.0
16,2021-07-23,110.65,112.16,110.26,111.79,3534940,38269,111.598683,111.55,True,True,169552.0
17,2021-07-26,111.64,111.93,110.68,111.35,3398238,43363,111.259876,111.068,True,True,75156.0
18,2021-07-27,113.0,117.0,112.5,114.68,8277459,92605,115.210654,115.275,False,False,269153.0
19,2021-07-28,115.27,115.53,112.88,113.91,3913599,54361,113.669747,113.435,True,True,175983.0
20,2021-07-29,114.55,115.6201,114.33,114.46,2875983,36755,114.87042,115.37,True,False,80285.0
21,2021-07-30,113.79,115.38,113.6,115.11,3432633,40165,114.89265,114.32,False,True,53571.0
22,2021-08-02,115.99,116.04,109.0013,109.75,7405635,94682,110.715707,113.125,False,False,294264.0
23,2021-08-03,110.09,110.515,105.89,108.2,8628905,92735,107.909278,106.43,False,True,349622.0
24,2021-08-04,107.59,109.35,106.35,108.74,6079720,66706,108.187333,107.71,False,True,172503.0
25,2021-08-05,108.97,110.8,108.77,109.64,3639925,42298,109.898806,110.485,True,False,123912.0
26,2021-08-06,109.59,111.71,109.22,110.89,4888430,50265,110.710505,109.435,False,True,121151.0
27,2021-08-09,110.82,110.97,109.94,110.32,2349870,31947,110.327396,110.21,False,True,59581.0
28,2021-08-10,110.87,111.105,110.3,111.0,2926532,35621,110.854769,110.59,False,True,148021.0
29,2021-08-11,111.5,112.17,110.62,111.81,2614116,34831,111.661128,111.22,False,True,80331.0
30,2021-08-12,111.63,111.746,110.6,110.96,2179062,32117,110.964583,111.325,False,False,49108.0
31,2021-08-13,111.79,112.2899,111.27,111.62,1983460,25310,111.593071,111.58,False,True,40203.0
32,2021-08-16,111.13,112.43,110.22,112.34,3147954,39895,111.744173,111.05,True,True,147803.0
33,2021-08-17,111.72,113.47,111.42,112.93,5028532,58459,112.819882,112.79,True,True,140055.0
34,2021-08-18,112.5,115.31,112.035,114.26,5534346,56762,114.465945,114.64,True,False,130851.0
35,2021-08-19,114.07,119.86,112.54,116.25,10272381,104669,116.426417,112.73,False,True,157352.0
36,2021-08-20,116.8,117.9,115.82,116.09,5857670,66049,116.765169,116.43,False,False,184861.0
37,2021-08-23,116.3,117.9692,116.06,117.87,2878203,38451,117.417176,116.795,False,True,89735.0
38,2021-08-24,118.23,119.43,117.87,118.62,3591932,40750,118.577368,118.875,False,False,108415.0
39,2021-08-25,118.75,119.51,118.0413,119.11,2366289,34405,119.036621,118.7613,True,True,85716.0
40,2021-08-26,118.67,118.95,117.37,117.41,2405948,35065,118.051644,118.08,False,False,79155.0
41,2021-08-27,117.56,118.33,117.35,117.94,2447468,32376,117.914549,117.96,False,False,61375.0
42,2021-08-30,117.22,118.07,116.0,116.96,3211241,38369,116.787723,116.28,True,True,339226.0
43,2021-08-31,117.69,118.1,116.69,117.79,3423855,42778,117.568812,117.02,True,True,87819.0
44,2021-09-01,117.99,118.83,117.5812,118.34,3307348,41963,118.242156,118.13,True,True,97853.0
45,2021-09-02,118.93,118.99,115.51,115.83,3308477,45884,116.181781,116.41,True,False,138678.0
46,2021-09-03,115.5,116.28,115.16,115.66,2429412,34564,115.765396,115.6886,False,False,87658.0
47,2021-09-07,115.65,116.29,114.87,115.0,4330769,41659,115.13754,115.38,True,False,176026.0
48,2021-09-08,114.99,117.42,114.61,117.0,4727732,55115,116.4168,115.41,True,True,163846.0
49,2021-09-09,117.0,117.21,114.85,115.01,3121674,39453,115.781927,116.6,False,False,62193.0
50,2021-09-10,115.4,115.6762,110.58,110.68,5276094,59816,111.546756,111.83,False,False,289044.0
51,2021-09-13,110.83,112.17,109.43,110.07,4343882,57357,110.348667,110.14,False,False,260068.0
52,2021-09-14,110.25,110.32,106.48,107.39,5271221,63829,107.845859,108.6,False,False,114697.0
53,2021-09-15,107.26,109.22,106.74,108.36,4741432,52416,108.079506,108.005,False,True,222763.0
54,2021-09-16,108.37,109.11,108.03,108.55,3682930,49097,108.509438,108.365,False,True,242020.0
55,2021-09-17,108.0,108.79,107.12,108.62,4687740,44971,108.232893,107.34,False,True,146565.0
56,2021-09-20,107.4,107.55,105.48,107.33,4639329,55612,106.641444,106.9462,True,True,99561.0
57,2021-09-21,107.655,107.93,105.99,106.21,3446048,40140,106.52112,106.355,False,False,129609.0
58,2021-09-22,106.86,109.45,106.72,108.69,3585024,45344,108.533824,107.91,True,True,73921.0
59,2021-09-23,108.83,110.7192,108.23,110.24,2988637,41905,110.091125,110.34,True,False,81809.0
60,2021-09-24,109.94,110.92,109.68,109.74,1987443,29632,110.116424,110.32,False,False,102461.0
61,2021-09-27,109.06,110.62,108.74,109.14,2724086,37402,109.401165,110.07,False,False,102980.0
62,2021-09-28,108.51,109.88,108.46,109.33,3631237,50376,109.149447,108.93,True,True,74773.0
63,2021-09-29,109.09,111.685,109.08,110.67,3660511,54916,110.780729,110.73,True,False,130845.0
64,2021-09-30,111.21,111.52,108.2,108.5,3874057,50220,109.125374,109.23,False,False,142840.0
65,2021-10-01,108.96,110.43,108.01,109.78,2168089,36752,109.367694,108.09,False,True,63233.0
66,2021-10-04,109.62,109.62,106.77,108.26,3221994,46075,107.865711,107.12,False,True,81109.0
67,2021-10-05,108.32,109.2208,107.63,108.02,2205608,30058,108.343163,109.03,False,False,55561.0
68,2021-10-06,107.18,108.62,106.06,108.48,2351779,33921,107.677493,107.21,False,True,68191.0
69,2021-10-07,109.28,110.5,108.84,109.26,1896174,29640,109.649556,109.965,True,False,49183.0
70,2021-10-08,109.4,110.06,107.72,107.89,2390740,33071,108.600265,109.79,False,False,86951.0
71,2021-10-11,107.73,107.84,103.61,103.77,3351412,42637,105.045099,107.495,True,False,39535.0
72,2021-10-12,104.16,105.68,103.38,104.3,2781206,39909,104.520653,104.47,True,False,141183.0
73,2021-10-13,104.51,104.97,102.68,104.34,2728637,36711,103.862409,103.47,True,True,68650.0
74,2021-10-14,105.34,108.02,105.18,107.78,2690723,37612,107.308991,106.12,False,True,142251.0
75,2021-10-15,108.11,110.16,108.31,109.8,3272964,38064,109.593867,109.77,True,True,68027.0
76,2021-10-18,108.7,110.8,107.7889,110.01,2849860,39524,109.907093,109.78,True,True,58046.0
77,2021-10-19,110.33,111.31,109.32,111.29,2432541,45202,110.747848,110.23,False,True,139720.0
78,2021-10-20,110.8,111.13,109.61,110.11,2610386,36187,110.210108,109.81,False,True,80753.0
79,2021-10-21,109.78,110.21,108.86,110.16,2113065,29809,109.73832,109.955,True,True,37133.0
80,2021-10-22,110.03,110.63,109.435,110.18,2125780,30015,110.113944,110.245,False,False,43814.0
81,2021-10-25,110.21,111.66,109.69,111.11,3671617,44220,110.790426,110.42,True,True,88719.0
82,2021-10-26,111.7,111.84,109.59,109.84,3266045,42039,110.394576,111.23,True,False,83780.0
83,2021-10-27,106.95,107.33,95.48,98.83,19365792,183822,99.065648,100.325,True,False,998549.0
84,2021-10-28,98.82,99.09,94.385,98.53,13315397,138731,97.507349,97.27,False,True,716768.0
85,2021-10-29,98.34,100.32,98.175,98.49,5064638,60834,98.716803,99.07,False,False,191966.0
86,2021-11-01,98.71,102.29,98.33,101.99,5477542,67113,101.217698,100.69,True,True,223395.0
87,2021-11-02,101.28,101.59,95.74,99.38,10161111,99280,98.591464,96.25,False,True,515526.0
88,2021-11-03,99.63,101.59,99.25,101.46,5968868,73992,100.960711,100.8,False,True,151408.0
89,2021-11-04,102.04,104.77,100.34,101.97,6561094,82791,102.293138,102.96,True,False,329272.0
90,2021-11-05,102.37,103.75,99.81,100.36,5415484,81280,100.739457,100.095,False,True,156021.0
91,2021-11-08,100.47,100.83,99.4,100.02,4591716,57098,100.15264,100.11,False,False,354901.0
92,2021-11-09,99.75,100.49,98.68,99.62,4378623,54642,99.443591,99.46,False,True,278782.0
93,2021-11-10,100.0,101.275,99.51,100.25,6115377,64588,100.416067,100.36,True,False,403770.0
94,2021-11-11,100.29,100.82,99.77,99.92,3746918,46961,100.148634,100.01,False,False,255524.0
95,2021-11-12,100.32,101.7,100.15,100.82,3677809,47101,100.915302,101.085,True,False,254770.0
96,2021-11-15,100.86,102.381,100.75,101.84,3721859,48646,101.812903,101.7511,True,True,183339.0
97,2021-11-16,102.07,103.05,101.765,102.11,4611647,54148,102.211398,102.6,True,False,171857.0
98,2021-11-17,101.39,101.59,98.21,100.88,8001250,77246,100.009338,100.46,False,True,421410.0
99,2021-11-18,100.77,101.46,98.74,101.25,6304400,70053,100.449421,99.715,False,True,285784.0
100,2021-11-19,101.33,101.67,99.675,100.06,6569288,65672,100.170427,100.82,False,False,417998.0
