,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,38.07,38.42,38.01,38.23,3252841,26798,38.219104,38.31,True,False,114633.0
1,2021-07-01,38.59,38.83,38.31,38.74,2908235,32805,38.663109,38.59,False,True,87340.0
2,2021-07-02,38.74,38.87,38.275,38.44,2705425,25276,38.475342,38.52,False,False,105204.0
3,2021-07-06,38.25,38.305,37.07,37.32,4088903,38582,37.376712,37.38,True,False,130414.0
4,2021-07-07,36.95,37.46,36.86,37.07,3748251,36477,37.139948,36.96,False,True,190499.0
5,2021-07-08,36.35,36.95,36.07,36.55,8056647,64757,36.478545,36.53,True,True,214017.0
6,2021-07-09,37.27,38.12,37.01,38.08,4129010,40352,37.794884,37.685,False,True,140617.0
7,2021-07-12,37.55,38.54,37.23,38.39,3583981,30468,38.230249,38.12,False,True,94984.0
8,2021-07-13,38.44,38.44,37.46,37.57,4152186,42613,37.701463,37.63,False,False,92749.0
9,2021-07-14,37.72,38.16,36.775,37.38,3616609,30135,37.282604,37.23,False,True,111048.0
10,2021-07-15,37.08,38.035,36.9,37.77,3371946,35668,37.656652,37.66,True,True,80920.0
11,2021-07-16,37.89,37.91,36.29,36.4,3574999,31021,36.768074,36.96,False,False,134830.0
12,2021-07-19,35.32,35.78,34.35,34.63,7337064,58294,34.808961,35.43,True,False,185748.0
13,2021-07-20,34.55,36.41,34.37,35.96,5525847,46170,35.818785,35.81,False,True,173405.0
14,2021-07-21,36.42,37.23,36.26,36.88,7158698,50433,36.911294,36.85,False,True,358136.0
15,2021-07-22,36.41,36.89,35.66,36.02,6103118,53912,36.058776,35.975,True,True,234872.0
16,2021-07-23,36.34,36.7,35.57,35.78,4246055,39224,35.841408,35.91,True,False,160182.0
17,2021-07-26,36.0,36.6,35.89,36.32,5469549,41397,36.309874,36.43,False,False,264493.0
18,2021-07-27,35.61,36.5384,35.42,36.38,4164269,35652,36.249656,36.29,False,True,247597.0
19,2021-07-28,36.46,36.86,35.87,36.45,4875905,42809,36.423405,36.11,True,True,135878.0
20,2021-07-29,36.9,37.13,36.39,36.64,4178161,37756,36.760699,36.83,True,False,139505.0
21,2021-07-30,36.52,37.05,36.13,36.29,8233545,43403,36.360792,36.605,False,False,154602.0
22,2021-08-02,36.6,37.38,36.05,36.08,6324854,46972,36.419034,36.99,True,False,110924.0
23,2021-08-03,36.45,36.925,35.49,36.84,4349872,37413,36.501264,36.34,True,True,144372.0
24,2021-08-04,36.29,36.985,36.1,36.37,3943344,34609,36.571876,36.86,False,False,174208.0
25,2021-08-05,36.57,37.065,36.55,36.98,3507350,29558,36.894939,36.955,True,True,187830.0
26,2021-08-06,37.59,38.07,37.445,37.73,4425156,38209,37.74946,37.67,False,True,274476.0
27,2021-08-09,37.64,37.985,37.18,37.56,4633456,31742,37.62632,37.52,True,True,143278.0
28,2021-08-10,37.5,38.32,37.45,38.16,4016034,36851,38.017159,38.08,False,True,227347.0
29,2021-08-11,38.39,38.77,37.87,38.69,5222818,37464,38.598258,38.54,True,True,120294.0
30,2021-08-12,38.8,38.95,38.475,38.88,2966508,32314,38.7978,38.665,True,True,116888.0
31,2021-08-13,39.0,39.11,38.37,38.48,3648017,32528,38.613246,38.67,True,False,147931.0
32,2021-08-16,38.22,38.56,37.84,38.21,4036817,37908,38.179977,38.295,True,False,152656.0
33,2021-08-17,37.85,38.24,37.32,37.7,4707124,44889,37.712355,37.98,False,False,165853.0
34,2021-08-18,37.48,38.165,37.31,37.51,4818865,47606,37.806733,37.89,True,False,134224.0
35,2021-08-19,37.2,37.86,37.02,37.37,8395374,74398,37.376445,37.4,False,False,640164.0
36,2021-08-20,37.18,37.69,37.01,37.62,5018103,42585,37.502128,37.26,False,True,128978.0
37,2021-08-23,37.9,38.38,37.8,38.04,3646211,34209,38.127107,38.12,True,False,175652.0
38,2021-08-24,38.16,38.615,38.0,38.44,3517327,32436,38.440295,38.32,True,True,77475.0
39,2021-08-25,38.67,39.655,38.505,39.29,4570686,37844,39.250038,39.225,True,True,170427.0
