,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,254.7,257.91,252.83,256.06,1344250,14497,255.673056,255.53,True,True,7619.0
1,2021-07-01,257.44,258.91,255.65,256.51,1049325,16953,256.650212,257.25,False,False,10530.0
2,2021-07-02,258.42,260.97,257.25,259.5,1325235,18600,259.538942,258.16,False,True,30117.0
3,2021-07-06,259.61,260.49,254.455,256.46,1164571,18009,256.058658,256.88,False,False,61629.0
4,2021-07-07,257.21,258.42,252.4,256.69,693897,12316,255.385947,252.98,False,True,18234.0
5,2021-07-08,254.095,254.86,250.37,250.97,707814,13216,251.518157,252.0,True,False,9180.0
6,2021-07-09,252.55,254.25,252.32,253.03,571466,11114,253.250381,253.63,False,False,6551.0
7,2021-07-12,251.2,255.29,250.64,253.0,740965,13441,253.328944,254.91,True,False,9166.0
8,2021-07-13,253.04,253.73,250.88,251.31,565951,11685,251.717343,252.3,True,False,9926.0
9,2021-07-14,253.05,258.565,252.58,256.73,1192653,18309,255.899333,253.63,True,True,16574.0
10,2021-07-15,255.2,257.87,254.26,256.81,452256,10128,256.650844,257.19,False,False,10365.0
11,2021-07-16,258.5,258.66,254.59,255.18,441132,8733,255.756605,256.22,True,False,7201.0
12,2021-07-19,250.85,251.985,242.38,245.6,1078619,20711,245.106571,245.72,True,False,14053.0
13,2021-07-20,248.44,252.73,246.63,250.59,405036,10310,250.854574,250.11,False,True,7468.0
14,2021-07-21,251.9,256.135,251.9,254.83,579815,11276,254.769111,254.755,False,True,28732.0
15,2021-07-22,255.01,256.55,251.24,254.19,498715,9263,253.986813,253.965,True,True,24179.0
16,2021-07-23,256.5,259.965,255.47,257.08,556625,9890,257.626109,258.1,True,False,10085.0
17,2021-07-26,256.65,257.46,255.525,256.55,391084,8093,256.717421,256.445,True,True,30853.0
18,2021-07-27,254.7,259.612,254.47,256.94,423992,8280,257.387156,258.48,False,False,8981.0
19,2021-07-28,257.76,259.16,255.02,256.79,584519,8177,257.243907,255.57,True,True,7274.0
20,2021-07-29,258.6,263.215,256.8,259.98,505509,10050,260.629777,262.43,True,False,27269.0
21,2021-07-30,257.11,260.8,256.15,258.22,451917,10329,258.483349,257.83,False,True,13402.0
22,2021-08-02,259.97,261.89,253.59,253.98,502781,11773,257.071068,260.06,False,False,13629.0
23,2021-08-03,254.59,255.83,245.94,251.29,613375,12197,249.98497,247.46,False,True,9940.0
24,2021-08-04,250.38,251.3,245.79,247.6,711971,13667,248.033193,249.46,True,False,13594.0
25,2021-08-05,258.185,265.0,254.31,260.79,1052506,19957,260.239466,260.03,True,True,33156.0
26,2021-08-06,261.09,268.19,259.98,267.05,821763,18305,266.097812,262.695,False,True,25147.0
27,2021-08-09,265.88,265.88,261.99,262.27,974823,23389,263.100065,263.7,True,False,28831.0
28,2021-08-10,261.68,265.165,260.06,263.61,979097,16534,263.879119,263.795,False,False,27245.0
29,2021-08-11,244.82,258.52,240.17,257.86,1868469,27950,253.545164,250.72,False,True,71966.0
30,2021-08-12,256.49,261.285,253.29,259.0,971318,17552,258.701652,258.78,True,True,37279.0
31,2021-08-13,259.1,265.24,258.24,262.49,764846,16230,263.00393,263.04,False,False,21906.0
32,2021-08-16,261.34,262.07,257.32,261.12,535956,11157,260.715052,261.82,True,False,19265.0
33,2021-08-17,257.81,262.01,256.96,261.4,526003,12994,260.729136,260.77,True,True,15745.0
34,2021-08-18,261.22,264.32,258.4,258.46,518446,11990,260.88196,264.11,True,False,13046.0
35,2021-08-19,256.5,258.35,252.885,255.15,554149,13223,255.092564,253.1,False,True,15985.0
36,2021-08-20,255.15,258.03,253.37,257.83,459232,11200,256.234472,253.66,False,True,31176.0
37,2021-08-23,259.63,261.78,259.11,261.23,262469,7957,260.752073,259.63,True,True,8286.0
38,2021-08-24,262.005,265.63,261.41,263.86,606768,11914,264.251428,264.38,True,False,27110.0
39,2021-08-25,264.46,264.46,260.8,262.29,446802,8442,262.346881,261.74,True,True,16584.0
40,2021-08-26,261.39,262.26,256.67,256.81,368788,8701,257.759114,258.37,False,False,5793.0
41,2021-08-27,257.67,262.43,257.305,261.84,382464,10489,260.971957,259.58,False,True,12604.0
42,2021-08-30,261.86,262.91,259.09,260.09,586149,8891,260.453738,260.06,True,True,9551.0
43,2021-08-31,260.53,263.49,259.97,263.28,454024,9430,262.590295,262.065,False,True,5385.0
