,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,108.84,109.26,107.75,108.2,1368777,15108,108.228052,108.53,False,False,29479.0
1,2021-07-01,108.86,109.48,108.17,108.54,869882,14464,108.69451,109.16,True,False,37702.0
2,2021-07-02,108.6,108.8418,107.895,108.53,707494,11037,108.425125,108.34,False,True,15074.0
3,2021-07-06,108.2,108.5,105.39,106.71,919633,13468,106.577832,106.08,False,True,53243.0
4,2021-07-07,106.76,107.275,104.5,105.69,1035764,14681,105.313283,104.67,False,True,40549.0
5,2021-07-08,104.41,105.65,103.56,105.36,913856,12862,105.069449,104.395,False,True,14333.0
6,2021-07-09,106.77,107.92,105.53,107.66,1312065,13659,107.153034,106.44,False,True,42094.0
7,2021-07-12,106.95,109.135,106.56,108.77,1402110,18985,108.572425,107.96,False,True,19958.0
8,2021-07-13,108.525,108.8254,106.76,107.09,477339,8689,107.227399,107.0,False,True,7841.0
9,2021-07-14,107.48,108.62,107.02,107.21,560642,9317,107.471693,107.545,True,False,11191.0
10,2021-07-15,106.64,108.15,106.2,107.06,455914,8819,107.250034,107.69,False,False,15201.0
11,2021-07-16,107.49,107.6,104.89,105.14,513152,8808,105.546662,106.06,True,False,15934.0
12,2021-07-19,102.76,104.09,102.2,103.11,895560,15432,102.992283,103.34,True,False,28599.0
13,2021-07-20,102.84,104.4,102.45,103.34,641487,10410,103.626458,103.6915,False,False,10930.0
14,2021-07-21,104.5,105.48,104.0801,105.26,826260,9870,104.93778,104.26,True,True,43332.0
15,2021-07-22,105.13,105.98,104.2905,105.88,512377,9177,105.620018,105.34,True,True,9025.0
16,2021-07-23,106.02,106.62,105.72,106.35,511187,8867,106.242412,106.47,True,False,18298.0
17,2021-07-26,106.34,106.92,105.53,106.63,601382,9101,106.479528,106.03,False,True,38921.0
18,2021-07-27,105.58,106.92,104.8,106.23,412303,8248,106.081713,106.56,True,False,7962.0
19,2021-07-28,106.24,107.15,105.62,106.85,430689,7353,106.697378,106.22,True,True,7629.0
20,2021-07-29,107.87,107.955,106.73,106.92,773271,13527,107.198248,107.32,True,False,27050.0
21,2021-07-30,106.53,107.925,106.12,106.95,761659,10200,106.849477,106.12,False,True,18360.0
22,2021-08-02,107.68,108.22,105.82,106.6,816278,12985,106.644062,107.34,False,False,11839.0
23,2021-08-03,106.95,107.18,105.04,106.78,743959,11128,106.343071,106.49,True,True,15237.0
24,2021-08-04,105.1,106.8,98.58,98.63,1726658,24061,100.082061,100.89,False,False,43095.0
25,2021-08-05,98.02,98.66,92.85,93.23,3453592,35594,94.348773,95.25,False,False,240032.0
26,2021-08-06,93.65,95.7,93.5,95.31,2269134,24549,94.597368,94.13,False,True,91324.0
27,2021-08-09,95.39,96.44,94.39,95.95,912963,13429,95.796949,96.275,True,False,22658.0
28,2021-08-10,96.1,97.34,95.49,95.5,1040836,12580,96.036517,96.55,False,False,36364.0
29,2021-08-11,95.95,96.45,95.26,96.19,944596,12079,95.98905,96.035,True,True,14718.0
30,2021-08-12,95.67,96.2375,94.32,94.97,1050474,14537,95.019679,94.98,False,False,18128.0
31,2021-08-13,94.88,95.77,94.15,94.32,491330,8789,94.568756,94.97,False,False,7710.0
32,2021-08-16,93.51,94.0,92.37,92.8,804402,12425,92.905924,93.25,True,False,24681.0
33,2021-08-17,91.94,92.3,90.42,92.1,1235983,14600,91.410378,91.24,True,True,20735.0
34,2021-08-18,92.18,92.46,90.85,91.35,1063731,16245,91.387186,91.47,True,False,23631.0
35,2021-08-19,90.7,91.265,87.33,88.55,1268700,14878,88.805881,90.14,False,False,33367.0
36,2021-08-20,88.34,88.955,87.32,87.77,697116,11956,87.901878,88.075,False,False,11159.0
37,2021-08-23,88.48,89.6,87.27,89.09,1183502,12578,88.67896,87.56,True,True,48702.0
38,2021-08-24,89.65,91.07,89.65,90.75,1199347,13913,90.619833,90.36,True,True,45166.0
