,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,36.88,37.17,36.54,37.13,2276184,21046,36.998609,36.65,False,True,40751.0
1,2021-07-01,37.14,37.88,36.94,37.55,2437166,24491,37.62256,37.53,False,True,47040.0
2,2021-07-02,37.54,37.625,37.07,37.32,2012755,19489,37.343739,37.5,True,False,46345.0
3,2021-07-06,37.17,37.3,35.75,36.73,2665191,27832,36.4237,35.86,False,True,70593.0
4,2021-07-07,36.57,37.02,36.04,36.4,2598549,23032,36.428904,36.1,False,True,122881.0
5,2021-07-08,36.32,36.36,35.32,35.7,2423761,23871,35.851503,35.94,False,False,114305.0
6,2021-07-09,35.81,36.55,35.69,36.45,1724271,19655,36.302908,36.12,False,True,43596.0
7,2021-07-12,36.25,36.83,35.79,36.8,1859659,18784,36.553904,36.2,False,True,25533.0
8,2021-07-13,36.86,36.96,35.905,35.95,2335218,22602,36.214467,36.5534,False,False,32614.0
9,2021-07-14,36.19,36.54,35.98,36.36,1928164,20183,36.349941,36.355,True,True,80049.0
10,2021-07-15,36.3,36.49,35.765,35.84,1880995,21372,35.952684,36.03,False,False,36910.0
11,2021-07-16,35.7,36.005,35.22,35.28,2973873,26613,35.551866,35.659,True,False,41466.0
12,2021-07-19,34.87,35.18,34.51,34.72,3981377,34181,34.818223,35.02,True,False,116951.0
13,2021-07-20,34.84,35.105,34.46,34.97,2704061,26511,34.958379,34.895,False,True,51065.0
14,2021-07-21,35.04,36.37,35.04,36.19,4471625,38740,36.116057,35.94,False,True,86564.0
15,2021-07-22,36.15,36.29,35.37,36.0,2552188,22660,35.809977,35.735,True,True,32910.0
16,2021-07-23,36.03,36.245,35.725,36.19,1678593,20162,36.067101,35.95,True,True,69580.0
17,2021-07-26,36.18,36.84,36.11,36.56,2234686,24397,36.452385,36.6,True,False,183127.0
18,2021-07-27,36.17,36.53,35.99,36.2,1538535,16367,36.222899,36.405,True,False,37841.0
19,2021-07-28,36.27,36.66,35.55,36.32,1838323,22514,36.126767,35.76,True,True,39746.0
20,2021-07-29,36.41,36.93,36.185,36.3,2857535,32895,36.450242,36.55,True,False,50399.0
21,2021-07-30,36.14,36.39,35.54,35.66,2490755,25749,35.794355,35.985,True,False,122020.0
22,2021-08-02,35.75,35.95,35.5,35.64,2297233,27633,35.701799,35.65,True,False,54499.0
23,2021-08-03,35.49,35.785,34.16,35.03,2645303,27736,34.820425,34.45,True,True,91400.0
