,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,242.82,242.82,237.83,238.19,1091899,19130,239.51388,241.54,True,False,12410.0
1,2021-07-01,237.54,242.66,236.3601,242.34,1141024,22820,240.506278,239.97,False,True,43043.0
2,2021-07-02,243.88,248.725,243.46,248.04,732220,18219,247.158088,245.59,True,True,29440.0
3,2021-07-06,248.04,251.8474,245.68,251.15,1005461,20461,249.754063,250.3314,True,True,22659.0
4,2021-07-07,252.5,253.7899,246.7411,253.33,1079482,21860,251.654003,246.7791,False,True,53038.0
5,2021-07-08,249.82,254.477,245.616,252.93,900225,18741,252.22401,250.33,False,True,19305.0
6,2021-07-09,254.47,257.43,252.53,256.81,956268,18597,256.289991,256.875,True,False,31229.0
7,2021-07-12,257.83,259.47,254.765,255.79,820384,23266,256.492776,258.83,True,False,22520.0
8,2021-07-13,256.13,258.4499,253.995,257.04,506447,15225,256.957777,257.7573,True,False,17640.0
9,2021-07-14,258.88,258.665,253.63,255.84,731847,17913,256.067911,256.105,False,False,32498.0
10,2021-07-15,257.9,261.9,254.3118,256.3,1254375,22263,257.929298,258.715,False,False,56572.0
11,2021-07-16,258.84,262.7725,258.21,258.44,864483,19832,259.661809,260.695,True,False,27681.0
12,2021-07-19,254.88,258.3499,252.37,256.63,901722,24860,256.396426,255.35,False,True,25831.0
13,2021-07-20,259.07,265.15,258.0,263.84,785808,22668,262.994844,262.33,True,True,25196.0
14,2021-07-21,264.52,266.02,262.05,264.65,812732,19999,264.504089,264.5,True,True,20240.0
15,2021-07-22,266.28,271.4365,265.685,270.75,807563,19667,269.745865,270.19,True,True,35801.0
16,2021-07-23,270.6,276.09,268.62,275.71,821212,19559,273.951112,272.13,False,True,26497.0
17,2021-07-26,276.23,276.9976,272.14,272.34,670850,17290,273.471997,274.04,False,False,13448.0
18,2021-07-27,273.33,273.42,266.68,271.14,737258,20084,269.99234,269.02,False,True,29225.0
19,2021-07-28,272.43,273.82,269.0801,271.69,798203,16861,271.819316,270.6901,False,True,18581.0
20,2021-07-29,272.18,276.7029,272.17,274.21,965435,21117,273.740097,274.25,True,False,35665.0
21,2021-07-30,270.99,273.7799,250.0,272.24,1865686,41262,267.123,263.27,False,True,71338.0
22,2021-08-02,274.68,288.536,270.14,284.62,2041155,40818,282.731107,274.4298,True,True,49293.0
23,2021-08-03,285.44,298.0,285.0,297.76,1509160,34629,292.585647,287.7,False,True,85447.0
24,2021-08-04,296.92,305.6,293.45,304.02,1201521,28399,301.942181,300.48,True,True,50713.0
25,2021-08-05,304.89,306.51,298.27,300.02,1324007,28652,301.110726,299.51,False,True,55951.0
26,2021-08-06,298.55,303.77,296.0,303.68,795652,21254,301.644995,299.63,True,True,21509.0
27,2021-08-09,305.15,305.5,299.19,301.11,723849,17567,301.387024,300.93,False,True,31246.0
28,2021-08-10,301.53,304.355,298.1151,300.4,721661,17606,301.218405,301.85,False,False,19196.0
29,2021-08-11,301.43,302.98,293.7076,298.67,1026664,24795,297.810756,295.86,False,True,36400.0
30,2021-08-12,298.28,309.79,298.28,305.66,1156565,22324,305.958544,307.73,False,False,49009.0
31,2021-08-13,303.5,309.53,302.21,309.33,597558,16184,306.678854,304.72,False,True,22175.0
32,2021-08-16,308.24,309.0,298.67,302.44,756914,19394,302.382486,301.79,True,True,28319.0
33,2021-08-17,301.24,302.27,295.1895,298.63,894397,22957,297.954685,297.81,False,True,36597.0
34,2021-08-18,297.87,298.9,292.58,292.72,879196,21650,295.007379,295.71,True,False,31214.0
35,2021-08-19,289.23,298.58,286.26,295.78,817180,22215,294.97875,292.91,False,True,36518.0
36,2021-08-20,296.84,299.5852,295.33,297.94,731152,18731,297.720049,298.435,False,False,18061.0
37,2021-08-23,301.89,308.45,301.67,307.52,938500,20379,305.973337,304.705,True,True,28597.0
38,2021-08-24,307.95,308.01,299.12,299.84,1041493,25819,301.683794,302.32,False,False,35300.0
39,2021-08-25,300.94,307.84,300.18,306.03,801734,20816,305.437598,303.205,False,True,18667.0
40,2021-08-26,305.54,311.57,305.27,310.13,730736,21407,310.006119,307.615,False,True,23666.0
41,2021-08-27,312.05,317.44,308.8656,316.06,890471,24209,314.912601,312.81,False,True,28408.0
42,2021-08-30,319.0,321.9,318.0,319.39,677865,21514,320.083744,319.28,False,True,29170.0
43,2021-08-31,320.05,320.58,313.22,315.14,1169716,27156,315.098839,313.94,False,True,34178.0
44,2021-09-01,317.86,317.94,304.4279,308.47,1675780,43582,308.759581,309.52,False,False,110572.0
45,2021-09-02,311.32,316.8,310.46,313.9,814107,21561,313.853894,315.11,False,False,24817.0
46,2021-09-03,314.38,321.43,313.83,320.19,706661,19544,319.286726,317.11,False,True,37280.0
47,2021-09-07,321.5,322.0,312.4,314.08,812888,24919,315.052177,314.33,False,False,31742.0
48,2021-09-08,313.975,315.7362,308.05,309.2,1077914,24277,311.191447,312.88,False,False,19688.0
49,2021-09-09,309.2,313.235,309.1001,310.74,811790,19475,311.001974,312.39,True,False,31982.0
50,2021-09-10,313.23,314.82,308.5822,310.49,663165,17703,311.367234,309.42,False,True,22367.0
51,2021-09-13,311.05,311.44,294.2683,296.92,1775477,41506,298.39078,299.02,True,False,47007.0
52,2021-09-14,298.0,305.68,296.32,300.58,1239940,26291,301.653001,301.3,False,False,42592.0
53,2021-09-15,302.66,303.99,299.185,301.53,1005781,25920,301.919819,302.79,True,False,20467.0
54,2021-09-16,301.0,304.3798,298.57,304.06,670774,18441,302.461191,301.26,True,True,18178.0
55,2021-09-17,302.95,304.41,296.81,299.49,1554284,22838,299.555267,299.14,False,True,23474.0
56,2021-09-20,291.195,297.75,284.14,297.07,1034914,27715,294.450834,294.47,True,True,24810.0
57,2021-09-21,302.0,303.29,295.115,299.6,712818,19407,299.719774,296.98,False,True,26697.0
58,2021-09-22,300.6,303.185,297.3546,301.62,699435,17733,301.093992,302.67,True,False,16828.0
59,2021-09-23,304.47,311.45,302.37,310.54,974255,22108,308.806095,308.17,True,True,32721.0
60,2021-09-24,308.2,312.825,307.1196,311.9,655302,17685,310.450592,310.09,True,True,15488.0
61,2021-09-27,308.46,309.88,299.19,300.57,824625,20625,301.441075,302.45,False,False,29480.0
62,2021-09-28,297.71,300.95,287.07,287.88,1482612,36598,290.687948,291.86,True,False,51386.0
63,2021-09-29,291.63,294.03,288.08,288.83,1111473,29505,290.469214,290.91,True,False,48296.0
64,2021-09-30,289.68,295.12,288.39,292.04,858573,22341,292.744097,293.21,True,False,15460.0
65,2021-10-01,292.56,299.5,289.05,298.0,893707,23021,295.210682,290.765,True,True,38172.0
66,2021-10-04,294.33,294.33,284.77,288.87,1007902,28565,288.210236,288.97,False,False,48215.0
67,2021-10-05,293.65,301.0,291.62,298.52,1046484,27657,298.635754,297.94,True,True,28136.0
68,2021-10-06,293.67,304.71,292.891,301.8,828387,24999,300.972337,301.89,True,False,36572.0
69,2021-10-07,304.9,313.24,304.015,309.62,739285,21632,310.684713,311.89,False,False,18236.0
70,2021-10-08,311.12,312.2371,305.35,307.17,471220,15796,307.899516,307.21,False,False,16756.0
71,2021-10-11,305.1,309.11,302.8528,306.8,502877,15891,307.226908,308.525,True,False,15180.0
72,2021-10-12,310.86,310.86,305.7306,306.58,498829,14795,308.041209,306.87,False,False,10879.0
73,2021-10-13,308.9,314.0,308.0101,310.1,752655,21128,310.576125,311.14,True,False,26749.0
74,2021-10-14,315.0,318.88,311.1,313.81,889481,23889,313.817554,313.78,False,True,34310.0
75,2021-10-15,315.89,316.575,311.73,315.29,735975,20104,314.648924,314.78,False,True,22989.0
76,2021-10-18,315.46,326.89,315.46,326.74,923142,25502,324.602167,322.59,False,True,41907.0
77,2021-10-19,329.11,333.09,326.5,332.12,906267,23861,330.444213,328.39,False,True,26569.0
78,2021-10-20,333.57,336.61,328.62,333.45,702818,23399,333.043411,335.18,False,False,34543.0
79,2021-10-21,333.88,334.46,327.695,334.34,617231,17734,331.802443,328.94,True,True,36855.0
80,2021-10-22,334.25,338.8192,331.3001,335.29,449856,15760,334.990612,333.68,False,True,16299.0
81,2021-10-25,337.6,345.25,331.02,331.91,990391,30853,337.54184,342.325,True,False,23769.0
82,2021-10-26,333.51,334.1,320.0,322.63,1432996,38836,324.976474,327.345,True,False,40825.0
83,2021-10-27,324.12,328.524,320.22,320.61,692106,22736,322.298394,323.35,False,False,19021.0
84,2021-10-28,321.3,327.64,320.68,327.38,564915,15969,325.444897,326.84,True,True,21145.0
85,2021-10-29,325.26,337.94,325.0489,336.34,851878,21035,334.716453,331.16,True,True,28626.0
86,2021-11-01,336.49,337.99,319.06,324.11,1165749,34734,324.897785,327.5,False,False,54650.0
87,2021-11-02,325.32,331.98,324.709,328.43,766493,24572,327.960827,330.3,True,False,44363.0
88,2021-11-03,330.24,332.36,322.22,329.92,685930,22557,328.395368,326.54,True,True,35230.0
89,2021-11-04,328.66,338.5299,328.59,338.4,1149538,32373,335.877934,336.69,True,True,46964.0
90,2021-11-05,349.23,349.23,327.51,341.19,1679056,40476,338.322041,339.49,False,True,35022.0
91,2021-11-08,344.95,355.35,341.36,351.19,1317221,43182,350.226844,344.1562,False,True,80021.0
92,2021-11-09,351.97,354.14,343.31,349.06,1001007,31702,347.6479,350.06,False,False,100893.0
93,2021-11-10,345.67,346.0,329.4,333.16,1161720,36622,335.228236,336.57,False,False,145326.0
94,2021-11-11,338.06,339.91,334.54,336.88,660899,20894,336.837945,339.0,True,False,94892.0
95,2021-11-12,339.34,343.74,339.25,342.17,581096,18514,342.244952,340.0,True,True,32826.0
96,2021-11-15,344.05,344.7523,331.79,335.13,750918,24274,335.750703,337.52,False,False,71048.0
97,2021-11-16,332.11,342.48,332.11,341.01,678107,20563,340.220121,335.82,True,True,42641.0
98,2021-11-17,341.23,344.14,334.785,341.35,750809,19864,340.257122,336.505,False,True,38468.0
99,2021-11-18,341.0,346.4,338.0701,343.51,690234,20649,343.633989,340.7,True,True,36053.0
100,2021-11-19,346.86,350.64,341.92,342.51,721308,21145,344.705178,345.993,True,False,98693.0
101,2021-11-22,343.64,344.54,325.3083,330.8,1031701,30105,333.731697,338.055,False,False,53012.0
102,2021-11-23,326.62,333.15,318.265,327.48,1063120,32120,323.624717,330.42,True,False,48706.0
103,2021-11-24,325.1,333.38,319.97,333.24,587603,19563,330.512953,321.44,False,True,58682.0
104,2021-11-26,330.5,341.04,325.21,327.39,645925,17243,330.66209,334.86,True,False,80136.0
105,2021-11-29,331.93,345.5,331.83,343.3,1046947,29417,341.000947,335.74,True,True,117390.0
106,2021-11-30,344.01,347.77,330.5,332.11,1723265,32873,335.539145,341.94,False,False,77978.0
107,2021-12-01,338.04,338.05,304.51,305.26,2299030,52398,314.214333,325.97,False,False,113150.0
108,2021-12-02,305.26,314.6599,301.1,313.11,1692989,36306,311.330992,312.1699,True,True,117104.0
109,2021-12-03,311.03,313.2471,296.67,302.82,2112160,57089,302.708412,308.985,False,False,91868.0
110,2021-12-06,297.79,300.52,289.24,292.04,2257192,53315,293.033128,295.09,False,False,141249.0
111,2021-12-07,303.68,317.7,302.99,317.24,1289148,34199,314.956915,312.0,True,True,141983.0
112,2021-12-08,317.5,323.875,311.43,322.44,1026962,28888,320.394874,317.6031,True,True,62840.0
113,2021-12-09,322.88,324.46,314.84,316.42,807629,22641,318.691257,322.275,False,False,34992.0
114,2021-12-10,321.46,334.275,320.1,332.63,1378095,38028,330.013214,325.63,True,True,71092.0
115,2021-12-13,334.56,339.3763,328.75,331.6,1423928,42021,333.421388,337.62,True,False,154595.0
116,2021-12-14,322.79,323.15,306.08,315.8,1695783,48210,312.986509,319.69,False,False,106489.0
117,2021-12-15,316.11,337.61,315.9167,336.78,1650890,45283,328.731828,323.35,True,True,72500.0
118,2021-12-16,335.48,337.7,319.98,322.92,1451767,43695,326.846005,333.96,False,False,74936.0
119,2021-12-17,316.37,337.19,315.12,333.83,9727887,56524,332.99221,322.71,True,True,199988.0
120,2021-12-20,323.14,334.36,320.73,330.53,1470166,35256,328.788733,329.79,True,True,150561.0
121,2021-12-21,334.78,339.775,323.2,339.25,1133936,33948,334.117554,330.61,False,True,77654.0
122,2021-12-22,340.0,348.79,335.0,348.16,846030,22367,345.410919,339.9,False,True,60124.0
123,2021-12-23,348.22,354.84,346.075,349.02,706890,21159,350.301766,349.87,True,False,69749.0
124,2021-12-27,352.2,367.79,353.76,367.67,1018746,27618,364.366592,359.29,True,True,103720.0
125,2021-12-28,370.0,370.0,361.52,366.0,765577,21037,365.602464,364.61,False,True,93592.0
126,2021-12-29,366.49,371.77,362.71,366.74,594865,19743,366.40204,368.82,True,False,60111.0
127,2021-12-30,367.93,370.2886,358.8,359.78,751044,22022,362.318029,364.67,False,False,69602.0
128,2021-12-31,359.76,363.555,358.93,359.4,528016,15416,360.452425,362.0813,True,False,24589.0
129,2022-01-03,360.0,362.1241,332.44,333.12,1904588,49063,337.697109,351.27,False,False,99002.0
130,2022-01-04,331.2,333.42,312.67,322.14,1965675,54644,320.280285,326.52,False,False,170261.0
131,2022-01-05,315.84,319.7,302.91,303.49,2404254,58920,308.783214,315.485,True,False,119473.0
132,2022-01-06,294.54,319.67,293.69,314.0,2397525,49244,312.842043,307.65,True,True,251524.0
133,2022-01-07,309.12,319.83,309.0785,314.66,1758951,37010,314.756812,317.26,True,False,135031.0
134,2022-01-10,305.18,324.91,302.42,324.71,2322235,50662,314.044439,307.18,True,True,167493.0
135,2022-01-11,317.73,324.0,314.0,323.56,1491176,32188,321.153045,316.18,False,True,99040.0
136,2022-01-12,326.23,330.2527,318.2131,320.79,1401789,32182,321.091938,324.81,False,False,89298.0
137,2022-01-13,320.74,322.7999,307.26,307.88,1290420,32337,312.145363,320.82,True,False,49118.0
138,2022-01-14,304.59,313.88,303.16,312.54,1281345,34618,310.739249,311.52,True,True,68034.0
