,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,70.05,70.49,69.55,69.74,4111923,33929,69.902812,70.185,True,False,79047.0
1,2021-07-01,69.93,70.815,69.89,70.59,3074494,24991,70.468279,70.24,False,True,60199.0
2,2021-07-02,70.61,70.92,70.44,70.72,2472516,18148,70.767296,70.86,True,False,100433.0
3,2021-07-06,70.56,70.7,69.07,69.74,4025632,24910,69.668247,69.3,True,True,75516.0
4,2021-07-07,69.74,70.98,69.4,70.7,4746615,28387,70.554426,69.87,False,True,98128.0
5,2021-07-08,69.95,70.19,69.25,69.57,3162805,24030,69.59536,69.7,True,False,34560.0
6,2021-07-09,70.09,71.12,70.095,70.68,1661296,20937,70.731459,70.69,True,False,134149.0
7,2021-07-12,70.99,71.06,70.07,70.45,2387338,22475,70.371979,70.47,True,False,40393.0
8,2021-07-13,71.24,71.57,70.39,70.58,3610875,31664,70.850635,71.21,False,False,120310.0
9,2021-07-14,70.81,71.01,69.88,70.77,1552995,18546,70.569459,70.15,True,True,48143.0
10,2021-07-15,70.38,70.86,70.21,70.4,2268695,23369,70.49744,70.67,True,False,85078.0
11,2021-07-16,70.61,70.85,69.84,69.91,1749138,22389,70.217557,70.12,False,False,35926.0
12,2021-07-19,68.83,69.14,67.47,68.37,3269344,35184,68.186913,68.03,True,True,52024.0
13,2021-07-20,68.62,70.03,68.55,69.8,2129932,23216,69.783021,69.8288,True,False,48687.0
14,2021-07-21,70.15,70.34,69.53,69.56,2297979,18261,69.71332,69.82,True,False,49917.0
15,2021-07-22,69.68,69.75,68.74,69.16,2679637,21976,69.106138,69.005,True,True,52101.0
16,2021-07-23,69.72,69.675,68.925,69.31,2619402,26516,69.288432,69.06,True,True,24411.0
17,2021-07-26,69.45,69.555,68.43,68.97,2220372,19211,68.87912,68.46,False,True,78266.0
18,2021-07-27,68.635,69.02,67.95,68.77,4764608,21758,68.725342,68.75,True,True,41370.0
19,2021-07-28,68.74,69.25,68.39,68.84,3027452,22155,68.972608,68.73,True,True,42807.0
20,2021-07-29,69.08,69.54,68.53,69.04,4172847,29078,69.23409,69.12,True,False,114233.0
21,2021-07-30,71.73,72.79,70.4,72.66,5500791,47969,72.192755,71.81,True,True,166193.0
22,2021-08-02,73.12,74.89,72.97,73.5,5474467,50595,74.086105,73.99,False,False,104561.0
23,2021-08-03,73.64,74.78,73.43,74.57,2509649,24898,74.375778,74.13,False,True,87737.0
24,2021-08-04,74.15,74.495,73.52,73.6,1960630,20872,73.805148,74.18,False,False,29112.0
25,2021-08-05,74.02,74.18,73.255,73.51,2025051,18024,73.518887,73.61,True,False,45776.0
26,2021-08-06,73.82,74.61,73.37,74.49,1812058,17408,74.355052,73.8675,True,True,56155.0
27,2021-08-09,74.44,74.48,73.85,74.15,1223761,18338,74.052934,73.97,False,True,20240.0
28,2021-08-10,74.3,74.82,73.925,74.51,1586079,17963,74.498726,74.38,True,True,28080.0
