,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,186.9,188.59,186.51,188.26,1100931,17319,188.037931,188.295,True,False,30013.0
1,2021-07-01,187.82,189.09,187.28,188.05,891714,18321,188.228843,188.03,True,True,12406.0
2,2021-07-02,188.14,189.56,187.37,188.54,618695,12937,188.78116,188.58,True,False,18241.0
3,2021-07-06,188.01,188.04,184.3,186.91,836784,16722,186.374582,185.18,True,True,22431.0
4,2021-07-07,187.39,190.27,185.89,189.79,1167305,15869,189.295111,187.67,True,True,13710.0
5,2021-07-08,187.25,189.4099,186.79,188.02,960056,17413,188.033562,188.18,True,False,29636.0
6,2021-07-09,189.97,191.24,188.59,190.22,1071461,17498,189.829008,190.09,False,True,25055.0
7,2021-07-12,189.13,190.5325,188.37,189.33,778490,18052,189.399862,190.0625,False,False,16612.0
8,2021-07-13,189.59,190.29,188.655,188.74,836466,17597,189.2911,189.66,True,False,13683.0
9,2021-07-14,189.26,190.12,188.3,189.46,705002,12287,189.298727,188.85,False,True,9695.0
10,2021-07-15,188.31,189.84,187.58,189.35,915730,18221,189.292713,189.09,True,True,15896.0
11,2021-07-16,190.27,190.625,188.55,189.28,1051440,15909,189.623281,188.55,False,True,24006.0
12,2021-07-19,187.21,187.638,182.66,184.09,1150916,27630,184.223879,185.25,True,False,25208.0
13,2021-07-20,185.23,190.63,185.06,190.01,1022244,19804,189.672261,188.955,False,True,23807.0
14,2021-07-21,191.3,192.41,190.6,191.63,695406,14406,191.500791,191.71,True,False,21230.0
15,2021-07-22,190.76,191.2,189.8,190.57,524233,12091,190.538098,190.33,True,True,12387.0
16,2021-07-23,191.89,192.18,190.64,191.86,453898,11202,191.619679,191.5296,True,True,6247.0
17,2021-07-26,191.93,192.6,191.25,191.92,709872,13064,191.915528,191.64,False,True,30090.0
18,2021-07-27,191.39,195.59,190.81,194.05,1257246,21910,194.161438,195.06,True,False,57171.0
19,2021-07-28,198.9,199.95,194.03,195.51,1264697,20197,196.168251,195.195,True,True,44272.0
20,2021-07-29,196.51,198.91,195.45,198.14,1145060,20473,197.533223,196.905,True,True,92956.0
21,2021-07-30,197.01,197.82,194.94,196.03,905773,17633,196.063119,196.24,True,False,26083.0
22,2021-08-02,196.65,198.81,195.58,195.83,1033808,20974,196.828434,197.35,True,False,22227.0
23,2021-08-03,195.7,197.41,193.36,197.32,735024,14883,196.274562,195.3546,True,True,19779.0
