,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,13.1,13.525,13.05,13.46,70761918,149847,13.362645,13.315,True,True,1831776.0
1,2021-07-01,13.57,13.63,13.36,13.48,46648105,112955,13.479774,13.4899,True,False,1695830.0
2,2021-07-02,13.5,13.54,13.31,13.36,33192396,84868,13.380731,13.365,False,False,1805578.0
3,2021-07-06,13.25,13.32,12.82,12.92,70633824,171743,12.93687,12.895,False,True,3208200.0
4,2021-07-07,12.83,13.075,12.74,12.98,61648807,129270,12.933747,12.82,True,True,2278931.0
5,2021-07-08,12.75,12.94,12.61,12.87,53756784,111101,12.810173,12.775,True,True,1789478.0
6,2021-07-09,13.03,13.19,12.94,13.16,41312549,94642,13.13342,13.105,False,True,1644208.0
7,2021-07-12,13.01,13.135,12.9,13.11,55753508,102219,13.022711,12.995,True,True,2318753.0
8,2021-07-13,13.05,13.09,12.88,12.89,39204152,88933,12.941227,12.9473,False,False,1768567.0
9,2021-07-14,12.93,12.98,12.72,12.81,44586310,92139,12.815207,12.8415,False,False,1732009.0
10,2021-07-15,12.7,12.92,12.57,12.76,51260712,107599,12.746549,12.8,True,False,1288741.0
11,2021-07-16,12.79,12.87,12.52,12.55,45322486,99621,12.702113,12.745,False,False,2076128.0
12,2021-07-19,12.2,12.56,11.82,12.0,98381257,213266,11.966782,11.9501,True,True,4020300.0
13,2021-07-20,12.0,12.74,11.99,12.7,74968840,147990,12.486706,12.435,False,True,2553422.0
14,2021-07-21,12.9,13.11,12.77,13.08,67362999,154771,13.012445,12.985,True,True,3029760.0
15,2021-07-22,13.05,13.06,12.7,12.7,43389567,114264,12.794337,12.868,True,False,1352179.0
16,2021-07-23,12.8,12.88,12.63,12.71,37727253,96549,12.738173,12.755,False,False,3055165.0
17,2021-07-26,12.67,12.94,12.63,12.92,53792495,119917,12.843892,12.775,False,True,1493422.0
18,2021-07-27,13.28,13.47,12.8,13.08,119396135,248568,13.097564,13.055,False,True,3392557.0
19,2021-07-28,13.16,13.48,13.04,13.13,68464032,149938,13.19857,13.115,True,True,2233276.0
20,2021-07-29,13.19,13.38,13.09,13.29,54182643,108289,13.284182,13.355,True,False,2256144.0
21,2021-07-30,13.17,13.22,12.92,12.95,60000208,132313,13.021878,13.0889,False,False,1334577.0
22,2021-08-02,104.89,107.21,100.4317,100.6,24851679,246117,102.893023,102.385,False,False,1831354.0
23,2021-08-03,100.2,103.2,98.11,103.06,14418167,312796,101.23157,100.93,True,True,851456.0
24,2021-08-04,101.89,103.45,101.46,102.91,14132743,262719,102.327024,102.159,True,True,617755.0
25,2021-08-05,103.0,104.64,102.52,103.02,8128495,174622,103.25851,103.09,True,False,306291.0
26,2021-08-06,103.63,105.26,103.36,104.52,10984985,217836,104.468919,104.44,False,True,699900.0
27,2021-08-09,103.72,104.2699,102.03,103.71,7950992,138016,103.235983,102.35,True,True,314005.0
28,2021-08-10,104.02,106.33,103.2,106.08,8051909,179844,105.285368,104.99,True,True,448797.0
29,2021-08-11,106.06,106.21,103.82,106.04,8299961,139879,105.518266,105.4659,True,True,278549.0
30,2021-08-12,106.17,107.23,105.24,106.52,6399455,116517,106.176735,105.605,False,True,290243.0
31,2021-08-13,106.47,106.62,104.58,104.92,5616521,95155,105.406172,105.36,False,False,291972.0
32,2021-08-16,104.13,104.3,102.24,103.35,6912832,111530,103.372764,103.4201,True,False,365856.0
33,2021-08-17,102.68,103.27,100.36,101.62,8161480,161117,101.750765,102.6,False,False,338372.0
34,2021-08-18,101.13,103.47,100.76,101.41,6473305,143574,102.278223,102.83,True,False,229883.0
35,2021-08-19,99.99,100.82,98.6,99.42,10779185,205286,99.632454,98.9699,False,True,564652.0
36,2021-08-20,99.56,100.67,99.1,100.05,6339610,116676,100.000038,99.36,False,True,388261.0
37,2021-08-23,100.59,101.48,100.27,100.97,5999928,113697,101.078968,100.83,False,True,319385.0
38,2021-08-24,101.33,103.51,101.06,103.27,6854291,128859,103.011532,102.99,False,True,221718.0
39,2021-08-25,103.32,105.125,102.55,104.7,7863400,142295,104.255162,104.38,True,True,399912.0
40,2021-08-26,104.45,104.62,102.84,103.38,8142320,162877,103.5722,103.85,False,False,370212.0
41,2021-08-27,103.93,106.145,103.9,106.09,7741340,140005,105.557659,105.43,True,True,289976.0
42,2021-08-30,106.22,106.46,104.8,105.19,7143452,127248,105.325977,105.4722,True,False,282707.0
43,2021-08-31,104.98,106.36,104.46,105.41,10976345,177328,105.611198,105.5,True,False,502563.0
44,2021-09-01,105.4,105.47,103.261,103.66,7950760,161327,104.015538,104.17,True,False,405879.0
45,2021-09-02,103.98,106.34,103.98,106.26,8487684,154726,105.518825,105.8,True,True,410062.0
46,2021-09-03,105.94,107.36,104.08,104.75,7614908,136453,105.242546,105.165,False,False,286981.0
47,2021-09-07,104.49,104.94,102.31,103.29,10986778,164654,103.382325,102.98,False,True,776464.0
48,2021-09-08,102.9,104.73,100.42,102.58,11952546,209920,102.588215,102.81,False,False,540197.0
49,2021-09-09,102.34,104.92,102.11,103.29,9378041,164559,103.82768,104.63,True,False,513535.0
50,2021-09-10,103.36,103.95,101.775,102.0,9539131,177675,102.436919,102.09,False,False,547314.0
51,2021-09-13,102.59,104.86,102.02,104.46,12455774,236652,103.904609,104.09,True,True,868136.0
52,2021-09-14,104.5,104.55,100.0727,100.38,16002112,239312,101.471896,101.23,False,False,1150519.0
53,2021-09-15,100.7,102.47,100.69,102.16,8081485,174123,101.953445,101.508,False,True,294699.0
54,2021-09-16,102.3,102.6999,100.82,101.34,5978216,137760,101.599722,101.4919,False,False,424299.0
55,2021-09-17,101.08,101.8636,100.13,100.47,10713963,158484,100.620285,100.71,False,False,307320.0
56,2021-09-20,98.0,99.865,97.27,99.81,10065457,226965,98.95432,99.23,True,True,397688.0
57,2021-09-21,99.86,99.99,96.21,96.82,15779857,238746,97.190669,97.05,False,False,567653.0
58,2021-09-22,97.74,99.025,97.66,98.54,11175436,229578,98.457395,98.295,False,True,272115.0
59,2021-09-23,99.71,104.08,99.52,102.96,11554263,184082,102.969259,103.3773,True,False,739266.0
60,2021-09-24,102.83,104.195,102.6,103.8,6539832,136192,103.698028,103.785,True,True,315389.0
61,2021-09-27,104.31,106.3338,104.39,105.35,8057484,158646,105.740919,106.02,False,False,309599.0
62,2021-09-28,105.14,106.75,104.7301,105.73,12536093,271186,105.591402,105.67,True,True,639210.0
63,2021-09-29,106.01,107.0,105.3078,106.28,7326925,185458,106.497862,106.88,True,False,313136.0
64,2021-09-30,106.37,107.09,102.95,103.03,8830736,231709,104.546911,105.45,False,False,340737.0
65,2021-10-01,104.11,106.3899,103.67,105.82,8068804,201246,105.175364,103.91,False,True,329723.0
66,2021-10-04,105.36,107.08,104.6,104.9,7577947,220910,105.828771,106.6202,False,False,649733.0
67,2021-10-05,105.0,105.995,103.75,104.9,5717591,146302,105.094253,105.78,False,False,256830.0
68,2021-10-06,103.61,104.42,102.06,104.33,6912097,197277,103.365478,102.5894,False,True,316579.0
69,2021-10-07,104.33,106.53,104.33,105.51,6633871,133879,105.793754,106.17,False,False,256326.0
70,2021-10-08,105.43,106.22,104.66,104.72,4242495,105888,105.256628,105.93,True,False,155692.0
71,2021-10-11,104.84,105.76,103.97,104.08,4093940,113645,104.763664,105.4,True,False,175260.0
72,2021-10-12,103.61,104.04,101.56,102.72,8479127,171340,102.507685,102.915,False,False,225349.0
73,2021-10-13,102.17,103.2,101.18,102.36,7437364,158699,102.307945,101.74,True,True,364350.0
74,2021-10-14,103.28,103.65,102.37,102.74,6217208,111251,102.881265,102.98,True,False,367699.0
75,2021-10-15,103.44,105.9,103.19,104.41,5593277,108164,104.587984,104.5694,False,False,187741.0
76,2021-10-18,103.57,104.5701,103.04,104.12,4059842,102618,104.06894,104.49,True,False,165343.0
77,2021-10-19,104.54,104.97,103.58,104.73,4140336,95851,104.508434,104.38,True,True,127688.0
78,2021-10-20,104.6,106.02,103.87,106.0,6036205,123702,105.110237,104.97,False,True,169192.0
79,2021-10-21,105.76,106.39,103.01,103.15,7127545,119499,104.078921,104.62,True,False,166338.0
