,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,68.15,68.93,68.01,68.86,5990029,47586,68.632434,68.57,True,True,121221.0
1,2021-07-01,68.99,69.375,68.41,69.13,5438533,50462,69.010314,68.41,False,True,134325.0
2,2021-07-02,69.28,69.45,68.64,69.3,3963883,37703,69.232696,69.15,True,True,83029.0
3,2021-07-06,68.9,69.06,67.98,68.41,6160061,47597,68.367777,68.2,True,True,120197.0
4,2021-07-07,68.31,68.43,67.8,68.36,6084119,43504,68.236459,68.09,True,True,117973.0
5,2021-07-08,68.005,68.32,67.42,67.69,4961682,56609,67.723444,67.58,False,True,165128.0
6,2021-07-09,67.6,68.41,67.454,68.22,6409911,53241,68.081373,67.67,True,True,199182.0
7,2021-07-12,68.26,69.06,67.75,68.07,7314140,44741,68.244573,68.855,True,False,110925.0
8,2021-07-13,67.96,68.515,67.83,68.01,4493425,34625,68.09633,67.97,False,True,92589.0
9,2021-07-14,68.07,68.11,67.43,67.93,5915251,45247,67.869901,67.79,True,True,250232.0
10,2021-07-15,67.79,68.39,67.37,68.3,6106087,51498,68.116882,67.84,True,True,156775.0
11,2021-07-16,68.54,68.97,68.35,68.63,5947499,44321,68.712491,68.57,False,True,138000.0
12,2021-07-19,68.61,69.07,67.665,68.23,5988325,61565,68.124692,67.84,False,True,248766.0
13,2021-07-20,68.32,69.77,68.27,69.16,9291856,71731,69.135933,69.26,False,False,181868.0
14,2021-07-21,68.87,69.02,68.01,68.41,5846135,51806,68.407694,68.31,True,True,141230.0
15,2021-07-22,68.04,68.805,67.82,68.65,2896850,30999,68.538739,68.4295,True,True,78439.0
16,2021-07-23,68.86,69.34,68.64,69.02,3516400,37608,69.051761,68.87,True,True,57955.0
17,2021-07-26,68.88,69.3039,68.465,68.75,4311167,39106,68.738096,68.53,False,True,131206.0
18,2021-07-27,68.6,69.05,68.29,68.93,5804140,52411,68.845093,68.84,True,True,144627.0
19,2021-07-28,68.9,70.15,68.73,70.06,7075138,64987,69.658826,69.6294,False,True,184008.0
20,2021-07-29,70.28,70.4,69.77,69.83,7584902,68097,69.929565,69.88,False,False,201703.0
21,2021-07-30,68.64,69.0,68.0,68.29,9601566,70310,68.421315,68.5,True,False,433089.0
22,2021-08-02,68.39,68.6456,67.83,68.35,4228320,49889,68.3345,68.57,True,False,130043.0
23,2021-08-03,68.44,69.84,68.21,69.83,5106325,46927,69.411896,69.0,False,True,101762.0
24,2021-08-04,69.65,69.99,69.03,69.24,6840193,61749,69.428029,69.8,False,False,245292.0
25,2021-08-05,69.15,69.33,68.51,69.3,5528463,47691,69.002136,68.825,False,True,322881.0
