,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,59.94,61.67,59.91,60.93,7160064,53902,60.910697,61.1575,True,False,173002.0
1,2021-07-01,60.97,61.0,60.11,60.22,3434074,35732,60.404719,60.42,True,False,86819.0
2,2021-07-02,60.44,60.65,60.11,60.22,3084804,28448,60.323424,60.335,True,False,65164.0
3,2021-07-06,60.29,60.39,59.61,59.84,4168361,33476,59.858802,59.74,False,True,94582.0
4,2021-07-07,59.92,60.76,59.7,60.39,3789769,33074,60.361495,60.63,True,False,136187.0
5,2021-07-08,59.88,60.69,59.46,59.66,2743189,27500,59.812875,60.01,True,False,108034.0
6,2021-07-09,59.64,60.09,59.5,59.7,3029701,30896,59.761877,59.81,False,False,113834.0
7,2021-07-12,59.645,59.73,58.97,59.27,2773838,28703,59.292924,59.415,False,False,64497.0
8,2021-07-13,59.22,59.75,58.98,59.13,3532697,33386,59.31302,59.64,False,False,87446.0
9,2021-07-14,59.0,59.415,58.535,59.27,3671553,32790,59.086062,59.125,True,True,218906.0
10,2021-07-15,59.38,59.85,58.96,59.78,2437895,24988,59.520117,59.305,False,True,51690.0
11,2021-07-16,59.99,60.135,59.76,60.05,3317846,25824,59.998814,59.82,False,True,60627.0
12,2021-07-19,60.1,60.83,59.53,60.73,4351049,45927,60.292712,59.96,False,True,98448.0
13,2021-07-20,60.93,61.58,59.875,59.92,4409427,42105,60.308801,60.96,False,False,75657.0
14,2021-07-21,59.96,59.96,58.92,58.99,4262978,36464,59.285333,59.475,True,False,102986.0
15,2021-07-22,58.75,59.04,58.43,58.8,1931402,21368,58.76897,58.63,True,True,49577.0
16,2021-07-23,58.81,59.61,58.56,59.4,2462239,22629,59.203254,59.0557,True,True,121337.0
17,2021-07-26,59.32,59.64,59.21,59.32,2168311,21149,59.401965,59.4,True,False,54401.0
18,2021-07-27,59.34,60.04,59.13,59.55,2334643,25895,59.634804,59.92,True,False,66529.0
19,2021-07-28,59.35,59.491,58.66,58.82,2832865,30619,58.919971,59.375,False,False,82755.0
