,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,94.67,95.42,94.438,95.25,700191,10786,95.011983,94.885,True,True,10187.0
1,2021-07-01,95.31,96.77,95.13,96.66,740163,11242,95.888224,95.41,False,True,19221.0
2,2021-07-02,96.23,96.9044,95.46,95.79,315371,5131,95.842124,96.005,False,False,4766.0
3,2021-07-06,95.15,95.7,93.22,94.07,554704,7942,94.026148,94.01,False,True,10643.0
4,2021-07-07,93.68,94.87,93.18,94.64,472270,7417,94.421557,93.79,True,True,16125.0
5,2021-07-08,92.88,92.91,91.2,91.74,647590,9550,91.915063,92.2,True,False,12047.0
6,2021-07-09,93.08,94.52,92.79,94.46,330566,7957,94.080438,93.92,False,True,10028.0
7,2021-07-12,93.63,94.6,93.14,94.5,310696,6696,94.295474,94.26,False,True,7385.0
8,2021-07-13,93.81,94.44,93.61,94.07,352979,6480,94.033301,93.97,True,True,14500.0
9,2021-07-14,94.27,95.0682,93.29,93.77,278535,5066,93.845304,93.82,False,False,9515.0
10,2021-07-15,93.0,94.62,92.4511,94.49,268176,5409,94.147716,93.93,True,True,6079.0
11,2021-07-16,94.62,95.32,93.78,94.05,323340,6794,94.368118,94.22,False,False,7680.0
12,2021-07-19,92.24,92.51,90.08,90.63,488910,10066,90.841597,91.98,True,False,12013.0
13,2021-07-20,90.41,94.03,90.89,93.1,427764,8051,93.114141,93.13,False,False,5568.0
14,2021-07-21,93.45,95.5,93.29,93.85,330469,6907,94.143931,94.77,True,False,4360.0
15,2021-07-22,93.3,94.5,92.31,92.91,614417,7457,93.025423,93.95,False,False,5743.0
16,2021-07-23,93.54,94.25,92.97,93.36,552401,6903,93.404229,93.615,True,False,7136.0
17,2021-07-26,93.64,94.72,93.14,93.86,606608,7231,93.789776,93.79,False,True,11203.0
18,2021-07-27,92.88,94.31,92.37,93.41,315711,7347,93.550795,94.06,True,False,7952.0
19,2021-07-28,94.07,94.38,92.74,93.14,329944,5738,93.443645,93.22,True,False,8103.0
20,2021-07-29,94.16,95.18,93.2901,94.23,342428,7497,94.3469,94.25,True,False,2469.0
21,2021-07-30,94.21,94.69,92.89,93.11,470999,8291,93.479868,94.04,False,False,19394.0
22,2021-08-02,94.25,94.89,92.53,92.7,398124,8190,93.168476,94.09,True,False,4884.0
23,2021-08-03,92.92,93.51,91.53,92.35,378515,7369,92.382933,92.605,True,False,14796.0
24,2021-08-04,91.47,92.72,91.02,91.6,404649,8003,91.985196,92.55,True,False,7824.0
25,2021-08-05,92.4,93.43,91.78,92.62,251239,5639,92.472744,92.72,True,False,6544.0
26,2021-08-06,94.03,94.615,93.49,94.13,308984,6487,94.132404,94.0,False,True,7828.0
27,2021-08-09,93.67,94.93,93.405,94.28,262638,6156,94.350767,94.18,True,True,8317.0
28,2021-08-10,94.09,96.05,93.88,95.63,387746,7423,95.525949,95.125,True,True,5361.0
29,2021-08-11,95.42,97.59,95.2,97.49,371140,8135,97.113638,96.695,True,True,6792.0
30,2021-08-12,97.13,97.68,96.45,96.68,224132,5907,96.734184,96.83,True,False,6207.0
31,2021-08-13,96.56,96.67,96.11,96.4,204663,5879,96.363789,96.41,True,False,2614.0
32,2021-08-16,95.72,97.2,95.37,96.27,365031,6168,96.28976,97.145,True,False,18099.0
33,2021-08-17,95.62,96.61,95.26,96.16,237369,6822,95.968103,96.17,False,False,3419.0
34,2021-08-18,95.63,96.68,95.22,95.61,268040,6285,96.044761,96.41,True,False,3737.0
35,2021-08-19,95.56,95.96,94.33,94.87,250199,5236,94.905145,95.17,False,False,11882.0
36,2021-08-20,94.74,95.18,94.16,94.98,310909,7299,94.883128,94.38,False,True,4884.0
37,2021-08-23,95.85,96.54,95.48,95.87,330212,5416,96.013983,96.27,True,False,3466.0
38,2021-08-24,95.92,96.85,95.92,96.55,172837,5174,96.569177,96.2,True,True,2659.0
39,2021-08-25,96.38,97.88,96.24,97.15,208162,3778,97.251764,97.37,True,False,3310.0
40,2021-08-26,97.1,97.642,95.4,95.6,243080,5706,95.907145,96.6099,False,False,2324.0
41,2021-08-27,96.13,97.38,95.41,96.95,178880,4329,96.925832,96.55,True,True,3616.0
42,2021-08-30,96.92,97.33,95.85,95.98,222035,5336,96.184763,96.23,True,False,2814.0
43,2021-08-31,95.91,97.03,95.62,96.07,400503,7513,96.209205,96.605,True,False,9187.0
44,2021-09-01,96.34,96.465,94.95,95.5,271399,5622,95.711696,95.82,True,False,5248.0
45,2021-09-02,95.71,95.95,94.535,94.8,267955,6066,95.068688,95.555,False,False,5585.0
46,2021-09-03,94.67,94.795,93.89,94.29,247461,6612,94.351061,94.51,False,False,5564.0
