,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,2511.64,2516.0,2495.15,2506.32,1198973,54251,2506.6651,2497.98,False,True,67049.0
1,2021-07-01,2496.995,2529.25,2496.995,2527.37,854733,44391,2517.722741,2519.43,True,True,25321.0
2,2021-07-02,2535.29,2576.96,2535.38,2574.38,1057104,48679,2565.754424,2556.55,True,True,18718.0
3,2021-07-06,2588.99,2597.69,2568.18,2595.42,1066963,52984,2586.908857,2581.0,False,True,43260.0
4,2021-07-07,2606.82,2612.7983,2595.2,2601.55,832567,42809,2602.340217,2600.36,False,True,36083.0
5,2021-07-08,2565.0,2600.65,2560.8,2583.54,984740,53245,2579.708002,2574.86,False,True,37639.0
6,2021-07-09,2578.88,2596.99,2578.87,2591.49,749635,38653,2590.13156,2586.5,True,True,18064.0
7,2021-07-12,2596.67,2615.4,2592.0,2611.28,846541,39710,2606.088556,2602.5709,True,True,16843.0
8,2021-07-13,2614.65,2640.8399,2612.74,2619.89,826759,44817,2624.673335,2626.25,False,False,17282.0
9,2021-07-14,2638.03,2659.9199,2637.96,2641.65,890846,46733,2646.177985,2649.65,False,False,36194.0
10,2021-07-15,2649.02,2651.9,2611.96,2625.33,825331,43581,2625.806096,2620.0201,False,True,20709.0
11,2021-07-16,2632.82,2643.66,2616.43,2636.91,740914,36764,2633.772019,2625.42,False,True,29178.0
12,2021-07-19,2623.11,2624.94,2570.74,2585.08,1272573,64495,2586.05847,2581.42,False,True,31035.0
13,2021-07-20,2600.02,2640.0271,2583.7675,2622.03,943586,46914,2618.51214,2603.16,True,True,26205.0
14,2021-07-21,2615.74,2652.345,2612.03,2652.01,741102,40540,2636.646173,2623.25,False,True,13782.0
15,2021-07-22,2654.97,2670.09,2648.0,2666.57,679668,33533,2663.789847,2668.6,True,False,15426.0
16,2021-07-23,2706.49,2776.17,2694.01,2756.32,1315612,65336,2743.318966,2733.045,True,True,57677.0
17,2021-07-26,2765.0,2794.26,2753.0201,2792.89,1150810,55662,2775.50344,2770.0,True,True,37419.0
18,2021-07-27,2800.2,2800.22,2702.0,2735.93,2106810,109163,2746.554223,2758.4287,False,False,53049.0
19,2021-07-28,2770.27,2793.52,2727.0,2727.63,2728983,108234,2753.033896,2776.72,False,False,95898.0
20,2021-07-29,2722.76,2743.03,2722.76,2730.81,962833,56703,2732.943535,2734.4,False,False,32732.0
21,2021-07-30,2710.22,2715.4273,2696.284,2704.42,1192658,55740,2704.685877,2714.17,True,False,41759.0
22,2021-08-02,2711.14,2720.41,2693.39,2719.79,1001551,45263,2711.886049,2702.6,False,True,19405.0
23,2021-08-03,2720.0,2726.71,2683.67,2725.6,948193,56114,2710.945522,2685.93,False,True,55161.0
24,2021-08-04,2724.99,2730.76,2708.3,2720.57,823887,39780,2720.133949,2709.61,False,True,24809.0
25,2021-08-05,2720.57,2739.0,2712.0,2738.8,592287,34080,2731.568159,2732.0,True,True,23068.0
26,2021-08-06,2725.9,2741.6009,2720.93,2740.72,677996,37976,2734.692356,2738.7,True,True,11548.0
27,2021-08-09,2739.79,2766.43,2728.575,2760.04,617929,39390,2750.574227,2743.34,True,True,21714.0
28,2021-08-10,2761.59,2771.03,2744.53,2761.93,800518,41420,2761.06527,2751.205,False,True,34418.0
29,2021-08-11,2765.66,2776.955,2747.0,2753.79,789384,39100,2756.618784,2759.6,True,False,16163.0
30,2021-08-12,2753.33,2768.36,2735.58,2767.79,731647,33243,2760.299031,2755.26,False,True,11897.0
31,2021-08-13,2767.15,2773.48,2760.1,2768.12,628673,35713,2766.378851,2765.95,False,True,30411.0
32,2021-08-16,2760.0,2779.81,2723.315,2778.32,901343,48758,2758.409228,2729.66,False,True,37613.0
33,2021-08-17,2763.82,2774.37,2735.75,2746.01,1061294,48871,2753.564511,2770.23,True,False,20238.0
34,2021-08-18,2742.31,2765.88,2728.42,2731.4,743093,40598,2747.843343,2752.31,False,False,23111.0
35,2021-08-19,2709.35,2749.04,2707.12,2738.27,911393,46948,2733.068522,2721.53,False,True,18955.0
36,2021-08-20,2741.17,2772.29,2729.34,2768.74,776592,41541,2761.186581,2761.905,True,True,31125.0
37,2021-08-23,2779.97,2843.5399,2774.9586,2821.99,1051124,59153,2821.145177,2820.67,True,True,45417.0
38,2021-08-24,2830.87,2860.15,2827.07,2847.97,756280,47330,2847.659113,2859.41,True,False,28101.0
39,2021-08-25,2857.66,2866.26,2848.79,2859.0,641633,37450,2856.859082,2853.97,True,True,18018.0
40,2021-08-26,2852.37,2862.696,2841.83,2842.46,742189,46560,2851.484856,2851.92,False,False,22259.0
41,2021-08-27,2843.49,2900.22,2840.4,2891.01,1224700,63608,2882.538055,2864.445,False,True,24443.0
42,2021-08-30,2894.09,2929.7899,2892.0,2909.39,850224,54139,2911.990198,2920.05,False,False,31402.0
43,2021-08-31,2917.69,2922.24,2900.0,2909.24,1329626,54704,2912.139073,2914.0,True,False,23193.0
44,2021-09-01,2912.543,2936.4099,2912.29,2916.84,788842,50784,2923.253924,2931.6538,True,False,20620.0
45,2021-09-02,2918.99,2926.5,2882.13,2884.38,1091137,64131,2898.970251,2903.41,True,False,43968.0
46,2021-09-03,2882.92,2907.54,2870.1,2895.5,955495,51091,2895.35323,2897.46,True,False,35731.0
47,2021-09-07,2894.99,2916.48,2890.82,2910.38,758010,50699,2907.59624,2911.715,True,False,30013.0
48,2021-09-08,2907.85,2911.02,2884.0,2897.67,770474,49534,2897.394623,2894.94,False,True,66548.0
49,2021-09-09,2897.67,2913.39,2888.68,2898.27,739361,43728,2900.910972,2908.77,False,False,18240.0
50,2021-09-10,2908.87,2920.38,2834.83,2838.42,1643195,83015,2862.78241,2913.17,False,False,26238.0
51,2021-09-13,2864.02,2883.82,2845.65,2869.3,1007350,54354,2865.434913,2861.0,True,True,38446.0
52,2021-09-14,2884.95,2894.55,2858.11,2868.12,940655,51418,2870.545908,2863.41,False,True,20013.0
53,2021-09-15,2876.8,2911.63,2845.12,2904.12,1031458,53514,2886.300279,2857.74,True,True,27987.0
54,2021-09-16,2902.42,2904.0,2868.3272,2887.47,1013912,49992,2887.204115,2880.95,False,True,28556.0
55,2021-09-17,2875.97,2884.99,2821.23,2829.27,2996974,76567,2839.437661,2853.22,False,False,37523.0
56,2021-09-20,2781.64,2787.25,2741.06,2780.34,1764160,94181,2768.51165,2760.695,False,True,41426.0
57,2021-09-21,2802.34,2816.2323,2778.11,2792.93,905688,49854,2797.800331,2796.49,True,False,28195.0
58,2021-09-22,2801.38,2831.67,2789.435,2818.77,1094849,54521,2815.321209,2809.52,False,True,31538.0
59,2021-09-23,2832.19,2845.0493,2821.93,2836.53,857972,44159,2838.340234,2838.895,False,False,26502.0
60,2021-09-24,2818.92,2858.07,2817.01,2852.66,744412,40356,2845.214369,2844.5099,False,True,15941.0
61,2021-09-27,2831.71,2850.0,2810.0,2830.02,936863,48778,2831.295757,2838.71,False,False,32209.0
62,2021-09-28,2781.83,2792.13,2714.0,2723.68,2102741,108649,2733.259323,2735.2125,True,False,104428.0
63,2021-09-29,2742.0,2747.97,2685.0,2690.42,1305280,72584,2708.326224,2739.54,False,False,29659.0
64,2021-09-30,2686.5,2711.8,2660.0,2665.31,1742325,80386,2684.995239,2700.0,True,False,32476.0
65,2021-10-01,2671.09,2741.42,2667.55,2729.25,1414964,65295,2711.476035,2673.045,True,True,37571.0
66,2021-10-04,2712.93,2714.0,2623.33,2675.3,1562875,91325,2659.692743,2642.17,False,True,84608.0
67,2021-10-05,2680.0,2747.24,2680.0,2723.54,1202114,57232,2722.764162,2711.35,False,True,38431.0
68,2021-10-06,2690.56,2757.04,2689.73,2747.08,972785,51950,2733.003651,2730.76,False,True,32761.0
69,2021-10-07,2777.26,2803.0891,2771.26,2783.71,909512,46001,2790.977768,2797.31,True,False,30588.0
70,2021-10-08,2797.05,2806.34,2788.5868,2801.12,943294,41110,2798.717906,2790.6004,False,True,22857.0
71,2021-10-11,2793.605,2815.2725,2776.13,2776.95,824321,42453,2796.089804,2806.63,False,False,21229.0
72,2021-10-12,2790.0,2793.9,2725.0,2734.26,1114977,61582,2741.347727,2738.45,False,False,40769.0
73,2021-10-13,2757.97,2771.0,2739.53,2758.0,817282,37159,2756.296128,2752.9,True,True,19722.0
74,2021-10-14,2799.87,2833.03,2786.78,2828.24,1068389,50154,2820.883445,2822.51,True,True,30826.0
75,2021-10-15,2844.0,2844.0,2821.29,2833.5,1048061,45980,2831.30235,2823.105,False,True,26896.0
76,2021-10-18,2824.27,2859.975,2824.27,2859.21,807439,46433,2847.813735,2841.0427,False,True,13348.0
77,2021-10-19,2865.83,2882.14,2861.92,2876.44,752670,42169,2873.290117,2865.7083,False,True,23270.0
78,2021-10-20,2883.4,2884.955,2838.24,2848.3,882565,48507,2854.874733,2867.24,True,False,22615.0
79,2021-10-21,2843.84,2856.99,2832.74,2855.61,733648,44594,2841.787273,2852.49,False,True,14869.0
80,2021-10-22,2808.0,2831.17,2743.41,2772.5,1482633,90629,2774.555041,2775.75,False,False,62113.0
81,2021-10-25,2776.21,2784.116,2734.97,2775.46,1043892,56881,2769.956372,2760.48,False,True,33473.0
82,2021-10-26,2810.59,2816.79,2780.11,2793.44,1396545,89784,2796.128821,2789.9,False,True,42876.0
83,2021-10-27,2798.92,2982.36,2798.05,2928.55,2572964,153365,2918.721742,2888.595,False,True,98181.0
84,2021-10-28,2945.98,2948.49,2895.27,2922.58,1607559,94708,2922.807031,2911.41,False,True,49634.0
85,2021-10-29,2910.4,2972.26,2903.33,2965.41,1433412,91806,2949.308022,2927.9,False,True,56456.0
86,2021-11-01,2964.79,2967.99,2871.59,2875.48,1607319,98549,2901.568602,2918.0499,False,False,51538.0
87,2021-11-02,2896.12,2938.41,2892.82,2917.26,1056997,64886,2916.851663,2933.39,True,False,45409.0
88,2021-11-03,2927.25,2938.21,2901.07,2935.8,889868,56524,2919.845055,2907.84,False,True,28632.0
89,2021-11-04,2944.0,2999.0,2932.7,2973.66,1237940,78120,2973.564709,2983.7,True,False,85558.0
90,2021-11-05,2987.07,3011.4145,2973.04,2984.82,1020309,68255,2992.947825,2999.0,False,False,36667.0
91,2021-11-08,3000.0,3020.6899,2982.4,2987.03,919032,56540,2993.936381,3011.95,True,False,87812.0
92,2021-11-09,2993.25,3007.57,2950.14,2984.97,840582,65067,2978.809059,2994.54,False,False,102774.0
93,2021-11-10,2957.39,2973.9999,2906.5,2932.52,1132949,80154,2939.827072,2934.03,False,False,146499.0
94,2021-11-11,2942.14,2970.045,2933.89,2934.96,623120,43215,2947.792613,2955.35,True,False,68537.0
95,2021-11-12,2956.63,2997.19,2929.08,2992.91,850966,56272,2976.138638,2935.265,False,True,75894.0
96,2021-11-15,3000.0,3009.54,2973.05,2987.76,811159,50615,2990.104194,2992.365,False,False,119591.0
97,2021-11-16,2983.41,2996.65,2967.0,2981.52,870304,53563,2982.942899,2976.8,False,True,96342.0
98,2021-11-17,2985.0,2992.52,2971.26,2981.24,763751,60792,2981.749234,2987.32,True,False,68362.0
99,2021-11-18,2982.92,3032.2,2979.97,3014.18,1333711,73334,3011.693544,2990.65,True,True,81344.0
100,2021-11-19,3020.0,3037.0,2997.75,2999.05,988284,78901,3012.402365,3030.0,True,False,152391.0
101,2021-11-22,3002.49,3014.89,2940.11,2941.57,1231132,97455,2962.926695,2995.7,False,False,96986.0
102,2021-11-23,2942.26,2953.88,2897.79,2935.14,904304,70580,2924.171488,2945.76,True,False,81962.0
103,2021-11-24,2927.0,2940.0,2903.98,2934.35,820642,56292,2927.038781,2913.01,False,True,69797.0
104,2021-11-26,2900.31,2905.9404,2849.71,2856.12,847434,79821,2870.739119,2889.89,False,False,100640.0
105,2021-11-29,2886.65,2937.24,2885.97,2922.28,1318397,84574,2917.263095,2907.3644,True,True,141440.0
106,2021-11-30,2908.35,2932.57,2841.32,2849.04,2068145,106464,2864.553436,2905.77,False,False,83868.0
107,2021-12-01,2884.25,2929.9825,2830.0,2832.36,1422082,101890,2880.442879,2888.88,True,False,109294.0
108,2021-12-02,2837.08,2893.5,2819.64,2875.53,1061106,77501,2867.713254,2844.685,True,True,101480.0
109,2021-12-03,2889.91,2904.2599,2823.0,2850.41,1332002,96331,2847.236451,2889.62,False,False,69346.0
110,2021-12-06,2871.48,2887.03,2812.94,2875.93,1109314,76694,2859.471201,2828.97,False,True,127278.0
111,2021-12-07,2919.0,2966.0,2914.05,2960.73,1161138,76655,2950.167378,2918.7,True,True,110516.0
112,2021-12-08,2970.0,2983.13,2944.0,2974.41,946479,58242,2964.393774,2967.55,False,True,84779.0
113,2021-12-09,2963.52,2992.1,2950.58,2962.12,928137,63223,2969.959175,2985.32,True,False,88234.0
114,2021-12-10,2982.0,2988.0,2947.15,2973.5,1079793,63613,2969.707915,2977.7,False,False,75982.0
115,2021-12-13,2968.88,2971.25,2927.2,2934.09,1190633,70141,2940.421342,2960.54,False,False,71940.0
116,2021-12-14,2900.0,2908.84,2844.85,2899.41,1235695,93243,2879.128637,2901.285,True,False,95322.0
117,2021-12-15,2887.32,2950.345,2854.11,2947.37,1360028,92829,2904.95677,2864.85,False,True,78049.0
118,2021-12-16,2961.54,2971.03,2881.85,2896.77,1366084,91021,2915.018259,2945.48,False,False,105847.0
119,2021-12-17,2854.81,2889.2019,2835.76,2856.06,2199913,94721,2859.447252,2843.46,False,True,288369.0
120,2021-12-20,2815.98,2852.21,2805.0,2848.03,1009092,73345,2829.738528,2834.7258,True,True,91154.0
121,2021-12-21,2862.13,2893.8413,2834.7,2884.41,978588,68681,2872.775296,2848.41,False,True,66996.0
122,2021-12-22,2882.0,2946.06,2879.26,2938.98,921408,62987,2926.971362,2904.36,True,True,78333.0
123,2021-12-23,2941.79,2971.4519,2939.0168,2942.85,690636,53724,2952.330985,2946.05,True,False,53629.0
124,2021-12-27,2949.27,2968.53,2945.0,2961.28,662537,51092,2958.749218,2963.82,True,False,56643.0
125,2021-12-28,2967.49,2967.49,2918.71,2928.96,931074,63794,2935.992127,2951.25,False,False,76452.0
