,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,188.26,188.715,186.8,187.54,1354100,19177,187.749344,187.7,True,False,109990.0
1,2021-07-01,188.37,192.565,187.67,192.21,1522499,22189,190.900268,189.74,False,True,32537.0
2,2021-07-02,192.62,193.78,192.52,193.36,1064972,17133,193.255292,193.265,True,True,32610.0
3,2021-07-06,193.03,193.99,191.55,192.85,1807925,20265,193.030389,193.26,True,False,38788.0
4,2021-07-07,193.43,193.79,191.82,192.0,1238805,17831,192.490822,192.0,False,False,26708.0
5,2021-07-08,190.01,189.865,187.6,188.12,1432682,19001,188.373674,188.63,False,False,13147.0
6,2021-07-09,190.22,193.82,189.73,190.37,1825717,22767,190.45563,190.59,False,False,54783.0
7,2021-07-12,189.57,189.935,188.32,189.6,1730714,17400,189.510002,189.12,True,True,18459.0
8,2021-07-13,189.35,192.59,188.9,191.1,1968392,26565,191.211749,191.76,True,False,200510.0
9,2021-07-14,193.18,193.77,191.72,193.02,2931853,20730,192.869252,193.14,True,False,18391.0
10,2021-07-15,193.06,196.63,192.24,195.16,2546554,28048,194.845383,195.19,False,False,131870.0
11,2021-07-16,196.175,196.88,194.67,194.73,1461686,20630,195.399024,195.7,True,False,35183.0
12,2021-07-19,192.0,192.24,184.38,186.05,2399085,33056,186.605106,187.18,True,False,65277.0
13,2021-07-20,186.35,190.425,186.33,188.75,1440069,20799,188.892954,186.56,False,True,51150.0
14,2021-07-21,189.34,191.99,188.6,191.81,1166900,17515,191.261608,190.48,False,True,16098.0
15,2021-07-22,191.75,192.93,189.85,191.07,1089519,15016,191.108676,191.95,True,False,51495.0
16,2021-07-23,192.6,194.3,192.13,193.03,959175,14637,193.298862,193.0,False,True,22795.0
17,2021-07-26,192.68,192.96,190.395,191.12,1270191,17677,191.349607,191.51,True,False,27485.0
18,2021-07-27,190.695,195.355,190.18,192.7,1760101,23841,193.128071,194.17,False,False,78149.0
19,2021-07-28,193.2,194.17,190.905,191.62,1674170,19103,191.976522,191.7,True,False,117988.0
20,2021-07-29,193.27,195.21,192.91,193.27,1485531,20996,193.982553,193.97,True,False,52385.0
21,2021-07-30,192.38,194.8961,191.66,193.41,2125804,25935,193.477249,192.69,True,True,44085.0
22,2021-08-02,194.66,195.375,170.62,171.79,8545136,93540,177.000667,184.22,False,False,246086.0
23,2021-08-03,174.39,176.48,164.79,169.57,7103782,82192,169.298683,166.68,False,True,250278.0
24,2021-08-04,168.72,169.87,164.04,165.44,4022165,48647,166.305267,167.69,False,False,124481.0
25,2021-08-05,166.14,170.555,165.95,170.3,2594562,32426,169.489563,170.35,True,False,109133.0
26,2021-08-06,172.17,179.27,170.88,176.24,3419377,42440,176.471594,173.43,False,True,93024.0
27,2021-08-09,176.555,177.35,172.75,173.84,3210411,33448,173.911714,174.07,False,False,90547.0
28,2021-08-10,174.01,174.67,169.26,169.75,4325437,44344,170.430853,170.395,False,False,204384.0
29,2021-08-11,171.04,171.54,168.33,169.56,4277205,43022,169.376639,170.17,True,False,103673.0
30,2021-08-12,169.57,170.17,166.44,167.84,3321329,33331,167.621473,168.2,False,False,137947.0
31,2021-08-13,167.5,172.0,166.16,171.41,3106530,27858,169.674224,167.15,True,True,278245.0
32,2021-08-16,170.76,170.7718,167.41,168.12,2180527,22657,168.30577,168.02,False,True,65990.0
33,2021-08-17,167.16,168.67,166.67,167.2,3652827,27601,167.329437,167.91,False,False,53222.0
34,2021-08-18,166.51,168.86,165.82,166.34,2445525,26280,167.139776,166.81,True,False,94432.0
35,2021-08-19,165.0,166.1899,162.5,163.0,3739500,27033,163.526152,163.135,False,False,180432.0
36,2021-08-20,162.7,164.1,162.215,163.06,3799880,36835,163.157114,162.93,False,True,68104.0
37,2021-08-23,164.66,166.62,164.56,165.85,2166962,25471,165.769325,165.05,False,True,28766.0
38,2021-08-24,166.62,168.13,166.2,167.3,2185093,20999,167.256714,166.68,False,True,56195.0
39,2021-08-25,167.66,168.0,165.18,165.25,1595577,17762,165.803357,166.0459,True,False,116665.0
40,2021-08-26,163.92,164.32,161.61,161.71,1812412,24359,162.362623,162.64,False,False,37578.0
41,2021-08-27,161.18,164.43,160.62,164.14,2333712,25638,163.299793,162.87,True,True,165191.0
42,2021-08-30,164.85,166.09,161.04,161.3,2307866,22219,162.068526,162.5,True,False,43524.0
43,2021-08-31,161.86,163.685,161.05,162.64,2061532,24944,162.510675,162.68,True,False,44864.0
44,2021-09-01,163.56,165.58,162.46,162.51,2097743,28071,163.620036,164.48,True,False,43443.0
45,2021-09-02,162.35,163.14,158.44,158.59,3077241,28921,159.184026,159.37,False,False,264800.0
46,2021-09-03,158.53,159.61,156.98,158.01,2691489,25732,157.785056,157.6,True,True,64030.0
47,2021-09-07,158.425,160.32,157.52,158.61,1646247,22540,158.730366,158.31,True,True,171286.0
48,2021-09-08,160.35,170.6,160.158,170.02,5815710,68592,167.708267,165.16,True,True,126013.0
49,2021-09-09,170.13,175.73,169.97,172.08,5797149,65938,173.281201,174.2225,False,False,349089.0
50,2021-09-10,173.36,173.89,164.66,166.37,3787018,44648,167.009895,165.84,False,True,180885.0
