,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,371.24,380.11,370.9,379.53,2235082,45529,377.715671,376.03,True,True,43102.0
1,2021-07-01,380.87,381.64,374.145,374.99,2600868,56362,376.195692,377.538,True,False,69036.0
2,2021-07-02,376.06,376.6,372.42,374.16,1597920,32552,374.018812,374.018,True,True,70664.0
3,2021-07-06,373.23,373.6313,365.405,369.86,2159314,47953,368.780557,367.21,False,True,126674.0
4,2021-07-07,367.25,370.09,362.18,367.67,2009803,41665,366.907515,362.945,False,True,99466.0
5,2021-07-08,359.69,362.89,355.5915,358.94,2934298,60078,358.727431,357.51,False,True,88556.0
6,2021-07-09,366.23,372.15,364.95,371.76,2633650,50901,369.798247,368.87,False,True,80877.0
7,2021-07-12,370.68,384.0,367.33,380.5,4133441,73951,379.55816,378.84,True,True,200825.0
8,2021-07-13,381.395,385.33,372.01,375.98,6462952,112902,376.928621,372.96,False,True,252350.0
9,2021-07-14,378.85,381.77,371.39,374.4,3289324,56302,374.70417,375.89,False,False,129944.0
10,2021-07-15,371.01,378.75,370.57,373.35,2178612,45971,374.244504,375.7799,False,False,125738.0
11,2021-07-16,374.61,374.93,363.83,364.8,2575261,51338,367.325116,367.8799,False,False,143455.0
12,2021-07-19,354.0,355.19,349.0,354.72,4373048,88210,352.438904,353.51,True,True,151238.0
13,2021-07-20,353.03,367.31,351.54,364.76,2921977,55772,363.268029,362.975,True,True,102433.0
14,2021-07-21,368.26,374.9,367.93,373.5,2389504,45235,372.695568,371.9576,True,True,103382.0
15,2021-07-22,372.56,373.6938,368.45,372.71,1883031,36260,371.54842,370.7144,False,True,48061.0
16,2021-07-23,374.57,378.0,371.38,374.05,1704124,35376,373.615023,373.69,True,True,59941.0
17,2021-07-26,373.18,376.6773,373.11,375.9,1558154,30657,375.167726,374.22,False,True,48867.0
18,2021-07-27,372.69,375.14,369.22,374.84,1790239,35231,372.938117,373.322,True,True,52248.0
19,2021-07-28,375.66,377.44,372.34,374.23,1660299,32013,375.084822,374.34,True,False,35767.0
20,2021-07-29,377.03,379.51,374.81,377.55,1291590,29658,377.559576,376.69,True,True,44351.0
21,2021-07-30,376.595,379.95,373.06,374.88,1471306,30854,375.602152,376.94,False,False,39326.0
22,2021-08-02,376.19,386.93,375.75,378.19,2376255,50920,381.399755,383.35,False,False,86019.0
23,2021-08-03,379.95,381.31,371.77,380.36,1487791,36421,378.171499,377.1216,True,True,52632.0
24,2021-08-04,378.01,382.6533,375.76,377.86,1583310,32066,379.274216,381.06,True,False,49729.0
25,2021-08-05,379.87,384.31,379.95,384.3,1582139,31788,383.046344,382.32,True,True,62863.0
26,2021-08-06,388.65,398.8599,388.64,397.89,3654890,69048,394.95928,392.8,True,True,123764.0
27,2021-08-09,396.58,404.6,393.58,399.88,3314337,67156,400.135805,397.38,True,True,90735.0
28,2021-08-10,400.62,410.63,399.5,407.97,3150884,60751,407.134081,407.12,False,True,115163.0
29,2021-08-11,408.99,414.68,407.06,413.89,2998085,56687,412.60744,413.91,True,False,86316.0
30,2021-08-12,414.795,418.62,410.56,415.0,2318318,47612,414.155694,411.72,False,True,101051.0
31,2021-08-13,416.24,416.89,408.18,410.78,1978659,40254,410.81897,409.445,True,True,78669.0
32,2021-08-16,408.73,408.99,402.15,408.35,1589677,32814,406.421704,405.9164,True,True,62407.0
33,2021-08-17,403.82,408.35,400.2,404.97,2074726,38595,404.356385,406.135,False,False,42206.0
34,2021-08-18,402.805,406.11,398.59,398.8,2182465,34651,401.584455,404.4,False,False,32549.0
