,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,22.79,23.15,22.67,23.12,6024580,35058,23.033122,23.085,True,True,269601.0
1,2021-07-01,23.95,24.17,23.565,23.8,8705378,54048,23.896525,23.83,False,False,260420.0
2,2021-07-02,23.7,23.94,23.53,23.78,5888416,37059,23.769525,23.75,False,True,198106.0
3,2021-07-06,23.695,23.695,22.12,22.23,11089872,63361,22.535497,22.67,False,False,549005.0
4,2021-07-07,22.05,22.455,21.3306,21.62,11285973,65529,21.631697,21.425,True,True,926912.0
5,2021-07-08,21.07,21.79,21.03,21.61,8117753,46571,21.494956,21.38,False,True,221874.0
6,2021-07-09,22.04,22.465,21.71,22.38,7597808,51855,22.285714,22.415,True,False,367588.0
7,2021-07-12,21.99,22.645,21.68,22.42,6521902,36893,22.354656,22.3515,False,True,190073.0
8,2021-07-13,22.24,22.455,21.94,22.09,5838238,38900,22.131063,22.0,False,True,152616.0
9,2021-07-14,22.3,22.66,21.2901,21.45,8616315,50254,21.764813,22.2205,False,False,231614.0
10,2021-07-15,21.11,21.49,20.64,20.69,10328801,62734,20.956397,21.07,False,False,284785.0
11,2021-07-16,20.99,21.06,20.01,20.06,9956536,56810,20.222053,20.12,False,False,386592.0
12,2021-07-19,19.21,19.64,18.89,19.36,15655735,89096,19.20192,19.3,True,True,680370.0
13,2021-07-20,19.51,20.475,19.25,20.07,14619723,80399,20.002035,20.18,False,False,571269.0
14,2021-07-21,20.87,21.15,20.51,20.77,14636831,85243,20.847157,20.72,False,True,902196.0
15,2021-07-22,20.76,20.81,20.185,20.55,8380049,48908,20.488046,20.45,True,True,288849.0
16,2021-07-23,20.55,20.6599,19.815,20.11,12392537,68584,20.082833,20.135,True,False,493827.0
17,2021-07-26,20.29,20.79,20.07,20.69,8894978,45583,20.587714,20.45,False,True,397912.0
18,2021-07-27,20.35,20.8182,20.21,20.64,10535852,55951,20.646677,20.68,False,False,733640.0
19,2021-07-28,20.74,21.39,20.57,21.09,12206086,71025,20.996908,20.75,False,True,781572.0
20,2021-07-29,21.43,21.51,21.035,21.25,6310943,39988,21.252656,21.23,True,True,249152.0
21,2021-07-30,21.16,21.28,20.54,20.68,8709841,47507,20.773441,20.795,False,False,365886.0
22,2021-08-02,20.69,21.37,20.14,20.16,10240325,64383,20.54768,20.79,False,False,385894.0
23,2021-08-03,19.99,20.38,19.52,20.37,11334387,67943,20.038076,19.84,True,True,574273.0
24,2021-08-04,19.81,20.03,19.145,19.2,15259490,78934,19.433309,19.682,False,False,364961.0
25,2021-08-05,19.39,19.73,19.235,19.48,8274511,48999,19.505854,19.54,True,False,295826.0
26,2021-08-06,19.8,20.115,19.595,20.0,7102383,43240,19.960067,19.865,False,True,320554.0
27,2021-08-09,19.59,19.84,19.2582,19.69,7570812,41111,19.598377,19.45,True,True,890502.0
28,2021-08-10,19.78,20.36,19.73,20.21,6884696,45263,20.077341,19.875,False,True,448280.0
29,2021-08-11,20.13,20.7,19.85,20.63,5924915,36077,20.408003,20.21,False,True,164988.0
30,2021-08-12,20.65,20.78,20.025,20.44,6868845,36123,20.313652,20.21,False,True,181385.0
31,2021-08-13,20.39,20.45,20.045,20.13,6130065,38105,20.232898,20.185,True,False,165197.0
32,2021-08-16,19.7,19.7999,19.33,19.65,6989269,42130,19.574772,19.56,True,True,201301.0
