,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,94.27,94.6,93.67,94.52,825364,11516,94.291291,93.795,False,True,17561.0
1,2021-07-01,94.95,95.78,94.85,95.34,567389,10516,95.183078,95.3299,False,True,10168.0
2,2021-07-02,95.64,96.84,95.53,96.65,686047,10818,96.470501,96.53,False,True,14992.0
3,2021-07-06,96.47,96.6888,94.57,95.62,497325,8895,95.403405,95.12,False,True,10626.0
4,2021-07-07,95.66,97.11,95.53,96.93,497878,9697,96.634124,95.76,False,True,17776.0
5,2021-07-08,96.33,97.23,95.39,96.89,588960,13141,96.643642,96.08,True,True,10013.0
6,2021-07-09,97.51,98.25,97.22,97.98,429114,10033,97.914999,97.59,False,True,10897.0
7,2021-07-12,97.37,98.255,97.22,98.15,341664,7557,97.937727,97.82,False,True,8051.0
8,2021-07-13,97.99,98.32,97.275,97.57,478863,8525,97.660525,97.9,False,False,13636.0
9,2021-07-14,97.57,98.42,97.3,97.79,622618,10230,97.856775,98.1,False,False,19852.0
10,2021-07-15,97.77,97.85,94.51,94.8,1003759,13311,95.46943,96.4551,False,False,19406.0
11,2021-07-16,94.33,94.85,93.61,94.04,676553,11884,94.223813,93.96,False,True,14910.0
12,2021-07-19,92.91,93.45,90.82,91.8,791943,13571,91.72778,91.91,True,False,19154.0
13,2021-07-20,92.32,94.39,91.905,94.0,650660,11661,93.880737,93.54,True,True,16588.0
14,2021-07-21,94.35,95.285,93.84,94.22,420580,8419,94.249525,94.39,False,False,9227.0
15,2021-07-22,94.0,94.2,92.86,93.24,393367,7545,93.243781,93.57,True,False,18383.0
16,2021-07-23,93.43,93.68,91.68,92.41,1105163,16362,92.442497,92.33,True,True,22039.0
17,2021-07-26,98.12,104.8899,96.88,103.72,3870209,49684,102.296209,103.12,True,True,280330.0
18,2021-07-27,102.74,103.46,100.34,101.37,1495416,22078,101.621617,102.0462,False,False,26803.0
19,2021-07-28,101.37,102.69,99.75,99.88,1435691,20397,100.636198,100.13,False,False,45646.0
20,2021-07-29,100.29,100.76,99.36,100.49,968834,14893,100.271486,99.45,False,True,17758.0
21,2021-07-30,99.87,101.5,99.18,99.44,1621213,14641,99.658403,99.88,False,False,22786.0
22,2021-08-02,100.02,101.6,99.47,99.65,636991,11961,100.173757,100.29,False,False,17815.0
23,2021-08-03,100.49,100.87,98.67,100.38,896974,12748,100.327255,100.35,True,True,19176.0
24,2021-08-04,100.77,101.01,99.15,99.56,553235,10930,99.71301,100.42,False,False,8096.0
25,2021-08-05,99.6,99.73,98.41,99.07,507869,9514,99.010532,99.41,True,False,7278.0
26,2021-08-06,99.49,99.95,97.68,97.99,572496,9412,98.29843,99.03,False,False,6284.0
27,2021-08-09,98.13,98.96,97.92,98.2,369452,6918,98.425542,98.39,True,False,6421.0
28,2021-08-10,98.01,99.03,97.79,98.68,339006,7429,98.639578,98.955,True,False,10407.0
29,2021-08-11,98.41,99.06,97.73,98.71,470235,8875,98.665336,98.81,True,False,11010.0
30,2021-08-12,98.75,99.35,98.405,99.07,678403,9440,98.971041,98.495,False,True,15730.0
31,2021-08-13,99.33,100.27,99.035,100.26,527704,9846,99.97067,99.53,False,True,11790.0
32,2021-08-16,100.0,100.77,99.48,99.98,546932,10595,100.061459,100.53,True,False,16988.0
33,2021-08-17,99.4,99.4,96.25,97.31,541269,10933,97.262571,97.38,False,False,15799.0
34,2021-08-18,97.03,97.21,95.9,95.95,463524,7989,96.309254,97.0434,True,False,6381.0
