,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,18.48,18.71,18.255,18.67,3266477,21703,18.575042,18.5,True,True,58321.0
1,2021-07-01,18.66,19.255,18.58,18.78,3986402,26654,18.882632,19.08,False,False,106148.0
2,2021-07-02,18.72,18.8,18.41,18.55,3007795,24346,18.543593,18.53,False,True,154073.0
3,2021-07-06,18.48,18.61,17.735,17.83,5215151,30793,17.923976,18.045,False,False,153315.0
4,2021-07-07,17.7,17.87,17.445,17.59,4396899,29686,17.599365,17.5,True,True,103080.0
5,2021-07-08,17.34,17.69,17.2,17.46,4413295,29583,17.471763,17.485,False,False,201303.0
6,2021-07-09,17.75,18.16,17.72,18.1,3354536,22758,17.972376,17.925,False,True,68566.0
7,2021-07-12,17.93,18.28,17.69,18.12,2821418,19418,18.102417,18.1727,False,False,57150.0
8,2021-07-13,18.75,18.77,18.075,18.15,4886134,31009,18.325315,18.2099,False,False,180321.0
9,2021-07-14,18.28,18.335,18.07,18.14,2612376,18962,18.20617,18.22,True,False,67822.0
10,2021-07-15,18.05,18.1316,17.73,17.98,4151708,23028,17.924733,17.84,True,True,156033.0
11,2021-07-16,18.01,18.13,17.42,17.42,3138253,18557,17.562826,17.7647,False,False,92433.0
12,2021-07-19,17.0,17.495,16.96,17.31,4393452,29359,17.271218,17.4,True,False,103783.0
13,2021-07-20,17.27,17.85,17.2,17.79,3914847,22231,17.71547,17.48,False,True,71282.0
14,2021-07-21,17.91,18.3,17.9,18.1,3278810,23927,18.096127,18.1,False,False,106406.0
15,2021-07-22,18.02,18.08,17.765,17.87,2989588,20341,17.918929,18.005,True,False,74987.0
16,2021-07-23,18.0,18.245,17.915,18.04,2723967,20013,18.061635,18.1332,True,False,84376.0
17,2021-07-26,18.06,18.37,18.02,18.35,3127345,21440,18.252977,18.105,False,True,135042.0
18,2021-07-27,18.22,18.475,18.025,18.26,2883815,21777,18.243656,18.31,True,False,91630.0
19,2021-07-28,18.33,18.43,17.955,18.08,3146056,22355,18.09352,18.0,False,True,125032.0
20,2021-07-29,18.25,18.489,18.23,18.36,3128792,22654,18.362315,18.38,True,False,108451.0
21,2021-07-30,18.26,18.55,18.17,18.26,8421198,27832,18.275172,18.345,False,False,80996.0
22,2021-08-02,18.36,18.85,18.28,18.51,3798574,24238,18.584058,18.765,True,False,153772.0
23,2021-08-03,18.62,18.71,18.205,18.68,3630184,24242,18.586904,18.48,True,True,111101.0
24,2021-08-04,18.55,18.78,18.31,18.35,4750187,29674,18.487218,18.685,True,False,129699.0
25,2021-08-05,19.19,20.18,19.04,19.51,8869531,52859,19.557585,19.205,False,True,306069.0
26,2021-08-06,19.73,20.055,19.34,19.84,6134122,36641,19.816707,19.875,False,False,271728.0
27,2021-08-09,19.67,19.74,19.27,19.39,4433940,23535,19.457191,19.405,False,False,136034.0
28,2021-08-10,19.4,20.335,19.34,20.21,4315984,28913,20.114734,20.07,True,True,197604.0
29,2021-08-11,20.05,20.65,19.98,20.57,4157806,27770,20.478373,20.51,True,True,105842.0
30,2021-08-12,20.65,20.715,20.335,20.68,2906455,20202,20.605717,20.365,False,True,55598.0
31,2021-08-13,20.7,20.74,20.355,20.41,3315275,21758,20.487544,20.52,False,False,53811.0
32,2021-08-16,20.25,20.44,20.08,20.14,2714759,16432,20.209633,20.4,True,False,71636.0
33,2021-08-17,19.91,19.96,19.17,19.4,4046751,25216,19.427946,19.42,False,False,101336.0
34,2021-08-18,19.3,19.63,19.11,19.13,2407890,18334,19.345169,19.57,True,False,87222.0
35,2021-08-19,18.85,19.225,18.52,18.6,3602077,26828,18.752346,18.865,False,False,105175.0
36,2021-08-20,18.64,18.96,18.55,18.95,2965415,19608,18.802746,18.66,True,True,78657.0
37,2021-08-23,19.13,19.2774,19.02,19.23,2719175,16552,19.191165,19.15,True,True,88024.0
38,2021-08-24,19.34,19.59,19.26,19.37,1843269,13480,19.431166,19.43,True,False,97066.0
39,2021-08-25,19.33,19.78,19.21,19.74,2911107,20856,19.605978,19.49,True,True,99606.0
40,2021-08-26,19.59,19.72,18.985,19.09,4564419,27499,19.196452,19.2,False,False,293776.0
41,2021-08-27,19.13,19.585,19.04,19.41,3096301,19035,19.411291,19.285,True,True,149023.0
42,2021-08-30,19.38,19.41,18.815,18.82,3808538,22099,19.001327,19.205,True,False,92443.0
43,2021-08-31,18.92,19.045,18.52,18.68,4559144,26935,18.674654,18.58,False,True,280166.0
44,2021-09-01,18.82,19.46,18.8,19.23,6666256,37859,19.177283,19.1,True,True,226903.0
45,2021-09-02,19.31,19.505,19.19,19.36,2385143,16151,19.342145,19.425,True,False,77355.0
46,2021-09-03,19.24,19.39,18.9072,19.06,2087610,15121,19.083135,19.055,False,True,78374.0
47,2021-09-07,19.03,19.17,18.845,18.86,4405960,31532,18.953696,19.03,False,False,235319.0
48,2021-09-08,18.79,18.97,18.53,18.67,3690413,24756,18.746375,18.735,False,False,103014.0
49,2021-09-09,18.7,18.975,18.605,18.82,3108660,24875,18.834622,18.905,True,False,118206.0
50,2021-09-10,18.84,19.025,18.68,18.72,3691116,23661,18.841357,18.815,False,False,100324.0
51,2021-09-13,18.84,19.1,18.6,19.09,3503817,26288,18.944298,18.84,True,True,105310.0
52,2021-09-14,19.07,19.1,18.42,18.81,4162239,28406,18.708898,18.53,False,True,119815.0
53,2021-09-15,18.78,19.26,18.72,19.16,5510749,36252,19.105305,18.82,False,True,87722.0
54,2021-09-16,19.25,19.59,19.14,19.3,2680565,21661,19.414952,19.395,True,False,96765.0
55,2021-09-17,19.29,19.54,18.97,19.0,4487697,20580,19.059472,19.24,True,False,70019.0
56,2021-09-20,18.63,18.89,18.35,18.7,4855115,31317,18.611795,18.7,True,False,182416.0
57,2021-09-21,18.82,18.99,18.405,18.42,3204135,20084,18.544904,18.495,False,False,101709.0
58,2021-09-22,18.64,18.8,18.49,18.5,3305036,21712,18.626039,18.66,True,False,52095.0
59,2021-09-23,18.64,18.96,18.58,18.63,5429077,27209,18.739753,18.955,True,False,88824.0
60,2021-09-24,18.5,18.78,18.26,18.67,3658463,23542,18.625552,18.595,True,True,150780.0
61,2021-09-27,18.73,19.01,18.61,18.76,3192293,23087,18.856792,18.845,False,False,159527.0
62,2021-09-28,18.83,19.21,18.745,18.99,3430837,26685,18.99759,18.96,True,True,86613.0
63,2021-09-29,19.04,19.19,18.435,18.52,3617325,23813,18.622271,18.83,True,False,60849.0
64,2021-09-30,18.45,18.48,17.15,17.16,10237291,55647,17.456572,17.545,False,False,505852.0
65,2021-10-01,17.2,17.66,17.17,17.47,7030940,41966,17.434882,17.215,False,True,351670.0
66,2021-10-04,17.44,17.72,17.27,17.43,5337270,38493,17.429006,17.425,False,True,255392.0
67,2021-10-05,17.27,17.43,16.82,16.93,9359534,48161,17.051776,17.375,True,False,164080.0
68,2021-10-06,16.72,16.82,15.84,16.41,9806913,56493,16.2197,16.005,False,True,430485.0
69,2021-10-07,16.73,17.15,16.62,17.08,5802671,38102,17.030351,17.085,True,False,198139.0
70,2021-10-08,16.99,17.01,16.02,16.23,6446337,39035,16.373699,16.68,False,False,157373.0
71,2021-10-11,16.34,16.71,16.22,16.29,3377281,22646,16.398622,16.48,False,False,85837.0
72,2021-10-12,16.4,16.53,16.22,16.38,3028214,17913,16.380265,16.395,True,False,72073.0
73,2021-10-13,16.38,16.67,16.27,16.55,3233432,21430,16.517306,16.425,True,True,77350.0
74,2021-10-14,16.79,17.22,16.75,17.2,4739989,26904,17.078332,16.925,False,True,100178.0
75,2021-10-15,17.33,17.47,16.84,16.85,3114237,22338,17.012952,17.1109,True,False,110707.0
76,2021-10-18,16.87,16.925,16.615,16.83,3201016,20206,16.79048,16.83,True,False,60906.0
77,2021-10-19,16.86,16.87,16.63,16.68,4880620,18671,16.705442,16.72,False,False,47888.0
78,2021-10-20,16.65,16.97,16.63,16.78,3521365,22275,16.816544,16.88,True,False,126429.0
79,2021-10-21,16.85,17.1501,16.8,16.89,2553630,17057,16.944781,17.11,True,False,104172.0
80,2021-10-22,16.86,17.0,16.72,16.84,2549947,16860,16.860923,16.95,True,False,49424.0
81,2021-10-25,16.8,17.16,16.78,16.94,3454865,18364,16.99651,16.92,True,True,75239.0
82,2021-10-26,17.03,17.215,16.95,16.99,3710210,23000,17.061508,17.1654,True,False,113012.0
83,2021-10-27,16.96,17.13,16.85,17.03,3301673,18377,17.040686,16.96,False,True,83665.0
84,2021-10-28,17.055,17.23,16.855,17.23,2817085,20838,17.109719,17.0,False,True,92433.0
85,2021-10-29,17.23,17.355,16.92,17.04,3257343,20457,17.061955,17.0,False,True,59951.0
