,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,205.34,206.96,204.44,206.74,1436817,21385,205.831784,205.19,True,True,32184.0
1,2021-07-01,207.71,212.5,207.155,211.83,1444357,30443,211.553257,211.64,True,True,44713.0
2,2021-07-02,211.24,215.19,210.43,214.85,827911,18630,214.011437,213.36,True,True,25879.0
3,2021-07-06,214.04,214.91,211.45,214.84,959823,18869,213.867166,212.445,True,True,25905.0
4,2021-07-07,214.63,217.42,214.28,216.93,974971,19567,216.450704,214.87,False,True,33689.0
5,2021-07-08,213.17,215.31,211.63,214.05,971810,20084,213.941953,212.87,True,True,25576.0
6,2021-07-09,217.26,219.96,215.22,218.79,907841,20944,218.616142,219.0619,False,False,39936.0
7,2021-07-12,217.61,221.705,216.65,220.34,1098224,19422,220.373038,220.76,True,False,47843.0
8,2021-07-13,219.96,220.92,218.12,219.23,868037,16130,219.51554,218.69,True,True,23949.0
9,2021-07-14,219.695,220.82,217.9847,218.75,1220018,17184,219.037678,218.97,False,False,27264.0
10,2021-07-15,217.72,220.96,217.02,220.29,1118341,20145,219.657899,218.19,True,True,34240.0
11,2021-07-16,220.94,221.63,218.99,219.2,1038680,17793,220.043804,219.5,True,False,24604.0
12,2021-07-19,215.67,219.23,214.61,217.63,1581453,27645,217.114454,217.73,True,False,42716.0
13,2021-07-20,240.0,252.0,237.68,248.9,4816666,69853,246.433096,244.825,False,True,244849.0
14,2021-07-21,251.45,254.45,248.31,249.25,2430869,35413,250.753013,252.01,True,False,64694.0
15,2021-07-22,249.94,250.0,245.7306,246.79,1704042,25555,247.33388,248.82,True,False,59497.0
16,2021-07-23,248.75,250.34,246.35,248.46,1483358,21090,248.466804,247.52,True,True,91255.0
17,2021-07-26,247.54,248.42,240.815,245.76,1709648,29208,244.061645,241.0,False,True,87105.0
18,2021-07-27,244.76,250.78,244.01,247.69,1546852,24140,247.925046,249.39,True,False,40463.0
19,2021-07-28,247.53,247.5667,242.71,245.93,1103208,21506,245.68482,243.88,True,True,26346.0
20,2021-07-29,246.95,249.48,246.86,247.9,1089883,19390,248.098948,248.9,True,False,56840.0
21,2021-07-30,246.86,249.79,246.4669,248.2,1281220,18091,248.367385,248.77,True,False,97377.0
22,2021-08-02,248.555,251.81,248.41,251.0,1168485,22843,250.5893,251.04,False,False,52156.0
23,2021-08-03,251.84,254.2,247.42,253.51,1274062,22080,252.399089,251.06,True,True,43180.0
24,2021-08-04,253.03,255.13,248.02,248.26,1527017,24891,250.328979,251.835,False,False,51561.0
25,2021-08-05,249.37,250.5,244.305,249.06,1147103,16460,247.828067,246.405,True,True,33985.0
26,2021-08-06,250.36,252.51,249.67,250.12,1046847,16377,250.562721,250.23,False,False,29973.0
27,2021-08-09,248.59,249.99,247.52,248.64,696311,14824,248.786675,248.68,True,False,25648.0
28,2021-08-10,246.15,248.46,239.72,240.66,1978968,28888,243.062198,247.73,True,False,23008.0
29,2021-08-11,240.9,241.71,236.42,241.16,1351719,21601,240.089866,240.43,False,True,29547.0
30,2021-08-12,237.25,244.44,236.11,242.54,1121269,19521,242.219882,240.8,True,True,23531.0
31,2021-08-13,242.95,244.02,242.05,242.98,829805,15158,242.937283,243.5,False,False,18734.0
32,2021-08-16,242.97,246.5899,242.2,246.31,895673,17332,245.584454,245.55,False,True,26710.0
33,2021-08-17,244.04,247.58,243.72,245.03,1084741,19671,245.075663,246.13,False,False,26737.0
34,2021-08-18,243.46,246.67,242.2,242.47,1223238,21779,244.113606,245.73,False,False,46900.0
35,2021-08-19,240.99,247.27,239.84,246.5,1057473,20650,245.808591,244.04,False,True,28907.0
36,2021-08-20,246.77,250.66,246.6,249.34,1003823,19271,249.482648,248.35,False,True,20937.0
37,2021-08-23,250.86,251.79,249.44,249.65,1002699,19219,250.381603,249.78,False,False,22102.0
38,2021-08-24,250.26,251.65,249.37,249.48,816994,17096,250.274323,250.82,False,False,16084.0
39,2021-08-25,249.72,255.28,249.24,252.09,1111978,22252,253.11098,253.61,True,False,36545.0
40,2021-08-26,251.38,253.17,250.04,251.04,915315,16780,251.511279,251.29,False,False,24807.0
41,2021-08-27,251.25,253.41,250.55,251.85,904104,20060,252.215799,251.19,False,True,25839.0
42,2021-08-30,252.14,255.08,251.57,253.49,601261,15756,254.072737,254.29,True,False,21369.0
43,2021-08-31,253.69,257.42,252.07,252.98,1817869,24106,253.676119,255.33,False,False,35504.0
44,2021-09-01,254.025,255.0,251.27,252.66,956184,21779,253.074997,252.01,True,True,29167.0
