,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,318.21,320.285,317.69,318.89,3058860,56922,318.937423,318.885,True,True,84531.0
1,2021-07-01,319.83,321.69,318.5001,321.54,2566437,56497,320.776176,319.95,True,True,82373.0
2,2021-07-02,322.71,323.12,321.35,322.7,2197422,49419,322.460469,321.8062,False,True,67499.0
3,2021-07-06,322.98,323.83,316.8,319.26,3104910,63457,319.176579,319.045,False,True,93100.0
4,2021-07-07,318.545,324.4199,318.25,323.48,2932313,68179,322.596573,320.87,False,True,121049.0
5,2021-07-08,319.245,320.33,314.8,318.54,3653347,78190,317.941876,316.15,True,True,183888.0
6,2021-07-09,320.6,323.31,320.18,322.09,2576029,49870,321.795285,321.1,False,True,74964.0
7,2021-07-12,321.25,324.0,320.53,321.74,2518592,55813,321.775269,322.41,False,False,79026.0
8,2021-07-13,322.75,323.29,316.83,317.05,3199617,65822,318.581139,320.294,True,False,80975.0
9,2021-07-14,318.82,320.06,318.0101,319.22,3372994,53074,319.175917,318.2935,False,True,147147.0
10,2021-07-15,317.98,322.96,317.3635,322.71,2596506,55047,321.685886,322.264,True,True,133516.0
11,2021-07-16,324.0,326.28,321.4,321.54,3611188,65431,323.499615,324.535,False,False,87416.0
12,2021-07-19,318.0,319.0,314.91,318.87,3711988,79331,317.605588,316.62,False,True,128746.0
13,2021-07-20,318.46,326.13,318.27,325.35,4227456,76539,324.233978,323.14,True,True,131350.0
14,2021-07-21,327.47,328.47,324.97,326.36,2820161,53827,326.365919,327.2015,True,False,70100.0
15,2021-07-22,327.8,327.97,325.33,326.66,2204915,46781,326.484443,326.15,True,True,52619.0
16,2021-07-23,329.71,333.45,327.94,332.84,2777918,56035,331.567485,330.13,True,True,69346.0
17,2021-07-26,330.6,331.56,326.88,331.18,2748403,54016,330.142994,328.07,True,True,84773.0
18,2021-07-27,331.74,331.88,326.06,327.26,2907766,60242,327.686855,327.79,True,False,73700.0
19,2021-07-28,326.13,329.33,324.71,325.52,2363748,48430,326.48217,327.159,False,False,60213.0
20,2021-07-29,326.51,328.56,325.44,327.43,2162361,43469,326.891163,326.385,True,True,82362.0
21,2021-07-30,326.82,330.11,326.34,328.19,2368851,45237,328.426166,328.285,True,False,69891.0
22,2021-08-02,329.45,330.0,326.42,327.22,2003186,46847,327.740608,327.81,False,False,56781.0
23,2021-08-03,328.75,333.0145,328.03,331.94,2393821,51014,331.470943,332.84,True,False,126888.0
24,2021-08-04,330.34,331.92,329.39,330.31,1780605,38654,330.618617,330.5766,False,False,63945.0
25,2021-08-05,331.94,336.0,331.09,333.11,2281473,50451,333.27669,333.45,False,False,86263.0
26,2021-08-06,334.13,335.71,329.1231,329.84,2657176,48642,331.269993,333.02,False,False,53436.0
