,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,87.03,88.81,86.82,87.32,1377170,17518,87.550952,88.25,False,False,49387.0
1,2021-07-01,89.66,90.32,88.22,88.89,1437988,20556,89.130376,88.73,False,True,34600.0
2,2021-07-02,88.35,88.64,87.65,88.17,941005,14231,88.20479,88.05,False,True,15270.0
3,2021-07-06,87.42,87.96,85.08,85.18,2032970,25768,85.727005,86.21,True,False,55560.0
4,2021-07-07,84.92,85.72,82.38,83.34,1754714,26278,83.662243,82.56,True,True,58588.0
5,2021-07-08,81.75,83.72,81.38,82.6,1947120,24841,82.551204,82.47,True,True,173598.0
6,2021-07-09,84.13,84.44,81.91,84.01,2304469,23145,83.720024,83.63,True,True,66174.0
7,2021-07-12,82.46,85.17,82.33,84.6,1209943,17826,84.575535,84.73,False,False,26290.0
8,2021-07-13,84.23,84.83,83.18,83.91,1031590,14562,84.003356,83.235,False,True,24143.0
9,2021-07-14,84.64,85.705,80.03,80.39,2162975,26855,81.443063,83.665,False,False,29881.0
10,2021-07-15,79.24,80.38,77.98,78.38,2285157,28819,78.913751,79.02,False,False,58828.0
11,2021-07-16,79.48,79.6,76.08,76.37,2062315,25632,77.304888,77.555,False,False,56530.0
12,2021-07-19,73.355,74.88,72.43,73.65,2763561,38341,73.391133,74.115,True,False,103590.0
13,2021-07-20,73.61,75.365,72.8365,74.24,2641198,33422,74.20875,74.84,False,False,58685.0
14,2021-07-21,76.07,77.18,75.43,76.3,1841215,22302,76.355841,76.06,True,True,53459.0
15,2021-07-22,76.43,76.555,74.75,74.99,1098488,17393,75.272498,75.4,False,False,39836.0
16,2021-07-23,75.0,75.155,73.56,74.37,1347198,18705,74.321259,74.595,True,False,46756.0
17,2021-07-26,74.35,75.9,74.18,75.85,1665904,21394,75.404178,74.85,False,True,53037.0
18,2021-07-27,74.8,75.12,73.54,74.06,2139498,25498,74.24485,74.475,False,False,44206.0
19,2021-07-28,74.86,78.28,73.85,77.49,2464934,28653,76.546819,75.45,False,True,98559.0
20,2021-07-29,78.56,79.16,77.25,77.66,1870536,22248,77.989446,77.82,False,False,82061.0
21,2021-07-30,77.52,77.62,75.39,76.44,1605064,20286,76.307234,75.505,False,True,63311.0
22,2021-08-02,76.82,77.9184,73.71,73.78,2012957,28586,74.924816,76.25,False,False,41640.0
23,2021-08-03,73.32,75.095,72.55,74.98,2299386,30240,74.345877,74.17,True,True,69418.0
24,2021-08-04,73.02,74.3,71.57,71.87,1914190,26485,72.406722,73.55,False,False,91861.0
25,2021-08-05,73.13,74.29,72.13,73.2,1564510,21682,73.445436,73.43,False,False,31738.0
26,2021-08-06,74.23,74.47,72.7,73.14,1566400,20806,73.178759,73.12,False,True,26642.0
27,2021-08-09,71.74,72.65,71.38,71.64,1779458,19045,71.864554,71.75,True,False,54180.0
28,2021-08-10,72.34,72.65,71.72,72.61,2313695,26211,72.379122,72.29,False,True,119569.0
29,2021-08-11,71.96,72.95,71.07,72.78,1877368,21062,72.335152,72.09,False,True,76116.0
30,2021-08-12,72.81,73.48,71.42,71.99,1408524,18376,72.002238,72.09,False,False,35087.0
31,2021-08-13,71.7,71.97,69.9,69.94,1688346,21173,70.485252,70.55,True,False,27058.0
32,2021-08-16,68.64,68.81,67.37,67.46,2144492,25763,67.725253,68.2,True,False,56641.0
33,2021-08-17,67.07,67.765,66.0,66.4,1835725,23445,66.735724,67.765,True,False,107998.0
34,2021-08-18,66.58,66.87,64.68,64.74,1690632,22496,65.70178,66.33,True,False,28831.0
35,2021-08-19,63.02,64.09,61.93,63.59,2884390,35014,63.066827,61.985,False,True,117004.0
36,2021-08-20,62.87,65.105,62.78,64.32,2621176,28761,64.269991,63.64,False,True,72248.0
37,2021-08-23,66.27,67.67,66.19,66.75,2462731,25597,66.954821,66.91,False,False,61719.0
38,2021-08-24,67.58,68.26,66.29,68.19,2958783,27419,67.484658,67.0,False,True,167068.0
39,2021-08-25,68.21,69.65,67.5,69.34,1927882,24176,69.053969,68.58,True,True,47736.0
40,2021-08-26,68.7,69.35,67.39,67.4,1499146,22298,68.101206,68.82,False,False,62345.0
41,2021-08-27,68.69,70.57,68.32,69.85,1242592,19051,69.845858,69.75,True,True,49305.0
42,2021-08-30,70.07,70.38,69.03,69.08,1207479,17582,69.54002,69.585,True,False,21807.0
43,2021-08-31,68.68,69.56,68.15,68.75,1959223,17226,68.849113,68.87,True,False,22133.0
44,2021-09-01,68.46,69.08,67.88,68.81,2154739,32874,68.595334,68.54,False,True,49860.0
45,2021-09-02,70.23,72.395,69.88,71.27,2603643,28882,71.024883,72.05,True,False,86631.0
46,2021-09-03,70.63,71.69,69.57,69.91,1389002,23135,70.186817,70.42,False,False,35652.0
47,2021-09-07,69.425,70.71,68.98,70.11,1369120,19774,69.807352,69.5,False,True,39669.0
48,2021-09-08,70.39,70.97,68.64,68.68,1431943,18508,69.406744,69.83,False,False,79688.0
49,2021-09-09,68.13,70.4,67.64,68.58,2097820,25104,68.773879,70.08,True,False,107195.0
50,2021-09-10,69.88,70.0,67.71,67.77,1347166,22120,68.172856,68.23,False,False,24019.0
51,2021-09-13,69.01,71.51,68.71,71.39,2754947,31679,70.715039,70.69,True,True,93930.0
52,2021-09-14,72.05,72.07,68.64,68.91,1763337,25826,69.650757,70.05,False,False,30801.0
53,2021-09-15,70.75,72.83,70.33,72.65,3072713,32771,72.312854,72.04,False,True,53880.0
