,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,207.42,211.48,205.85,210.75,204488,5881,210.024605,209.48,True,True,7889.0
1,2021-07-01,211.69,212.39,210.465,212.15,185409,5107,211.825947,211.28,True,True,4455.0
2,2021-07-02,211.86,213.55,210.25,211.97,115933,4111,212.391372,213.1,True,False,5602.0
3,2021-07-06,212.0,212.02,204.03,205.86,241163,7558,206.012784,205.475,False,True,4249.0
4,2021-07-07,205.26,207.54,204.17,206.89,222793,7779,206.426505,204.995,True,True,7900.0
5,2021-07-08,203.84,206.0568,202.43,203.55,208245,6309,203.794078,203.78,True,False,3677.0
6,2021-07-09,207.57,207.8864,204.96,206.22,297116,7688,205.985028,206.64,False,False,6216.0
7,2021-07-12,204.0,205.4,202.675,204.69,196270,5269,204.234884,205.15,True,False,6051.0
8,2021-07-13,205.5,205.66,202.23,202.66,195375,5951,203.546887,205.32,True,False,4510.0
9,2021-07-14,202.55,204.385,199.935,201.66,204528,5737,201.341429,201.15,False,True,4111.0
10,2021-07-15,201.61,202.44,199.68,201.38,158662,4358,201.148831,201.41,False,False,3620.0
11,2021-07-16,202.91,203.44,200.35,200.74,133501,3966,201.735632,201.275,False,False,2989.0
12,2021-07-19,197.73,198.465,193.73,195.31,253375,6841,195.312191,196.21,True,False,5637.0
13,2021-07-20,197.97,203.51,196.0,202.89,310238,7509,201.803912,199.6,False,True,10014.0
14,2021-07-21,204.71,206.45,202.45,204.76,343420,6884,204.652583,204.17,False,True,5159.0
15,2021-07-22,202.79,204.39,201.54,202.17,106867,3942,202.560503,202.475,False,False,3547.0
16,2021-07-23,203.15,204.205,200.83,203.75,100984,3298,203.256248,202.31,True,True,2402.0
17,2021-07-26,204.68,205.69,203.5,205.17,157380,3962,205.123656,204.07,False,True,3545.0
18,2021-07-27,203.84,206.73,203.17,204.43,115210,4009,204.832493,206.13,True,False,6426.0
19,2021-07-28,205.265,207.52,202.9,204.86,121853,3992,204.745267,203.5,True,True,2972.0
20,2021-07-29,205.82,208.49,204.895,207.23,144867,4991,207.425139,206.54,False,True,2740.0
21,2021-07-30,205.67,208.24,204.59,205.13,218882,5805,205.837191,207.19,True,False,2895.0
22,2021-08-02,205.17,208.2886,203.22,203.42,135480,5653,204.804995,206.57,False,False,325.0
23,2021-08-03,202.77,204.64,199.59,204.36,225902,5101,203.748386,202.88,True,True,6714.0
24,2021-08-04,202.42,202.93,198.51,200.41,208732,5905,200.345442,201.2074,True,False,7264.0
25,2021-08-05,202.5,203.24,200.5,203.2,176393,4716,202.51767,201.97,True,True,2936.0
26,2021-08-06,205.4,207.675,204.89,205.58,154954,4390,206.000681,206.41,False,False,1727.0
27,2021-08-09,203.82,206.07,203.75,205.13,236150,3734,205.139959,204.87,True,True,1505.0
28,2021-08-10,204.43,208.98,204.0,206.94,133117,4234,207.153116,207.21,False,False,1278.0
29,2021-08-11,205.56,209.075,205.43,208.93,136553,4717,207.858929,206.69,True,True,11834.0
30,2021-08-12,209.06,209.62,206.13,207.49,150523,4204,207.161617,207.22,False,True,4101.0
31,2021-08-13,207.51,208.59,205.75,205.94,97242,3533,206.696313,207.27,False,False,902.0
32,2021-08-16,204.59,206.89,203.0,205.75,160456,4720,205.92179,206.375,True,False,5468.0
33,2021-08-17,204.61,206.74,204.0729,205.67,277204,3985,205.641647,206.04,False,False,2323.0
34,2021-08-18,205.0,205.02,201.12,201.17,184331,5046,203.186246,204.66,False,False,1314.0
35,2021-08-19,200.92,203.11,199.17,200.16,162895,4558,200.457809,201.42,False,False,2115.0
36,2021-08-20,201.33,203.78,200.47,202.73,119197,3963,202.720144,201.74,False,True,3525.0
37,2021-08-23,204.5,206.89,203.54,205.98,201550,6532,205.914623,205.28,True,True,4778.0
38,2021-08-24,206.6,208.12,205.66,206.04,128884,3839,206.405737,206.59,False,False,2427.0
39,2021-08-25,205.06,207.55,204.6281,206.22,173304,4182,206.117192,206.44,True,False,2121.0
40,2021-08-26,204.4,205.3,202.69,204.42,100339,3525,204.358023,203.27,True,True,2509.0
41,2021-08-27,206.55,207.89,204.96,206.99,125224,4207,207.184809,206.91,False,True,2649.0
42,2021-08-30,207.14,208.76,206.54,207.01,354404,6545,207.461234,207.76,False,False,27900.0
43,2021-08-31,207.45,207.93,203.76,204.17,414041,6966,204.804625,205.86,True,False,5859.0
44,2021-09-01,203.19,204.22,200.97,202.99,195828,6380,202.914327,201.27,False,True,4284.0
45,2021-09-02,204.04,205.74,203.545,205.13,157180,4239,204.870351,204.76,False,True,2105.0
46,2021-09-03,204.15,204.47,202.26,203.17,115132,3606,203.474053,202.81,False,True,1297.0
47,2021-09-07,201.59,201.735,199.2,199.24,152890,4624,200.031316,199.6,False,False,1145.0
48,2021-09-08,198.65,200.41,198.02,199.49,153176,4444,199.516123,198.91,False,True,3165.0
49,2021-09-09,198.99,201.13,198.98,199.33,108128,3683,199.679815,200.84,True,False,2304.0
50,2021-09-10,200.65,200.7,197.38,198.18,179181,5578,198.807609,198.0,False,True,4322.0
51,2021-09-13,200.96,202.85,198.05,200.98,238432,7807,200.600444,201.795,True,False,11591.0
52,2021-09-14,201.0,201.56,196.52,197.75,199935,5458,197.726227,197.15,False,True,11506.0
53,2021-09-15,197.97,200.925,197.76,199.2,190877,5788,199.489821,199.73,False,False,3305.0
54,2021-09-16,200.33,200.895,194.97,195.08,175346,5771,196.318566,198.16,False,False,2069.0
55,2021-09-17,194.9,196.14,193.545,194.99,468339,5968,194.969108,193.69,False,True,2228.0
56,2021-09-20,192.01,194.23,190.43,193.63,182628,6310,192.64669,193.29,True,True,2169.0
57,2021-09-21,194.09,194.23,189.0,189.32,197987,5542,189.97545,189.9913,False,False,9072.0
58,2021-09-22,191.99,192.7146,190.6,191.47,165241,5347,191.740103,191.67,False,False,1686.0
59,2021-09-23,191.82,196.54,191.82,194.54,225734,6039,194.47765,192.79,False,True,2930.0
60,2021-09-24,196.31,198.89,194.65,195.37,266481,6914,196.363733,197.4525,False,False,12204.0
61,2021-09-27,197.79,199.38,196.2101,197.06,210702,7209,197.641663,199.3,False,False,5149.0
62,2021-09-28,197.62,198.68,195.76,196.54,293316,6294,196.663324,196.7175,True,False,3167.0
63,2021-09-29,197.24,198.86,196.48,197.33,133497,4767,197.697878,198.64,True,False,3950.0
64,2021-09-30,196.8,198.34,192.77,193.06,332346,7161,194.077711,196.285,False,False,4795.0
65,2021-10-01,194.03,195.34,190.48,194.18,198872,6878,193.560887,190.84,False,True,4485.0
66,2021-10-04,196.01,197.57,194.51,195.06,208271,6759,195.520284,195.556,False,False,4715.0
67,2021-10-05,194.97,196.95,193.78,194.93,254756,5691,195.029133,195.92,False,False,1798.0
68,2021-10-06,194.54,197.11,191.957,196.78,224644,7630,195.475355,192.74,False,True,3818.0
69,2021-10-07,198.0,204.13,197.92,202.86,337049,8485,202.454598,201.64,False,True,20776.0
70,2021-10-08,203.2,207.37,202.87,206.39,288140,7857,205.895218,204.28,True,True,3731.0
71,2021-10-11,206.39,212.18,206.08,210.82,340846,8140,210.327842,210.25,True,True,7740.0
72,2021-10-12,210.48,214.87,209.38,212.17,333923,7804,212.70987,213.22,True,False,11331.0
73,2021-10-13,211.26,211.39,205.02,207.97,330122,8172,208.243444,207.9,True,True,13818.0
74,2021-10-14,209.01,209.31,205.44,208.46,318634,7247,207.73709,205.98,False,True,11502.0
75,2021-10-15,210.07,212.16,208.36,210.52,298210,7384,210.720668,211.14,True,False,8192.0
76,2021-10-18,209.36,209.99,206.26,207.45,260134,5875,207.798795,207.19,False,True,7729.0
77,2021-10-19,207.11,209.65,206.04,209.42,168224,5563,208.469046,206.64,False,True,3608.0
78,2021-10-20,209.47,212.26,209.2,211.72,164442,4498,211.299916,210.825,False,True,2304.0
79,2021-10-21,212.19,212.5,209.2,211.13,156629,4946,210.437839,210.28,True,True,2592.0
80,2021-10-22,211.7,214.26,211.53,212.83,160505,4522,212.981711,212.93,True,False,2391.0
81,2021-10-25,213.21,213.16,210.12,212.48,187384,6090,212.149416,210.715,False,True,12893.0
82,2021-10-26,206.29,206.1685,200.75,204.34,404321,10255,204.148551,201.15,False,True,14071.0
83,2021-10-27,204.47,206.153,202.3801,202.64,232440,8211,204.013618,203.74,False,False,6032.0
84,2021-10-28,203.39,205.23,201.61,204.52,249512,6501,203.900199,202.47,True,True,4166.0
85,2021-10-29,204.2,205.26,201.685,202.73,238964,6280,202.788112,203.01,True,False,7762.0
86,2021-11-01,204.42,205.01,201.4,202.08,176958,6272,202.770189,204.25,True,False,1653.0
87,2021-11-02,201.76,202.77,198.385,199.9,241965,6562,199.717533,200.4,False,False,6211.0
88,2021-11-03,198.53,200.11,195.14,199.95,409938,8895,198.401354,199.56,True,True,3280.0
89,2021-11-04,200.5,201.34,190.05,191.31,380798,10064,192.885379,194.42,False,False,20848.0
90,2021-11-05,192.87,195.02,191.925,194.02,299805,8948,193.656321,193.38,True,True,17217.0
91,2021-11-08,194.43,195.0,191.71,194.13,246207,7098,193.813787,193.8886,False,True,11968.0
92,2021-11-09,193.74,195.2,191.89,194.75,205410,5996,194.231174,192.76,False,True,6875.0
93,2021-11-10,194.68,196.13,193.745,193.82,219993,5947,194.352123,194.7,False,False,2683.0
94,2021-11-11,191.57,191.96,188.45,188.87,354049,8985,189.980819,190.87,True,False,15267.0
95,2021-11-12,188.87,192.89,188.6,192.02,290229,7510,191.814048,189.9,True,True,4106.0
96,2021-11-15,191.51,192.7191,189.58,190.41,234914,6144,190.633559,191.35,False,False,8711.0
97,2021-11-16,190.0,191.45,188.13,188.32,231516,6199,189.660844,190.4,True,False,8346.0
98,2021-11-17,187.94,188.39,186.0914,186.69,187081,5895,186.823518,187.73,False,False,7041.0
99,2021-11-18,186.69,186.86,182.44,185.19,370367,9502,184.767482,186.02,False,False,9813.0
100,2021-11-19,185.57,186.46,183.7,184.78,222753,6104,185.01778,184.72,False,True,18410.0
101,2021-11-22,184.93,191.72,184.91,190.5,307958,8877,189.519935,186.7,True,True,7032.0
102,2021-11-23,190.3,192.48,188.21,189.22,211926,6274,189.644975,189.769,False,False,6557.0
103,2021-11-24,188.21,189.14,185.66,186.48,145522,4744,186.809088,188.595,True,False,4919.0
104,2021-11-26,183.15,184.86,181.15,183.27,246004,6490,183.086785,182.79,True,True,15084.0
105,2021-11-29,184.49,184.8,181.19,181.72,247520,7305,182.11111,183.345,False,False,6836.0
106,2021-11-30,179.75,180.582,175.5,177.51,696112,11152,177.668824,180.53,True,False,10739.0
107,2021-12-01,179.21,182.97,176.58,176.58,393483,8623,179.241022,179.29,False,False,9400.0
108,2021-12-02,177.69,180.39,176.5,178.29,468517,10134,178.497143,177.72,False,True,13760.0
109,2021-12-03,178.84,181.5,178.72,181.16,285330,8247,180.251628,179.72,True,True,4968.0
110,2021-12-06,183.98,187.785,183.375,185.87,339702,7320,185.678884,184.83,True,True,10074.0
111,2021-12-07,185.77,187.02,184.57,184.69,361795,8394,185.501957,185.16,False,False,11500.0
112,2021-12-08,185.37,187.295,184.5,186.34,264084,6520,186.352405,185.69,True,True,7399.0
113,2021-12-09,184.0,186.18,182.93,185.95,306589,6680,184.963955,183.67,False,True,8715.0
114,2021-12-10,187.53,188.02,184.77,185.97,243271,7154,186.067252,188.02,True,False,8778.0
115,2021-12-13,186.0,188.45,184.46,187.35,245792,6833,187.099811,185.63,False,True,9427.0
116,2021-12-14,188.01,190.94,185.69,186.2,315347,8598,187.049504,189.44,True,False,15730.0
117,2021-12-15,187.69,190.16,183.99,189.41,416567,12997,188.365426,188.09,True,True,22226.0
118,2021-12-16,190.11,193.66,188.61,188.73,279689,7442,190.48632,190.96,True,False,5763.0
119,2021-12-17,189.67,190.14,183.68,184.11,575583,9516,185.247805,188.01,False,False,36959.0
120,2021-12-20,181.63,181.76,176.87,179.58,291139,7982,179.097123,181.02,False,False,8184.0
121,2021-12-21,181.19,184.94,181.06,183.14,203900,6268,183.289384,182.82,True,True,9938.0
122,2021-12-22,183.19,183.99,179.69,180.34,208878,5845,180.966504,182.86,False,False,4077.0
123,2021-12-23,181.49,183.01,181.0,182.21,205190,5866,182.120885,181.5,True,True,5874.0
124,2021-12-27,182.21,184.38,181.4,184.18,145306,4835,183.53493,181.82,False,True,2821.0
125,2021-12-28,184.44,187.24,184.0,186.28,131374,4054,186.364605,186.0,True,True,8397.0
126,2021-12-29,185.07,186.72,185.03,185.48,125819,3906,185.922041,186.03,True,False,4965.0
127,2021-12-30,186.39,187.29,184.91,185.23,121590,4831,185.912936,186.69,True,False,4912.0
128,2021-12-31,185.79,187.3,183.72,186.74,142821,4276,186.294822,185.28,True,True,2156.0
129,2022-01-03,188.03,189.19,185.21,186.04,416522,9298,186.713046,187.5344,True,False,4567.0
130,2022-01-04,187.41,192.59,187.4,189.49,443338,10903,190.309529,188.54,True,True,11171.0
131,2022-01-05,189.95,190.75,186.32,186.99,423807,9790,187.967617,190.09,True,False,13642.0
132,2022-01-06,189.38,191.035,187.26,190.6,292370,7778,189.646125,187.94,False,True,12290.0
133,2022-01-07,192.01,194.52,191.74,192.96,365612,8991,193.177714,192.02,True,True,6627.0
134,2022-01-10,194.82,196.9,194.2,196.2,488857,11053,195.745636,194.995,False,True,17280.0
135,2022-01-11,197.31,198.91,193.88,198.89,393287,9857,197.137604,197.41,True,True,12568.0
136,2022-01-12,198.96,198.765,195.86,197.16,210787,6647,197.170966,198.74,True,False,9284.0
137,2022-01-13,197.25,198.48,194.61,195.61,329799,8475,196.27723,197.39,False,False,6974.0
138,2022-01-14,194.19,198.655,193.88,197.68,323264,7001,196.365227,195.03,True,True,17394.0
