,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,119.37,120.8,118.9,120.62,2653575,27496,120.355459,120.06,False,True,57919.0
1,2021-07-01,121.06,123.835,120.62,123.62,2462786,31238,122.942843,122.55,True,True,44991.0
2,2021-07-02,124.15,127.03,123.76,126.81,2289657,29357,126.202996,125.66,True,True,39162.0
3,2021-07-06,127.12,128.0,124.1306,125.83,1854106,27764,125.785748,126.245,False,False,60684.0
4,2021-07-07,125.04,126.39,121.825,124.45,1956130,22886,123.936528,122.3,True,True,103127.0
5,2021-07-08,122.37,124.12,120.68,123.13,2453236,26877,122.903554,122.3948,True,True,54061.0
6,2021-07-09,124.38,126.23,123.39,126.05,1331133,20284,125.621306,125.38,True,True,29781.0
7,2021-07-12,125.07,126.38,124.44,125.85,2530502,19420,125.767896,125.1,False,True,54806.0
8,2021-07-13,125.11,125.5,123.32,123.46,1545693,23417,123.992802,124.4,True,False,97968.0
9,2021-07-14,123.85,125.32,123.23,123.87,1519757,22646,124.048361,124.1,False,False,100974.0
10,2021-07-15,123.24,123.84,121.89,122.9,1981668,26440,122.884829,123.14,True,False,78926.0
11,2021-07-16,123.81,125.0,119.41,119.75,2999885,34682,121.858404,122.99,False,False,53599.0
12,2021-07-19,115.965,119.46,114.7,117.01,5210245,57217,116.927469,116.62,True,True,309222.0
13,2021-07-20,117.53,121.42,116.7,120.9,1706463,25549,120.204324,119.14,False,True,49494.0
14,2021-07-21,122.0,125.32,121.6601,124.93,2016715,28838,124.319755,123.64,False,True,106721.0
15,2021-07-22,124.28,124.55,122.32,123.21,1560539,22176,123.165495,124.16,True,False,25023.0
16,2021-07-23,124.165,125.62,123.62,125.26,2482087,33794,124.795638,124.7,True,True,75357.0
17,2021-07-26,124.81,127.29,123.31,126.67,2675005,30542,125.83585,124.96,False,True,66999.0
18,2021-07-27,125.56,128.57,124.79,128.5,2486385,29424,126.901005,125.68,False,True,109909.0
19,2021-07-28,128.86,129.91,126.6,129.53,2219780,30123,128.751621,126.955,False,True,73057.0
20,2021-07-29,129.23,136.89,127.5001,134.5,3617865,40624,133.938434,133.195,True,True,206431.0
21,2021-07-30,133.5,133.81,131.01,131.45,1848705,23625,131.966608,131.9,False,False,30336.0
22,2021-08-02,132.16,132.89,127.02,127.87,2147776,32641,128.760961,130.015,False,False,55205.0
23,2021-08-03,128.07,128.15,123.47,126.08,3127875,42194,124.909486,124.53,False,True,88777.0
24,2021-08-04,124.0,125.84,123.11,124.39,2248326,34000,124.323861,124.0,False,True,175906.0
25,2021-08-05,125.17,127.354,124.84,126.4,1879798,23578,126.370106,125.97,False,True,52518.0
26,2021-08-06,127.1,127.33,125.4,126.66,1716553,22624,126.660624,126.21,False,True,31910.0
27,2021-08-09,125.86,126.0,122.81,124.61,1773394,22144,124.424209,123.435,True,True,27745.0
28,2021-08-10,124.68,127.25,124.15,126.35,1636962,20438,126.395485,126.07,True,True,44344.0
29,2021-08-11,125.71,126.34,124.155,125.03,2216721,24116,125.120686,125.429,False,False,122929.0
30,2021-08-12,124.3,124.87,122.5501,123.43,2068564,21315,123.392855,123.495,False,False,51877.0
31,2021-08-13,123.31,123.43,121.315,122.21,1950413,22673,122.053974,122.23,True,False,33647.0
32,2021-08-16,121.03,122.58,120.18,121.49,2459077,26648,121.548414,121.59,False,False,55182.0
33,2021-08-17,120.1,120.79,119.36,119.99,2229193,29102,119.969183,120.29,False,False,32197.0
34,2021-08-18,119.09,120.42,118.08,119.0,2352560,32383,119.484606,119.37,True,False,81473.0
35,2021-08-19,118.29,119.47,117.53,119.23,2684815,29878,118.571685,117.87,False,True,319756.0
36,2021-08-20,118.59,122.3434,118.34,121.77,2549761,32236,121.181779,119.49,False,True,69235.0
37,2021-08-23,122.96,123.71,121.93,123.03,1798171,23126,122.890015,123.0,False,True,61164.0
38,2021-08-24,124.14,127.95,124.14,126.86,2182575,26173,126.589915,125.7,True,True,40410.0
39,2021-08-25,126.91,127.92,125.44,127.32,1392579,22393,127.298924,127.81,True,False,29890.0
40,2021-08-26,126.5,126.74,124.59,125.62,1036164,17581,125.564604,125.46,False,True,25894.0
41,2021-08-27,125.99,127.97,125.48,127.56,1146181,17623,127.473873,126.85,False,True,35158.0
42,2021-08-30,127.54,127.9,125.23,125.72,1136599,17827,125.935554,125.99,True,False,69887.0
43,2021-08-31,126.11,126.17,124.03,124.86,2694708,35398,125.13279,125.0,False,False,56985.0
44,2021-09-01,125.74,125.97,124.17,125.32,2122851,26628,125.281289,125.22,True,True,105177.0
45,2021-09-02,124.72,125.53,123.78,124.39,1989299,29013,124.667095,124.545,True,False,107096.0
46,2021-09-03,123.91,124.16,120.85,123.08,1696908,25807,122.500544,122.42,False,True,74894.0
47,2021-09-07,122.53,123.99,121.88,123.37,1131275,20264,123.234278,123.13,False,True,41866.0
48,2021-09-08,123.08,124.19,121.42,122.76,2281745,21067,122.700188,122.19,False,True,47341.0
49,2021-09-09,122.61,126.96,122.52,125.75,1933732,24592,125.602417,126.56,True,False,166346.0
50,2021-09-10,126.61,128.86,125.35,127.4,2287089,28673,127.422565,126.85,True,True,101908.0
51,2021-09-13,128.07,130.25,126.73,130.21,1459097,23380,129.360361,129.59,True,True,92365.0
52,2021-09-14,129.62,132.11,129.52,131.82,1766185,22033,131.322998,130.13,True,True,43149.0
53,2021-09-15,130.74,131.86,128.83,131.4,1695637,22351,130.634818,128.92,False,True,45853.0
