,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,68.53,68.85,66.26,66.72,2439099,28762,66.731676,67.0,True,False,58983.0
1,2021-07-01,67.39,68.18,66.7,67.99,1764910,22611,67.749787,67.3,False,True,46400.0
2,2021-07-02,67.72,68.1,67.2,67.71,1839878,18364,67.603326,67.51,False,True,21067.0
3,2021-07-06,69.22,69.31,68.24,69.02,2398882,27406,68.848682,68.9,True,True,84500.0
4,2021-07-07,68.97,70.05,68.88,69.64,1938885,26354,69.577476,69.14,False,True,92369.0
5,2021-07-08,68.97,70.03,68.82,69.85,1648353,20326,69.642578,69.24,True,True,44235.0
6,2021-07-09,69.78,70.145,68.85,69.31,1358817,18134,69.28295,69.2,False,True,27302.0
7,2021-07-12,69.32,69.665,68.79,69.18,1715393,19522,69.217113,69.235,False,False,65051.0
8,2021-07-13,69.06,69.26,68.34,68.65,1699777,21480,68.660176,68.625,False,True,41252.0
9,2021-07-14,68.62,68.85,67.14,67.56,1821180,21092,67.596796,68.24,True,False,25551.0
10,2021-07-15,67.3,68.43,67.1,68.37,1773742,24452,68.162978,67.69,True,True,44336.0
11,2021-07-16,68.51,71.54,68.44,69.54,3044326,35741,69.776311,69.44,True,True,59713.0
12,2021-07-19,68.71,70.5864,68.51,70.37,2849675,34473,70.014715,69.7,False,True,81947.0
13,2021-07-20,70.64,71.1996,69.975,70.17,1954170,23581,70.318932,70.49,False,False,71875.0
14,2021-07-21,70.13,70.25,69.03,70.0,2177125,23587,69.780361,69.62,True,True,75076.0
15,2021-07-22,70.15,72.19,70.12,71.77,1971124,21943,71.611288,71.6,True,True,133254.0
16,2021-07-23,71.77,72.36,71.57,72.3,2266058,23427,72.055071,71.93,True,True,87330.0
17,2021-07-26,72.03,72.48,71.46,71.53,2409666,22550,71.762859,71.75,True,False,48569.0
18,2021-07-27,71.64,72.21,71.13,72.19,1893962,22735,71.824335,71.55,True,True,59734.0
19,2021-07-28,72.22,72.74,71.97,72.08,2923889,32108,72.345369,72.325,False,False,105734.0
20,2021-07-29,72.66,76.4299,72.36,73.82,4356279,45852,73.949242,72.585,False,True,108173.0
21,2021-07-30,73.8,75.48,73.65,75.04,2675114,23783,74.898317,74.27,True,True,45555.0
22,2021-08-02,75.18,76.12,74.84,75.83,1773707,24099,75.730152,75.8,True,True,61144.0
23,2021-08-03,75.63,76.15,75.29,75.74,1673607,22340,75.720503,75.78,False,False,36211.0
24,2021-08-04,75.63,77.11,75.6,76.59,1620809,25501,76.691157,76.655,False,False,48172.0
25,2021-08-05,76.54,76.69,75.19,76.35,1285539,19326,75.992439,75.5,True,True,55211.0
26,2021-08-06,76.1,76.23,74.95,75.94,1259390,17787,75.731125,75.3,True,True,37232.0
27,2021-08-09,76.14,76.3,75.2593,75.84,1364006,13312,75.81832,75.4,False,True,44606.0
28,2021-08-10,76.02,77.6,75.48,76.7,2396803,24606,76.73907,76.21,False,True,43496.0
29,2021-08-11,76.76,76.909,76.33,76.64,1128550,16550,76.623087,76.7,False,False,24038.0
30,2021-08-12,77.06,77.46,76.64,76.81,1213182,15892,76.934747,77.38,True,False,25605.0
31,2021-08-13,76.73,76.95,76.4701,76.92,778249,12224,76.769201,76.575,False,True,20461.0
32,2021-08-16,76.88,77.0,76.36,76.8,1362419,18001,76.690659,76.66,False,True,67902.0
33,2021-08-17,76.77,77.5,76.51,77.23,1234565,17591,77.071073,77.475,True,False,78218.0
34,2021-08-18,77.14,77.2,76.24,76.28,1422859,17890,76.565334,76.75,False,False,25554.0
35,2021-08-19,75.67,77.11,75.62,76.56,1771236,19845,76.590942,76.43,False,True,53075.0
36,2021-08-20,76.44,77.24,76.315,77.09,1183421,15695,76.960703,76.89,True,True,58956.0
37,2021-08-23,77.52,77.74,76.805,77.47,1241781,16425,77.473512,77.23,False,True,41370.0
38,2021-08-24,77.55,77.73,76.98,77.14,1014031,14004,77.285448,77.355,True,False,22227.0
39,2021-08-25,77.15,77.7,76.69,77.6,1028720,15012,77.339123,77.04,False,True,34130.0
40,2021-08-26,77.65,78.46,77.2403,78.06,993940,15402,77.939529,77.465,True,True,25652.0
41,2021-08-27,77.82,79.405,77.62,79.19,1487217,19579,79.09532,79.11,True,True,55497.0
42,2021-08-30,79.46,80.5,79.35,79.64,1357432,17705,79.820639,79.71,False,False,106172.0
43,2021-08-31,79.59,80.4,78.8115,79.15,1940153,22954,79.302607,79.5,False,False,87019.0
44,2021-09-01,79.04,79.68,77.8903,79.51,1172301,17849,79.407071,79.51,False,False,35516.0
45,2021-09-02,78.96,80.36,79.09,80.32,1038482,13807,80.127695,79.75,False,True,44778.0
46,2021-09-03,80.01,80.51,79.78,80.25,707732,10397,80.197156,80.11,True,True,12369.0
47,2021-09-07,79.4,80.05,78.82,79.79,1156005,17362,79.463765,79.025,False,True,69333.0
48,2021-09-08,79.9,80.95,79.61,80.74,1310395,15344,80.417006,79.92,False,True,133160.0
49,2021-09-09,80.83,80.96,79.56,79.95,1656200,21560,80.195829,80.51,True,False,52336.0
50,2021-09-10,80.0,81.04,79.6919,79.99,1738717,21170,80.351273,80.25,False,False,63077.0
