,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,215.61,219.86,215.53,219.35,2861853,46411,218.469032,216.89,True,True,113800.0
1,2021-07-01,221.0,221.26,219.66,220.62,1625533,27803,220.53078,220.26,True,True,40417.0
2,2021-07-02,220.64,222.05,219.7138,221.32,1541398,27109,221.177055,220.61,False,True,54752.0
3,2021-07-06,220.17,220.95,215.93,218.56,1933468,37296,218.150084,217.25,False,True,60705.0
4,2021-07-07,218.09,221.59,218.01,220.74,1558466,31947,220.281526,219.365,True,True,47769.0
5,2021-07-08,218.56,220.7125,217.1315,219.32,2399033,48656,219.267613,218.185,True,True,79910.0
6,2021-07-09,221.27,224.6,220.74,224.34,2157438,40128,223.769953,223.5562,False,True,76285.0
7,2021-07-12,223.31,225.7,222.13,225.02,2063570,35560,224.760943,225.35,True,False,129563.0
8,2021-07-13,224.79,225.85,223.71,224.08,1410268,28108,224.357241,224.77,False,False,37974.0
9,2021-07-14,224.72,228.76,224.1676,227.77,2621208,46730,227.634738,226.86,True,True,62484.0
10,2021-07-15,230.0,233.43,229.04,232.81,5535189,84451,232.227646,232.63,True,True,195316.0
11,2021-07-16,232.33,233.86,229.62,230.33,3583438,54447,231.372293,230.84,False,False,121596.0
12,2021-07-19,225.57,226.61,220.01,220.66,6064823,91108,221.711361,223.04,True,False,157825.0
13,2021-07-20,221.61,231.15,221.5,229.66,28121692,91466,229.371076,228.135,False,True,191927.0
14,2021-07-21,229.11,232.074,228.73,231.85,4572519,56746,231.466202,231.22,True,True,126808.0
15,2021-07-22,232.0,234.25,230.13,232.74,3674825,58054,232.805721,232.4098,True,True,91397.0
16,2021-07-23,228.61,231.12,226.181,229.32,3905147,73243,228.269032,228.545,True,True,151226.0
17,2021-07-26,228.09,229.76,225.22,229.25,2773723,43712,228.258673,225.57,False,True,95554.0
18,2021-07-27,229.0,232.27,228.09,230.36,2164769,40799,230.387272,231.91,True,False,61380.0
19,2021-07-28,230.75,232.28,229.37,230.49,1703292,33255,230.569431,230.19,True,True,44404.0
20,2021-07-29,232.66,233.25,231.335,232.88,1538873,29189,232.7347,232.93,True,False,37310.0
