,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,30.12,30.2801,29.88,30.19,7120816,41431,30.138601,30.17,True,True,294829.0
1,2021-07-01,30.3,30.47,30.13,30.35,7588646,42272,30.339689,30.3299,False,True,117917.0
2,2021-07-02,30.5,30.8063,30.35,30.7,6286843,39104,30.624984,30.415,True,True,189500.0
3,2021-07-06,30.58,30.65,29.915,30.18,7527546,40426,30.212926,30.31,False,False,212493.0
4,2021-07-07,30.26,30.5,30.03,30.28,7334359,42535,30.313267,30.05,False,True,266221.0
5,2021-07-08,29.72,30.185,29.46,29.92,6964759,50056,29.861947,29.78,True,True,342736.0
6,2021-07-09,30.23,30.47,30.01,30.04,10927136,53952,30.205479,30.39,True,False,169661.0
7,2021-07-12,29.88,29.925,28.63,29.21,14621551,84518,29.097354,28.845,True,True,832240.0
8,2021-07-13,29.04,29.069,28.16,28.19,13227040,76410,28.390487,28.535,False,False,472954.0
9,2021-07-14,28.435,28.85,28.305,28.59,6997754,44961,28.581046,28.43,False,True,252905.0
10,2021-07-15,28.42,28.49,27.83,28.1,10176237,62653,28.1458,28.18,False,False,350467.0
11,2021-07-16,28.33,28.37,27.455,27.52,7118498,45831,27.777625,27.98,True,False,166213.0
12,2021-07-19,27.03,27.795,26.91,27.59,12484157,86770,27.495782,27.745,True,False,739165.0
13,2021-07-20,27.78,28.67,27.74,28.21,13093106,82491,28.302326,28.54,False,False,284298.0
14,2021-07-21,28.38,28.64,28.07,28.52,11137808,66505,28.428654,28.385,False,True,235931.0
15,2021-07-22,28.55,28.64,27.715,27.8,8829137,56981,27.964168,28.285,True,False,231719.0
16,2021-07-23,27.97,28.41,27.91,28.2,8355530,53282,28.160111,28.045,True,True,288866.0
17,2021-07-26,28.4,28.81,28.35,28.48,5673998,35266,28.518394,28.511,False,False,258987.0
18,2021-07-27,28.15,28.41,27.85,28.4,9018772,55206,28.129965,27.97,False,True,463571.0
19,2021-07-28,28.51,28.67,28.16,28.47,5879468,39473,28.478172,28.25,True,True,130872.0
20,2021-07-29,28.7,28.975,28.6,28.78,6477199,38998,28.823239,28.81,False,False,171789.0
21,2021-07-30,28.57,28.98,28.33,28.87,6795362,36507,28.81298,28.725,False,True,370947.0
22,2021-08-02,29.035,29.475,28.915,29.14,7957401,44804,29.139648,29.245,False,False,163650.0
23,2021-08-03,29.24,29.65,29.11,29.53,8072550,48707,29.437678,29.28,False,True,401056.0
24,2021-08-04,29.25,29.58,29.05,29.07,6045137,42171,29.238831,29.465,False,False,285349.0
25,2021-08-05,29.3,29.36,29.02,29.23,4851765,28606,29.214319,29.08,False,True,295956.0
26,2021-08-06,29.27,29.69,29.23,29.32,5724812,36850,29.441742,29.575,True,False,186766.0
27,2021-08-09,29.37,29.555,29.22,29.32,5816771,33663,29.361018,29.43,False,False,178623.0
28,2021-08-10,29.4,29.94,29.355,29.73,7450538,45838,29.715429,29.435,False,True,244190.0
29,2021-08-11,29.76,30.38,29.58,30.1,5622048,37948,30.097169,29.91,True,True,133181.0
30,2021-08-12,30.13,30.475,30.025,30.4,5324468,40218,30.286284,30.14,False,True,131560.0
31,2021-08-13,30.13,30.155,28.98,29.01,11377025,71954,29.237929,29.305,False,False,480800.0
32,2021-08-16,28.88,29.53,28.63,29.44,7661468,50950,29.230534,29.04,True,True,301661.0
33,2021-08-17,29.26,29.3,28.42,28.68,8928653,58935,28.763148,28.985,False,False,310871.0
