,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,74.09,74.385,73.84,74.19,588457,8685,74.168775,74.125,True,True,15827.0
1,2021-07-01,74.5,75.98,74.38,75.51,973552,16410,75.456489,75.13,True,True,28906.0
2,2021-07-02,75.26,76.16,74.95,75.97,729532,11630,75.836591,75.24,True,True,9108.0
3,2021-07-06,75.77,76.23,74.38,76.04,1133824,13497,75.721337,74.97,True,True,24302.0
4,2021-07-07,76.2,77.0,75.59,76.67,728904,12178,76.582155,76.4,False,True,18394.0
5,2021-07-08,75.91,76.4,75.07,75.78,683336,9931,75.736901,75.62,True,True,12784.0
6,2021-07-09,76.26,77.03,76.24,76.81,582824,10048,76.792173,76.882,False,False,12585.0
7,2021-07-12,76.63,77.13,76.07,77.02,433746,7779,76.871616,76.79,True,True,9255.0
8,2021-07-13,76.7,77.09,76.2,76.39,842566,12291,76.505845,76.825,True,False,38409.0
9,2021-07-14,76.09,77.17,76.0601,76.78,547495,9465,76.782718,76.75,True,True,13056.0
10,2021-07-15,76.5,76.9999,75.26,75.34,1054210,12783,75.859046,76.27,True,False,16211.0
11,2021-07-16,75.38,75.76,75.03,75.12,567330,7686,75.287803,75.03,False,True,11988.0
12,2021-07-19,74.28,74.6,73.09,73.8,792775,12078,73.652461,73.73,True,True,10578.0
13,2021-07-20,74.35,76.105,74.23,75.77,1440509,18451,75.596575,75.93,True,False,21996.0
14,2021-07-21,76.7,77.78,76.35,77.14,775531,12979,77.185401,77.245,True,False,15300.0
15,2021-07-22,76.83,77.01,75.92,76.44,511350,7768,76.405892,76.44,True,False,8796.0
16,2021-07-23,76.65,77.57,76.6,77.36,361962,6766,77.277139,77.03,True,True,7720.0
17,2021-07-26,77.29,77.97,76.88,77.37,457251,8972,77.316138,77.02,False,True,17962.0
18,2021-07-27,77.12,78.83,77.02,78.67,656407,11829,78.428046,78.58,True,True,27855.0
19,2021-07-28,78.48,79.64,78.24,79.44,796213,11628,79.146908,78.9799,True,True,46907.0
20,2021-07-29,79.96,80.32,79.44,80.22,435457,9346,80.094825,79.805,True,True,10764.0
21,2021-07-30,80.28,80.62,79.86,80.15,631377,9523,80.15672,80.02,True,True,14704.0
22,2021-08-02,80.45,81.5796,79.95,81.23,1076119,15523,80.986897,80.4092,True,True,51731.0
23,2021-08-03,81.49,81.49,77.61,80.37,2010087,23478,79.447402,78.97,True,True,62219.0
24,2021-08-04,80.1,80.5,77.095,77.3,1159601,16723,77.811054,79.025,False,False,18174.0
25,2021-08-05,77.38,77.85,75.65,76.73,1037966,17442,76.68336,75.95,False,True,37725.0
26,2021-08-06,77.16,77.68,76.06,77.03,519291,8873,77.044735,76.72,True,True,12698.0
27,2021-08-09,77.03,76.985,75.95,76.21,768498,9858,76.182362,76.3,True,False,11653.0
28,2021-08-10,75.98,76.19,75.295,75.53,1141308,13077,75.579628,75.41,False,True,24486.0
29,2021-08-11,76.02,76.505,75.55,75.9,738405,9624,75.880463,76.12,True,False,42128.0
30,2021-08-12,76.23,76.23,75.27,75.6,699367,9317,75.52919,75.54,True,True,7870.0
31,2021-08-13,75.81,75.78,74.69,75.68,424665,6958,75.522974,75.07,False,True,3750.0
32,2021-08-16,75.69,76.94,75.45,76.72,510764,7880,76.544393,76.59,True,True,11846.0
33,2021-08-17,76.48,77.47,75.995,77.46,515527,11023,77.139683,76.92,False,True,22506.0
34,2021-08-18,77.22,77.49,75.71,75.78,411794,7382,76.280216,77.37,True,False,4542.0
35,2021-08-19,75.33,76.3325,75.2,75.76,667856,9127,75.674098,75.87,False,False,30701.0
36,2021-08-20,75.42,76.08,75.13,75.63,452223,9175,75.573,75.89,False,False,7071.0
37,2021-08-23,76.21,76.15,75.3,75.74,436269,8027,75.776918,75.43,True,True,9052.0
38,2021-08-24,75.97,76.18,75.54,75.59,409636,7236,75.754511,76.015,True,False,34947.0
39,2021-08-25,75.58,75.79,75.135,75.5,395544,6818,75.489624,75.335,True,True,8570.0
40,2021-08-26,75.49,75.32,74.065,74.13,549277,9783,74.342666,74.5,False,False,26065.0
41,2021-08-27,74.34,75.72,74.21,75.23,359982,7382,75.188509,74.93,False,True,6759.0
42,2021-08-30,75.2,76.455,75.12,75.18,370831,8606,75.553332,75.98,True,False,9815.0
43,2021-08-31,75.1,75.95,74.9,75.59,858524,13836,75.488849,75.465,False,True,11923.0
44,2021-09-01,75.9,76.78,75.0,76.66,687717,12380,76.235616,75.06,False,True,17045.0
45,2021-09-02,77.27,79.81,76.9301,79.33,1074146,15179,78.954872,78.201,False,True,18920.0
46,2021-09-03,79.02,79.32,78.28,78.38,585536,9897,78.559041,78.95,True,False,13169.0
47,2021-09-07,77.88,78.6,76.91,78.58,950079,11292,77.883278,77.16,True,True,14229.0
48,2021-09-08,78.85,79.6,78.465,78.56,636490,10569,78.901844,79.46,True,False,18549.0
49,2021-09-09,78.14,79.79,77.19,77.77,375131,8968,78.119333,78.76,False,False,10609.0
50,2021-09-10,78.19,78.2,76.68,76.76,567340,9977,76.940268,77.25,True,False,13082.0
51,2021-09-13,77.09,77.755,76.31,77.71,724192,13462,77.057299,76.59,True,True,9050.0
52,2021-09-14,77.96,78.96,77.61,78.44,643827,13051,78.4732,78.321,True,True,14572.0
53,2021-09-15,78.44,78.88,77.47,78.54,621848,11407,78.387363,77.945,False,True,7928.0
54,2021-09-16,78.79,78.94,77.84,78.37,552084,9999,78.412416,78.01,False,True,7961.0
55,2021-09-17,77.9,78.8088,77.26,77.47,1201954,10995,77.649392,78.67,True,False,8112.0
56,2021-09-20,76.93,77.17,75.07,75.97,481275,8559,75.81386,76.09,False,False,6050.0
57,2021-09-21,75.99,76.55,75.53,75.53,473321,9040,75.790279,76.33,True,False,8347.0
58,2021-09-22,76.06,77.22,75.7,76.86,782272,10562,76.738285,76.12,False,True,7445.0
59,2021-09-23,77.07,78.595,76.9,77.6,585017,12163,77.990793,78.375,True,False,11481.0
60,2021-09-24,77.65,78.29,77.27,78.1,472178,8495,77.996525,77.48,True,True,11097.0
61,2021-09-27,78.08,79.265,77.94,78.7,530780,10230,78.83093,79.08,True,False,12333.0
62,2021-09-28,78.49,79.335,77.54,78.13,869957,14817,78.239309,78.25,False,False,12895.0
63,2021-09-29,78.6,79.08,77.99,78.28,499735,8108,78.432315,78.44,True,False,9002.0
64,2021-09-30,78.28,78.73,75.83,76.16,921010,13400,76.929314,78.11,False,False,32904.0
65,2021-10-01,77.01,78.83,76.78,78.53,849733,14981,78.043515,77.09,False,True,22339.0
66,2021-10-04,78.58,79.64,77.37,78.1,554827,10856,78.10568,78.18,False,False,17744.0
67,2021-10-05,78.18,79.91,77.86,78.61,879705,14029,78.758424,79.73,True,False,20265.0
68,2021-10-06,78.11,78.26,76.45,78.17,695299,10854,77.509302,77.0,True,True,19749.0
69,2021-10-07,78.45,80.63,78.45,79.71,587811,9225,79.790616,80.15,False,False,33810.0
70,2021-10-08,79.84,80.37,79.486,79.83,414122,7403,80.008247,80.19,True,False,8630.0
71,2021-10-11,80.09,80.5,79.29,79.32,606280,9211,79.830173,80.11,False,False,53154.0
72,2021-10-12,79.52,79.93,78.25,78.5,727303,7974,78.716769,79.37,True,False,45668.0
73,2021-10-13,78.65,78.775,76.59,77.72,584532,10286,77.643412,77.305,True,True,11809.0
74,2021-10-14,78.44,79.02,77.84,78.59,516609,9516,78.44384,77.97,False,True,17888.0
75,2021-10-15,79.08,79.46,77.36,77.44,603491,10490,78.057621,79.175,True,False,19234.0
76,2021-10-18,76.79,77.1,75.66,76.53,626164,9778,76.488635,76.76,True,False,27396.0
77,2021-10-19,76.87,77.22,76.54,76.96,586739,9571,76.91118,76.98,False,False,9094.0
78,2021-10-20,77.34,78.48,77.1,78.47,575577,9375,78.042783,77.65,False,True,18992.0
79,2021-10-21,78.98,79.4,78.15,79.01,362716,6890,78.803088,78.82,False,True,2717.0
