,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,16.94,17.225,16.85,17.09,6006179,31926,17.083094,17.045,False,True,130505.0
1,2021-07-01,17.2,17.5,17.18,17.32,5241087,34879,17.339718,17.25,False,True,152091.0
2,2021-07-02,17.331,17.43,17.09,17.25,5766863,21408,17.242859,17.12,False,True,107046.0
3,2021-07-06,17.2,17.22,16.555,16.73,9551335,41036,16.725739,16.84,True,False,182508.0
4,2021-07-07,16.66,16.95,16.45,16.58,10036147,50274,16.596147,16.49,False,True,361735.0
5,2021-07-08,16.29,16.86,15.84,16.61,9670966,51855,16.577408,16.53,True,True,256985.0
6,2021-07-09,16.86,17.15,16.705,17.11,6393914,37399,16.99241,16.92,False,True,132768.0
7,2021-07-12,16.95,17.24,16.825,17.09,6020296,31685,17.08471,17.02,False,True,101343.0
8,2021-07-13,16.94,17.12,16.51,16.56,6368606,38253,16.618929,16.63,True,False,200691.0
9,2021-07-14,16.66,16.88,16.49,16.56,7117144,41849,16.616823,16.66,False,False,192883.0
10,2021-07-15,16.45,16.54,16.17,16.36,8210088,41521,16.367401,16.33,False,True,179696.0
11,2021-07-16,16.49,16.55,15.935,15.98,8474248,44339,16.24056,16.365,True,False,680811.0
12,2021-07-19,15.6,15.61,15.1,15.39,12721594,59674,15.332753,15.45,True,False,626565.0
13,2021-07-20,15.5,16.02,15.17,15.8,8977581,47369,15.755758,15.61,False,True,179945.0
14,2021-07-21,15.95,16.66,15.95,16.37,10081188,45210,16.403301,16.36,True,True,474717.0
15,2021-07-22,16.4,16.41,15.845,15.91,5151934,27952,15.976311,16.035,True,False,166865.0
16,2021-07-23,16.05,16.115,15.67,15.78,4231545,28653,15.797147,15.84,True,False,174094.0
17,2021-07-26,15.85,16.205,15.71,16.18,6156630,38790,16.083421,15.99,False,True,208655.0
18,2021-07-27,16.06,16.22,15.91,16.05,5411605,31240,16.049546,16.02,True,True,160532.0
19,2021-07-28,16.12,16.26,15.77,16.09,6208575,30088,16.059217,15.89,True,True,124913.0
20,2021-07-29,16.25,16.53,16.045,16.28,6536574,34576,16.354131,16.22,True,True,79152.0
21,2021-07-30,16.25,16.39,15.87,15.93,4646354,26032,16.013199,16.13,False,False,110289.0
22,2021-08-02,16.1,16.54,15.77,15.8,6905213,40206,16.034083,16.075,False,False,112460.0
23,2021-08-03,15.84,15.88,15.32,15.79,9825178,50324,15.635128,15.585,True,True,351296.0
24,2021-08-04,15.42,15.775,15.0,15.16,9763634,67490,15.344676,15.395,True,False,291733.0
25,2021-08-05,15.27,15.87,15.23,15.78,8979131,48672,15.705286,15.59,True,True,377063.0
26,2021-08-06,16.09,16.31,15.89,16.14,9575132,47999,16.103822,16.07,False,True,360883.0
27,2021-08-09,16.02,16.06,15.715,15.87,6825981,40613,15.872227,15.825,True,True,450650.0
28,2021-08-10,15.85,16.35,15.68,16.2,9691230,52491,16.1082,15.92,True,True,577826.0
29,2021-08-11,16.21,16.53,15.995,16.46,7492526,36456,16.370605,16.27,False,True,217854.0
30,2021-08-12,16.5,16.52,16.05,16.17,6128040,32645,16.205467,16.2299,False,False,360720.0
31,2021-08-13,16.17,16.21,15.855,15.91,4862203,27704,15.988669,16.0,False,False,101824.0
32,2021-08-16,15.77,15.8,15.49,15.57,6420173,39511,15.580024,15.59,False,False,170789.0
33,2021-08-17,15.5,15.57,15.1,15.33,9194171,43146,15.310904,15.445,False,False,297505.0
34,2021-08-18,15.3,15.45,15.19,15.33,9333749,42935,15.347645,15.335,True,False,138692.0
35,2021-08-19,15.21,15.24,14.73,14.86,15423748,59670,14.869969,14.88,False,False,283480.0
