,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,33.795,34.53,33.76,34.47,2641359,20556,34.362037,34.38,True,True,50436.0
1,2021-07-01,34.67,34.79,34.37,34.62,2125974,20701,34.607785,34.59,True,True,62764.0
2,2021-07-02,34.77,34.8,34.31,34.44,1688172,18157,34.515326,34.51,True,False,50020.0
3,2021-07-06,34.29,34.35,33.095,33.51,3325100,27215,33.487916,33.438,False,True,74918.0
4,2021-07-07,33.44,33.78,32.645,33.24,3071487,29420,33.1187,32.71,False,True,103341.0
5,2021-07-08,32.5,33.415,32.21,32.94,2809000,27804,32.910164,32.89,True,True,107631.0
6,2021-07-09,33.54,33.97,33.3,33.95,1790474,16396,33.824644,33.75,False,True,56764.0
7,2021-07-12,33.48,34.055,33.34,33.87,2549466,21208,33.838709,33.83,True,True,93508.0
8,2021-07-13,33.67,33.73,32.84,32.89,2285329,19404,33.013095,32.975,False,False,60854.0
9,2021-07-14,33.2,33.625,32.67,32.8,1930550,17573,32.963634,33.11,False,False,51625.0
10,2021-07-15,32.5,33.08,32.11,32.41,4080906,19973,32.441465,32.825,True,False,59667.0
11,2021-07-16,32.86,32.89,31.5733,31.66,6101672,30126,31.978747,32.13,False,False,68386.0
12,2021-07-19,30.73,30.94,29.93,30.49,4644916,33793,30.503222,30.56,True,False,155639.0
13,2021-07-20,30.55,32.12,30.3487,31.89,3285089,24412,31.778833,31.15,False,True,38886.0
14,2021-07-21,32.37,33.04,32.175,32.87,1894316,20360,32.820294,32.84,True,True,113966.0
15,2021-07-22,32.66,32.78,32.19,32.33,4144104,14458,32.490438,32.43,True,False,22470.0
16,2021-07-23,32.56,32.83,32.235,32.38,2235763,19967,32.390708,32.59,True,False,34445.0
17,2021-07-26,32.38,32.84,32.265,32.51,2339780,18314,32.457828,32.51,False,False,46280.0
18,2021-07-27,32.28,32.835,32.15,32.73,2397968,21044,32.618,32.59,False,True,100390.0
19,2021-07-28,33.2,33.57,32.5,32.81,3386678,27872,33.017606,32.68,True,True,82385.0
20,2021-07-29,33.09,33.54,32.93,33.1,1835088,17127,33.222483,33.52,True,False,60419.0
21,2021-07-30,32.79,33.1,32.5,32.82,1727007,19655,32.749183,32.73,False,True,59234.0
22,2021-08-02,33.24,34.01,32.62,32.73,1848155,20954,33.02097,33.355,False,False,38431.0
23,2021-08-03,32.78,33.07,31.71,33.0,2410148,24023,32.687929,32.31,True,True,33070.0
24,2021-08-04,32.36,32.6894,30.68,30.7,5553599,41518,31.278693,31.58,False,False,230559.0
25,2021-08-05,31.1,31.945,30.85,31.65,5700100,31090,31.545864,31.45,True,True,187902.0
26,2021-08-06,32.09,32.49,31.65,31.74,4705273,31191,31.93008,31.92,False,False,366273.0
27,2021-08-09,31.53,31.82,31.0174,31.56,2837014,24344,31.559949,31.4,True,True,119404.0
28,2021-08-10,31.71,32.67,31.5,32.3,1999606,20479,32.271182,32.32,True,False,133459.0
29,2021-08-11,32.29,33.03,31.81,33.01,2044375,20790,32.740858,32.42,True,True,65226.0
30,2021-08-12,32.88,32.98,32.48,32.68,1303021,14059,32.650915,32.575,False,True,53756.0
31,2021-08-13,32.72,32.78,32.11,32.12,993126,10272,32.235778,32.3,False,False,16066.0
32,2021-08-16,31.8,32.19,31.37,31.98,1759169,12218,31.975206,32.0545,False,False,35251.0
33,2021-08-17,31.55,31.74,31.11,31.48,1710647,16616,31.4363,31.57,False,False,52639.0
34,2021-08-18,31.805,32.925,31.38,32.23,3623389,31575,32.448369,32.4,True,False,196734.0
35,2021-08-19,31.86,32.185,31.11,31.75,3751167,24723,31.702008,31.315,False,True,136151.0
36,2021-08-20,31.6,31.99,31.47,31.81,1681419,15268,31.794365,31.74,False,True,34436.0
37,2021-08-23,32.21,32.44,32.09,32.2,1804660,17839,32.254901,32.22,True,False,44176.0
38,2021-08-24,32.5,32.97,32.425,32.52,1685743,17740,32.628038,32.61,False,False,40859.0
39,2021-08-25,32.58,33.16,32.5,32.94,1803639,16411,32.973487,32.915,True,True,32964.0
40,2021-08-26,32.84,32.93,32.19,32.21,1218503,13005,32.440996,32.625,False,False,48591.0
41,2021-08-27,32.39,33.08,32.39,32.79,2080035,19118,32.80493,32.675,True,True,244450.0
42,2021-08-30,32.88,32.9,31.77,31.78,1521250,15183,31.978176,32.31,True,False,33841.0
43,2021-08-31,31.69,32.36,31.58,31.75,3448363,22999,31.855405,31.91,True,False,47468.0
44,2021-09-01,31.87,32.12,31.41,31.9,1996547,20955,31.929641,31.85,False,True,49584.0
45,2021-09-02,32.03,32.37,31.77,31.89,1337517,14541,31.977897,32.26,True,False,21112.0
46,2021-09-03,31.84,31.88,31.125,31.37,1411288,14580,31.424086,31.62,False,False,64413.0
47,2021-09-07,31.15,31.52,30.9,31.26,1632197,16856,31.278701,31.25,False,True,79363.0
48,2021-09-08,31.11,31.32,30.87,31.09,1282252,14803,31.071405,30.92,False,True,126903.0
49,2021-09-09,31.22,31.9,30.99,31.67,1534598,15772,31.672486,31.72,True,False,32492.0
50,2021-09-10,31.84,32.0,31.2,31.22,1509132,14772,31.494858,31.58,False,False,43478.0
51,2021-09-13,31.59,32.4,31.44,32.25,2398680,25101,32.084624,32.13,True,True,46390.0
52,2021-09-14,32.34,32.45,31.5,31.59,1688468,19151,31.856405,31.82,False,False,46587.0
53,2021-09-15,31.4,32.045,31.36,32.01,1394713,16664,31.863796,31.46,False,True,29390.0
54,2021-09-16,32.09,32.2,31.38,31.44,1316138,14648,31.584114,31.93,True,False,18210.0
55,2021-09-17,31.5,31.56,30.75,30.99,4277545,19749,31.019204,30.95,False,True,96844.0
56,2021-09-20,30.18,30.97,30.042,30.94,2579590,25163,30.596175,30.45,True,True,55860.0
57,2021-09-21,31.2,31.3542,30.41,30.6,2634339,21579,30.665672,30.57,False,True,40477.0
58,2021-09-22,31.0,31.49,30.56,31.11,3342721,33408,31.210239,31.19,True,False,58481.0
59,2021-09-23,31.23,32.08,31.32,31.71,3011521,25086,31.818221,31.79,True,False,116091.0
60,2021-09-24,31.67,31.95,31.4,31.53,3178486,29994,31.64373,31.62,False,False,185500.0
61,2021-09-27,31.87,33.19,31.76,33.0,4623258,30793,32.880076,32.77,True,True,167750.0
62,2021-09-28,33.2,33.62,32.245,32.41,3710877,27823,32.70617,32.86,True,False,139100.0
63,2021-09-29,32.68,32.75,31.87,31.91,2535506,20973,32.123239,32.31,False,False,70606.0
64,2021-09-30,32.05,32.055,31.18,31.2,2595995,20596,31.46151,31.685,False,False,60487.0
65,2021-10-01,31.44,32.655,31.33,32.43,5072335,29714,32.130751,31.825,False,True,144168.0
66,2021-10-04,32.37,32.6,31.815,31.88,4310918,29107,32.164136,32.1,False,False,82509.0
67,2021-10-05,31.91,32.3661,31.55,32.11,1985764,17356,32.093226,32.1,False,True,55783.0
68,2021-10-06,31.84,32.07,30.815,31.96,2035557,20522,31.653879,31.0,False,True,57791.0
69,2021-10-07,32.27,32.72,32.09,32.14,1571844,16033,32.282965,32.56,False,False,46929.0
70,2021-10-08,32.22,32.34,31.6,31.64,1111762,12092,31.781059,32.015,True,False,18557.0
71,2021-10-11,31.77,32.13,31.33,31.42,2310083,15151,31.50497,31.97,True,False,19476.0
72,2021-10-12,31.44,31.84,31.36,31.41,1104008,10215,31.528538,31.67,True,False,27402.0
73,2021-10-13,31.4,31.61,30.73,31.35,1585919,15614,31.250916,30.9556,True,True,46232.0
74,2021-10-14,31.54,31.69,30.86,30.89,3253830,24602,31.037522,31.095,False,False,110936.0
75,2021-10-15,31.44,31.86,31.27,31.33,2898420,20305,31.436845,31.57,True,False,51621.0
76,2021-10-18,31.18,31.43,30.85,30.9,2290949,16937,31.008389,31.3,True,False,35619.0
77,2021-10-19,31.08,31.21,30.56,30.88,1559793,15487,30.902829,30.93,True,False,48035.0
78,2021-10-20,30.59,31.3055,30.45,30.94,2031942,13866,30.907562,31.28,True,False,59645.0
79,2021-10-21,30.84,30.93,30.38,30.72,1071587,10304,30.648465,30.665,False,True,29884.0
80,2021-10-22,30.79,31.0,30.28,30.46,2519311,17556,30.485432,30.78,False,False,21493.0
81,2021-10-25,30.37,30.52,29.82,30.37,2889104,19617,30.185788,30.25,False,True,105148.0
82,2021-10-26,30.16,30.7,29.95,29.96,4568161,22922,30.270094,30.14,False,False,78499.0
83,2021-10-27,29.99,30.62,29.355,29.38,3582672,24273,29.833599,30.27,False,False,68936.0
84,2021-10-28,29.32,29.9,29.29,29.7,4434729,31690,29.65769,29.51,False,True,93460.0
85,2021-10-29,29.71,30.009,29.42,29.69,2948036,21532,29.733962,29.96,True,False,299750.0
86,2021-11-01,29.8,30.58,29.63,30.5,2467062,20633,30.29655,29.77,False,True,33698.0
87,2021-11-02,30.48,30.95,30.23,30.68,3213141,22967,30.665132,30.825,False,False,127784.0
88,2021-11-03,30.49,30.84,30.13,30.43,3413413,29355,30.434073,30.68,True,False,148818.0
89,2021-11-04,30.14,31.66,29.69,31.0,4900944,41494,30.99476,30.97,False,True,236099.0
90,2021-11-05,31.89,33.63,31.75,33.4,4392876,37264,33.156476,32.63,False,True,148491.0
91,2021-11-08,33.67,33.84,32.52,32.76,3034224,29114,32.843783,33.21,False,False,79995.0
92,2021-11-09,33.11,33.355,32.71,33.09,2603668,19501,33.021982,33.29,True,False,96708.0
93,2021-11-10,32.99,33.43,32.27,32.29,1715393,18022,32.638788,33.165,True,False,40538.0
94,2021-11-11,32.28,32.51,31.99,32.0,1517279,17380,32.181615,32.34,True,False,52524.0
95,2021-11-12,31.86,32.24,31.84,31.97,1584193,15592,32.00474,32.125,True,False,34395.0
96,2021-11-15,32.55,33.16,32.17,33.05,4150078,26285,32.624515,32.465,True,True,140634.0
97,2021-11-16,32.95,33.035,31.52,31.71,3593478,25836,32.024245,32.71,False,False,127957.0
98,2021-11-17,31.85,32.08,31.35,31.48,1602024,18164,31.633588,31.82,False,False,166919.0
99,2021-11-18,31.6,31.61,30.89,31.32,1488037,15494,31.251567,31.465,False,False,27930.0
100,2021-11-19,30.99,31.085,29.92,30.18,3954504,31666,30.224624,30.75,False,False,120369.0
101,2021-11-22,30.26,30.555,30.02,30.28,2227909,18020,30.342756,30.11,False,True,56638.0
102,2021-11-23,30.5,30.9,30.435,30.78,1575029,15849,30.729113,30.69,True,True,46649.0
103,2021-11-24,30.5,30.98,30.34,30.73,2227873,16987,30.749855,30.59,True,True,54821.0
104,2021-11-26,28.72,29.04,27.945,28.75,2377204,19042,28.470086,28.34,False,True,288600.0
105,2021-11-29,29.13,29.32,28.35,28.5,3215840,27648,28.629545,28.89,False,False,107473.0
106,2021-11-30,28.01,28.44,27.78,28.13,4964445,28541,28.146713,28.31,True,False,69344.0
107,2021-12-01,28.78,28.99,27.41,27.41,3763175,37432,27.887683,28.84,False,False,122596.0
108,2021-12-02,27.83,28.98,27.69,28.8,3662839,26944,28.400284,28.18,True,True,77049.0
109,2021-12-03,28.92,29.365,28.735,29.06,4606405,35875,29.003314,28.99,False,True,110418.0
110,2021-12-06,29.37,30.919,29.24,30.43,4471054,38448,30.485276,29.755,True,True,165542.0
111,2021-12-07,30.99,31.47,30.69,30.83,3936696,30613,30.987195,31.0,True,False,355425.0
112,2021-12-08,31.06,31.65,30.82,31.08,2023138,24316,31.284881,31.1704,True,False,96125.0
113,2021-12-09,30.61,31.19,30.45,30.85,2291821,18547,30.886065,30.8,True,True,175769.0
114,2021-12-10,31.11,31.18,30.71,30.86,1805650,14002,30.879065,31.03,False,False,58553.0
115,2021-12-13,30.71,30.86,29.37,30.08,2953549,24051,29.91275,30.465,False,False,59454.0
116,2021-12-14,30.13,30.68,29.61,29.68,2084079,20096,29.853425,30.52,True,False,52844.0
117,2021-12-15,29.81,30.03,29.34,29.99,2043880,17563,29.788689,29.44,False,True,40676.0
118,2021-12-16,30.57,30.65,29.38,29.48,1999455,17915,29.819251,30.34,True,False,37881.0
119,2021-12-17,29.42,30.08,28.98,29.96,4166861,17695,29.854466,28.98,False,True,339424.0
120,2021-12-20,29.11,29.3285,28.51,29.26,1747998,18585,29.049839,29.0,False,True,123982.0
121,2021-12-21,29.49,31.06,29.29,30.59,2946717,20332,30.686815,30.07,True,True,79578.0
122,2021-12-22,30.41,30.75,30.045,30.3,3816452,27919,30.327792,30.55,False,False,60626.0
123,2021-12-23,30.41,31.23,30.32,31.13,2557143,17360,31.004378,30.61,True,True,89584.0
124,2021-12-27,30.97,31.405,30.77,31.35,1125539,11153,31.276428,31.07,True,True,50933.0
125,2021-12-28,31.24,31.71,31.16,31.64,1292647,13199,31.574504,31.6,True,True,25298.0
126,2021-12-29,31.435,31.73,31.24,31.63,1224876,11670,31.576622,31.4,False,True,37974.0
127,2021-12-30,31.63,32.02,31.5279,31.64,1126956,12595,31.815728,31.79,True,False,67637.0
128,2021-12-31,31.65,31.955,31.42,31.83,1269205,12021,31.802203,31.58,False,True,64011.0
129,2022-01-03,32.13,32.77,31.99,32.33,2014401,21492,32.392844,32.455,True,False,54262.0
130,2022-01-04,32.57,33.69,32.45,33.53,2891836,23555,33.454032,32.91,True,True,139010.0
131,2022-01-05,33.95,34.3,33.28,33.32,3352445,29555,33.600491,34.16,True,False,155379.0
132,2022-01-06,33.735,34.085,33.36,33.65,2985683,27024,33.688636,33.92,True,False,121944.0
133,2022-01-07,33.78,34.62,33.34,34.01,3591098,29901,34.103063,34.11,True,False,148146.0
134,2022-01-10,34.25,34.39,33.44,33.98,4985145,32386,33.894615,34.17,True,False,220812.0
135,2022-01-11,33.96,34.36,33.34,33.92,2696510,26100,33.820967,33.95,False,False,97303.0
136,2022-01-12,34.18,34.49,33.81,33.91,1859289,20087,33.974478,34.08,False,False,125579.0
137,2022-01-13,34.04,34.915,34.03,34.38,2593424,26032,34.543406,34.5,True,False,87276.0
138,2022-01-14,33.96,35.09,33.81,35.07,2448985,23941,34.653014,34.32,True,True,87784.0
