,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,145.06,146.93,144.71,146.59,3241091,41823,146.327177,146.28,True,True,79996.0
1,2021-07-01,146.96,147.5,146.57,146.84,2678869,37786,146.862899,146.97,True,False,75751.0
2,2021-07-02,146.85,146.95,139.46,140.02,16816457,182484,140.938477,141.465,False,False,2446583.0
3,2021-07-06,140.1,140.42,137.1,138.78,8088879,96115,138.392381,137.94,False,True,370318.0
4,2021-07-07,138.99,140.33,138.76,139.82,4052728,54946,139.630259,139.33,True,True,105061.0
5,2021-07-08,137.83,141.31,137.66,140.74,5475121,67076,140.297909,140.2,False,True,170383.0
6,2021-07-09,141.44,141.98,140.841,141.52,3889816,48766,141.480565,141.07,False,True,128128.0
7,2021-07-12,141.37,141.9599,140.115,140.92,3337714,44668,141.0268,141.6601,False,False,79101.0
8,2021-07-13,140.18,140.92,139.63,140.28,3147180,50440,140.132382,139.855,False,True,102682.0
9,2021-07-14,140.665,140.75,138.9273,139.82,4387289,63982,139.701516,139.08,False,True,183349.0
10,2021-07-15,139.28,140.46,138.8005,140.45,3629846,48351,139.956478,139.215,False,True,110426.0
11,2021-07-16,140.93,141.0,138.59,138.9,4090392,54272,139.289588,138.66,False,True,137995.0
12,2021-07-19,136.57,138.49,136.2089,137.92,8534185,106898,138.115816,137.77,True,True,196725.0
13,2021-07-20,142.84,144.92,138.7,139.97,13593277,152283,141.870238,143.765,False,False,450340.0
14,2021-07-21,140.13,141.39,139.65,141.3,4792350,58099,141.014596,140.8966,True,True,185095.0
15,2021-07-22,141.7,141.81,140.41,140.71,3309589,44109,140.860793,141.04,True,False,82956.0
16,2021-07-23,140.97,141.7,140.33,141.34,4466656,46854,141.093355,140.47,False,True,91960.0
17,2021-07-26,141.27,143.0,141.13,142.77,4243967,39705,142.600848,142.13,True,True,112694.0
18,2021-07-27,142.51,143.64,141.6,142.75,3135118,47223,142.671478,142.88,True,False,126740.0
19,2021-07-28,143.04,143.1,141.64,141.77,2532450,36460,142.056098,142.04,False,False,93066.0
20,2021-07-29,142.36,142.96,141.6,141.93,2659858,41133,142.078072,142.07,True,False,67752.0
21,2021-07-30,141.53,141.85,140.79,140.96,3529834,37592,141.085354,141.37,True,False,95498.0
22,2021-08-02,141.42,143.06,141.03,141.42,2918246,47253,141.850648,142.12,False,False,83172.0
23,2021-08-03,141.79,144.7,141.65,144.07,4072656,54150,143.830708,144.17,True,False,191264.0
24,2021-08-04,143.64,144.18,142.47,142.76,2825333,43572,142.982268,143.39,True,False,81021.0
25,2021-08-05,143.27,143.41,142.22,142.77,2755505,43594,142.684622,142.36,False,True,140858.0
26,2021-08-06,143.02,144.39,142.89,144.09,3823713,50474,143.862402,143.4988,True,True,98698.0
27,2021-08-09,142.2,142.495,140.97,141.25,5003213,62983,141.479968,141.23,False,True,112766.0
28,2021-08-10,141.21,141.811,140.34,141.38,5297364,43950,141.240294,141.45,True,False,121375.0
29,2021-08-11,141.84,142.7685,141.5,142.13,4255208,48199,142.183487,141.78,False,True,86685.0
30,2021-08-12,142.21,143.15,142.0766,143.07,2088127,31990,142.85509,143.054,True,True,87396.0
31,2021-08-13,142.85,143.58,142.44,143.18,1905751,30102,143.155494,143.1,True,True,70240.0
32,2021-08-16,143.18,143.74,142.23,143.59,2781727,36841,143.378213,143.37,True,True,90728.0
33,2021-08-17,142.9,143.16,141.09,142.42,3066586,43297,142.143881,142.22,False,True,80530.0
34,2021-08-18,141.56,141.915,139.39,139.47,3499272,43261,140.336939,141.46,False,False,77009.0
35,2021-08-19,138.7,139.45,137.21,138.02,4148892,55738,138.109048,137.3701,False,True,189444.0
36,2021-08-20,137.62,139.38,137.27,139.11,2651137,39015,138.945743,138.605,False,True,78501.0
37,2021-08-23,139.91,140.15,138.8,139.62,3027736,39846,139.593598,139.4,True,True,116787.0
38,2021-08-24,139.76,140.23,139.32,139.84,2365309,34096,139.825519,139.8352,False,True,51975.0
39,2021-08-25,139.94,140.8,139.46,139.86,2008538,31022,140.178875,140.6376,True,False,77553.0
40,2021-08-26,139.97,140.8,138.71,138.78,2488400,39901,139.192125,139.25,True,False,72844.0
41,2021-08-27,138.75,139.585,138.4,139.41,2452642,33563,139.219165,139.076,False,True,72001.0
42,2021-08-30,139.58,139.88,138.815,138.97,1994223,32481,139.295448,139.58,True,False,66233.0
43,2021-08-31,139.39,140.94,138.95,140.34,4225181,50989,140.233558,140.06,False,True,110145.0
44,2021-09-01,139.98,140.0699,139.19,139.3,2463857,36328,139.516074,139.6,False,False,95769.0
45,2021-09-02,139.75,140.05,139.03,140.01,2713143,40997,139.586525,139.7,False,True,95876.0
