,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,636.91,637.55,628.22,631.55,372518,14220,632.12311,634.215,True,False,5262.0
1,2021-07-01,628.67,640.455,627.23,638.95,315420,13254,637.550029,637.12,True,True,8170.0
2,2021-07-02,643.49,649.55,639.54,648.2,287682,10791,645.989948,640.65,True,True,6401.0
3,2021-07-06,650.0,660.3,644.67,658.99,352599,14650,655.614164,647.8311,True,True,7332.0
4,2021-07-07,663.78,667.0,658.545,665.31,420750,16894,663.425806,661.05,False,True,6963.0
5,2021-07-08,657.84,662.59,647.66,659.94,390281,17196,656.946632,653.53,False,True,11104.0
6,2021-07-09,657.54,669.2,653.34,667.03,330915,13038,664.815187,662.34,True,True,9231.0
7,2021-07-12,661.62,666.18,655.53,659.54,422220,15752,659.641009,663.44,True,False,4693.0
8,2021-07-13,663.05,664.92,658.28,662.58,242863,12451,662.138651,660.14,True,True,8972.0
9,2021-07-14,664.79,666.99,657.96,659.85,340338,12319,660.676308,666.69,True,False,13191.0
10,2021-07-15,659.07,659.57,649.39,657.42,449156,16329,656.654848,655.98,True,True,8947.0
11,2021-07-16,661.25,670.74,658.44,667.76,351155,12652,666.493157,662.87,True,True,6105.0
12,2021-07-19,661.17,670.8405,659.34,669.4,332566,14877,667.257309,665.05,False,True,14261.0
13,2021-07-20,671.5,675.09,663.08,669.39,589577,22034,669.349996,664.08,True,True,20832.0
14,2021-07-21,667.72,671.35,652.0,670.51,381846,14464,665.525555,659.51,True,True,7840.0
15,2021-07-22,673.27,683.47,673.09,683.03,304569,13182,680.373132,681.0,True,True,7511.0
16,2021-07-23,683.27,696.345,679.92,693.74,243126,11150,692.296769,686.46,False,True,7043.0
17,2021-07-26,691.14,691.14,677.76,685.67,253426,14014,683.876256,682.35,True,True,6013.0
18,2021-07-27,688.44,692.06,681.17,686.95,272222,13739,685.410859,687.36,False,False,9552.0
19,2021-07-28,687.27,698.17,684.13,695.58,279034,12398,693.85287,689.04,False,True,5530.0
20,2021-07-29,693.86,706.95,692.29,704.16,465093,17827,703.178415,702.56,True,True,7033.0
21,2021-07-30,675.26,681.17,655.5,678.53,696908,24705,672.985098,665.56,False,True,34086.0
22,2021-08-02,684.25,688.69,666.85,678.72,354148,18084,678.646416,681.33,True,False,14531.0
23,2021-08-03,682.19,698.4408,681.22,695.67,467109,17802,692.749571,687.73,False,True,10756.0
