,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,220.46,221.3,219.52,220.05,326180,8012,220.075843,221.04,True,False,6668.0
1,2021-07-01,220.83,221.73,219.01,219.87,323083,8194,219.831438,219.69,False,True,8605.0
2,2021-07-02,219.49,221.27,219.15,221.02,227056,5785,220.561625,219.86,False,True,3739.0
3,2021-07-06,221.01,221.58,217.05,219.37,302186,7786,219.013486,217.825,False,True,7401.0
4,2021-07-07,220.48,223.71,219.58,223.45,332080,8406,222.292113,220.4,True,True,11865.0
5,2021-07-08,220.75,222.23,219.15,220.68,325369,7426,220.645618,220.49,True,True,4783.0
6,2021-07-09,223.5,225.74,223.8,224.27,360401,8548,224.482884,224.81,False,False,8025.0
7,2021-07-12,222.94,224.92,221.98,224.5,451278,9750,223.997126,223.24,True,True,13820.0
8,2021-07-13,224.87,225.64,222.47,223.43,335080,9056,223.367942,224.005,True,False,9117.0
9,2021-07-14,223.32,224.98,221.29,223.92,446689,9167,223.561875,222.0,True,True,13718.0
10,2021-07-15,223.7,226.11,223.08,224.69,440624,8640,224.782968,225.44,True,False,14285.0
11,2021-07-16,226.05,227.705,224.92,226.67,1661949,14560,226.524855,225.11,False,True,19538.0
12,2021-07-19,224.13,224.42,218.86,222.35,443124,12070,221.343872,220.11,True,True,13559.0
13,2021-07-20,223.42,228.84,223.14,228.29,316542,10143,227.923456,227.55,False,True,6085.0
14,2021-07-21,229.74,231.13,226.78,227.46,400367,9139,227.714905,228.34,True,False,6982.0
15,2021-07-22,226.33,227.38,225.33,226.21,298387,5256,226.231185,226.295,True,False,4788.0
16,2021-07-23,227.09,227.98,226.13,227.8,260281,6197,227.36423,226.565,True,True,4862.0
17,2021-07-26,228.77,227.98,225.15,226.13,247048,5762,226.37449,225.15,False,True,7616.0
18,2021-07-27,224.69,227.45,223.76,226.25,312476,7719,226.174759,226.49,True,False,25123.0
19,2021-07-28,216.15,226.91,212.87,219.62,548889,12843,219.414683,218.315,True,True,15292.0
20,2021-07-29,222.21,223.23,219.75,223.05,420967,10149,222.390582,221.86,True,True,13115.0
21,2021-07-30,222.43,226.77,222.045,226.69,257815,7874,225.930334,224.485,True,True,5748.0
22,2021-08-02,228.37,229.82,225.75,225.94,399474,9047,226.960571,228.01,False,False,6667.0
23,2021-08-03,225.93,229.44,225.31,228.77,210596,7181,228.454154,228.13,True,True,7269.0
24,2021-08-04,228.81,229.18,225.89,226.78,217219,6455,227.07894,227.67,True,False,3505.0
25,2021-08-05,228.62,229.11,226.61,227.11,233119,4930,227.287794,227.6,True,False,3150.0
26,2021-08-06,228.4,228.29,226.54,227.67,216056,5223,227.624262,227.77,False,False,5119.0
27,2021-08-09,225.78,227.35,225.72,226.3,184899,5540,226.441588,226.445,True,False,4206.0
28,2021-08-10,226.11,229.22,225.88,227.0,223089,6687,227.432811,227.46,False,False,8486.0
29,2021-08-11,226.67,228.225,225.98,227.98,191608,5650,227.464354,227.62,True,True,1540.0
30,2021-08-12,226.93,228.35,225.57,226.5,410689,7067,226.452924,226.8194,False,False,3607.0
31,2021-08-13,226.01,226.655,223.63,223.99,357920,8586,224.384251,225.09,False,False,4826.0
32,2021-08-16,224.11,227.67,222.08,227.36,303707,7253,225.894765,225.435,True,True,13897.0
33,2021-08-17,225.64,226.21,221.14,223.73,196190,5486,223.076296,223.555,False,True,8863.0
34,2021-08-18,222.62,222.75,219.22,219.55,493697,9146,219.897904,221.36,False,False,6894.0
35,2021-08-19,218.52,221.22,217.41,220.67,279436,8071,220.280044,218.595,False,True,3401.0
36,2021-08-20,221.73,222.55,220.36,221.29,267028,5879,221.346572,221.84,True,False,2177.0
37,2021-08-23,221.75,223.13,221.345,221.72,272723,6716,221.895856,222.57,True,False,10560.0
38,2021-08-24,222.69,225.32,222.37,224.63,340058,6836,224.517438,223.85,True,True,6920.0
39,2021-08-25,224.35,226.55,224.12,226.43,308368,6062,226.004578,225.35,True,True,4379.0
40,2021-08-26,226.21,226.39,224.5801,225.85,172798,4792,225.720867,224.96,False,True,555.0
41,2021-08-27,226.96,227.73,225.15,225.3,390830,8921,225.861996,226.605,False,False,2701.0
42,2021-08-30,226.28,227.73,225.54,225.95,504687,7684,226.31648,226.985,True,False,1508.0
43,2021-08-31,225.87,226.28,222.83,224.0,530907,7734,223.988344,224.92,True,False,2816.0
44,2021-09-01,224.51,224.41,219.96,220.63,467022,11524,220.838886,220.39,False,True,9757.0
45,2021-09-02,221.99,224.705,221.325,224.22,602197,7900,223.125243,224.42,False,False,5569.0
46,2021-09-03,223.78,224.97,222.22,222.57,263937,5752,223.305833,223.785,False,False,6234.0
47,2021-09-07,220.63,223.27,216.89,217.17,277725,7648,218.052211,219.2,True,False,5940.0
48,2021-09-08,216.23,219.46,215.1101,219.1,396128,7873,218.455621,216.29,False,True,4201.0
49,2021-09-09,219.31,220.09,217.31,217.74,245214,6297,217.994927,219.23,False,False,3295.0
50,2021-09-10,218.64,219.5,217.01,217.16,347721,8215,217.890064,217.95,False,False,5882.0
51,2021-09-13,218.7,219.12,214.085,214.47,336440,7206,215.10709,217.025,False,False,3367.0
52,2021-09-14,215.21,218.22,214.96,215.92,494433,9344,216.33873,217.64,True,False,26388.0
53,2021-09-15,215.2,219.73,215.105,219.13,332360,7007,218.418476,216.39,False,True,3464.0
54,2021-09-16,217.79,219.4,216.1,218.37,389951,9876,218.239387,216.58,True,True,3663.0
55,2021-09-17,217.96,219.45,215.405,215.75,599766,9571,216.319148,216.77,True,False,6798.0
56,2021-09-20,212.22,215.175,211.74,214.71,344588,9262,214.368119,214.76,False,False,6107.0
57,2021-09-21,213.81,215.92,212.83,213.41,217791,6367,214.039657,214.265,False,False,7888.0
58,2021-09-22,215.42,216.795,214.2743,215.2,247334,5647,215.670495,215.6996,False,False,16904.0
59,2021-09-23,216.7,217.97,216.265,217.23,227034,6031,217.184562,216.44,False,True,11944.0
60,2021-09-24,216.61,217.33,215.995,216.68,132396,4388,216.651672,216.58,False,True,1723.0
61,2021-09-27,216.9,218.33,215.34,215.4,203275,6000,216.229775,217.96,False,False,4730.0
62,2021-09-28,215.29,216.71,211.35,211.58,269692,8430,212.15184,213.26,True,False,3801.0
63,2021-09-29,212.01,214.15,210.93,213.0,241080,7115,213.237308,213.21,True,False,5716.0
64,2021-09-30,213.33,213.75,206.87,206.95,382743,8247,208.683489,211.63,False,False,4744.0
65,2021-10-01,207.45,211.92,206.06,210.15,311727,8659,209.385431,206.995,False,True,16621.0
66,2021-10-04,211.29,210.35,206.165,208.44,428080,8908,208.030002,207.81,False,True,8615.0
67,2021-10-05,208.87,212.8,207.45,211.04,485716,7792,210.987169,210.91,True,True,12409.0
68,2021-10-06,209.03,211.91,207.14,211.74,216623,7805,210.163863,208.01,True,True,6185.0
69,2021-10-07,213.83,216.46,213.37,213.83,287628,7640,214.639951,215.61,False,False,5513.0
70,2021-10-08,213.55,214.055,211.205,211.82,221888,6569,212.185208,212.56,True,False,3103.0
71,2021-10-11,212.23,212.49,207.07,207.16,219447,6604,209.132849,211.5234,False,False,4204.0
72,2021-10-12,208.43,208.435,205.245,205.78,266488,6889,206.465544,207.48,True,False,4269.0
73,2021-10-13,206.29,207.28,204.42,206.07,367842,8531,205.791173,205.79,True,True,7783.0
74,2021-10-14,207.93,213.3894,207.15,213.28,218494,5518,212.087454,209.56,False,True,3496.0
75,2021-10-15,213.65,215.79,213.16,213.45,341324,7214,213.965589,214.72,False,False,8528.0
76,2021-10-18,211.74,214.205,211.38,213.38,223369,5632,213.436188,213.15,True,True,4435.0
77,2021-10-19,214.07,216.41,213.19,216.25,289545,8390,215.519105,214.01,False,True,5761.0
78,2021-10-20,217.15,220.05,216.82,218.09,345815,8696,218.535817,218.49,False,False,10067.0
79,2021-10-21,217.69,220.4,216.63,220.25,354095,6911,218.998297,218.545,False,True,3529.0
80,2021-10-22,221.55,222.92,220.61,221.07,197453,5665,221.473587,222.47,True,False,6063.0
81,2021-10-25,220.3,223.03,218.35,221.19,310490,8674,221.029777,220.63,True,True,8335.0
82,2021-10-26,221.43,221.83,219.0,219.96,295843,8508,220.412918,220.45,False,False,5317.0
83,2021-10-27,219.01,228.0,217.87,222.22,673747,15842,223.502554,218.51,True,True,14618.0
84,2021-10-28,222.05,224.29,220.02,222.96,341483,9188,222.805586,223.14,True,False,12675.0
85,2021-10-29,222.46,225.975,221.09,222.57,327628,7666,222.650261,224.016,True,False,5719.0
86,2021-11-01,223.42,224.58,221.21,223.9,287000,7725,223.374679,222.41,True,True,5867.0
87,2021-11-02,224.73,232.27,223.36,231.9,465451,10253,230.053124,227.59,True,True,9155.0
88,2021-11-03,231.62,231.94,227.8,230.32,242278,7605,229.69622,228.89,False,True,7657.0
89,2021-11-04,231.74,234.44,230.84,233.38,217147,7114,233.099494,232.75,False,True,3736.0
90,2021-11-05,235.41,236.67,233.78,234.51,256841,6731,234.776869,234.96,False,False,3605.0
91,2021-11-08,235.45,236.49,233.225,235.46,223843,6354,235.053162,234.46,False,True,4922.0
92,2021-11-09,235.11,236.59,234.935,235.86,204728,5864,235.76736,235.88,True,False,5281.0
93,2021-11-10,235.59,236.3026,234.53,235.54,144491,5571,235.41397,236.16,True,False,4992.0
94,2021-11-11,234.45,235.48,232.73,233.58,147400,4823,233.690243,235.17,False,False,5731.0
95,2021-11-12,233.625,235.81,233.47,235.05,186499,5089,234.707394,234.56,False,True,1606.0
96,2021-11-15,234.84,236.385,233.69,234.61,205377,4886,234.71675,234.245,False,True,4840.0
97,2021-11-16,235.48,238.56,234.75,236.5,199221,5563,236.942293,235.79,True,True,5280.0
98,2021-11-17,236.14,236.47,233.99,236.16,148693,4880,235.784957,236.14,True,True,7067.0
99,2021-11-18,236.55,236.71,234.75,235.84,136658,4384,235.821979,236.34,False,False,2629.0
100,2021-11-19,235.12,237.79,234.42,234.42,246451,5745,235.270441,236.72,True,False,16295.0
