,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,112.52,113.02,112.29,112.66,2771869,23534,112.645505,112.8215,True,False,27364.0
1,2021-07-01,113.08,113.73,112.85,113.23,1608225,21737,113.296977,113.62,True,False,39164.0
2,2021-07-02,113.3,114.0,113.035,113.72,1444502,16552,113.646086,113.48,True,True,34181.0
3,2021-07-06,114.0,114.43,112.58,114.11,3569438,17482,113.947237,113.12,False,True,34278.0
4,2021-07-07,114.2,115.48,113.8598,115.33,1171461,17002,114.939803,114.03,False,True,24837.0
5,2021-07-08,114.18,114.95,113.73,114.1,2492687,27375,114.213416,114.33,False,False,89032.0
6,2021-07-09,114.5,114.9,112.335,113.52,1997411,19274,113.348853,113.46,False,True,20841.0
7,2021-07-12,113.43,114.02,111.79,112.46,3428361,22973,112.459924,112.61,False,False,40480.0
8,2021-07-13,112.45,112.595,111.36,111.66,3439285,22132,111.708662,112.14,True,False,43815.0
9,2021-07-14,111.95,112.65,111.31,112.3,1888131,15641,112.141002,111.65,True,True,72541.0
10,2021-07-15,112.3,113.53,112.11,113.32,2853329,21166,113.072649,112.92,False,True,45928.0
11,2021-07-16,113.52,114.4,113.33,114.06,1407621,20318,114.039323,113.66,True,True,32736.0
12,2021-07-19,113.34,114.25,112.04,112.89,3228558,24463,112.849359,112.66,False,True,48816.0
13,2021-07-20,113.1,115.73,112.91,114.87,1632599,21517,114.903881,114.945,True,False,56577.0
14,2021-07-21,114.98,116.09,114.985,115.15,1737943,22303,115.345813,115.78,True,False,51234.0
15,2021-07-22,115.5,115.89,114.7869,115.55,1820564,14790,115.529226,115.62,True,False,21149.0
16,2021-07-23,115.92,116.58,115.21,115.44,2030024,17768,115.598333,115.8401,True,False,22837.0
17,2021-07-26,115.41,115.43,112.53,113.94,1558170,19369,113.830451,112.85,True,True,49806.0
18,2021-07-27,113.55,114.36,111.92,113.28,2944269,33739,113.176709,113.8,False,False,66581.0
19,2021-07-28,113.49,114.2,111.66,112.32,2825135,42822,112.643765,112.88,False,False,101359.0
20,2021-07-29,113.22,116.54,113.22,115.33,3175691,39781,115.45834,115.135,True,True,63446.0
21,2021-07-30,115.07,117.39,114.8,116.84,4144108,28272,116.077329,116.25,True,True,55294.0
22,2021-08-02,117.37,119.07,117.02,117.98,3383609,31970,118.157018,118.205,True,False,74811.0
23,2021-08-03,118.0,118.54,116.9,117.9,2358410,37749,117.69723,117.12,False,True,46647.0
24,2021-08-04,117.55,118.77,116.15,117.93,4313913,63442,117.325712,116.5,False,True,284607.0
25,2021-08-05,118.29,120.64,118.0,119.42,2776244,32547,118.921275,118.34,False,True,109102.0
26,2021-08-06,119.33,119.79,118.6,119.61,2366208,27139,119.337563,119.05,False,True,45472.0
27,2021-08-09,119.72,119.89,117.61,117.92,2822262,28876,118.106196,118.7996,True,False,70176.0
28,2021-08-10,118.18,118.63,117.71,118.02,1591030,21247,118.08218,118.23,True,False,72609.0
29,2021-08-11,118.22,118.75,117.28,117.87,1207590,17875,117.924121,118.15,False,False,31428.0
30,2021-08-12,118.2,118.72,117.4,118.68,754939,11685,118.216693,117.94,False,True,28371.0
31,2021-08-13,118.68,120.03,118.58,119.54,1096822,15203,119.372381,119.03,False,True,70981.0
32,2021-08-16,119.57,120.42,118.7,120.32,1818510,24304,120.006564,119.5622,False,True,64575.0
33,2021-08-17,120.04,120.36,119.12,119.88,1725433,25390,119.697975,119.4599,True,True,39071.0
34,2021-08-18,119.56,119.84,115.49,115.57,2031760,30954,117.096348,118.34,False,False,86820.0
35,2021-08-19,114.65,117.32,113.78,117.19,2206849,31191,116.713646,115.65,False,True,60600.0
36,2021-08-20,116.76,118.55,116.61,118.1,1481322,24065,118.112404,118.09,False,True,54906.0
37,2021-08-23,118.62,119.765,118.32,119.21,2292286,25835,119.254902,119.73,True,False,46567.0
