,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,242.32,242.94,239.68,242.2,531800,11853,241.637802,241.35,True,True,13615.0
1,2021-07-01,243.37,249.0,242.87,248.43,681377,13223,247.423966,245.76,True,True,22304.0
2,2021-07-02,248.93,255.31,248.32,253.69,1151180,14508,253.203148,251.52,False,True,20003.0
3,2021-07-06,253.69,254.89,250.965,254.38,614327,11216,253.51083,252.16,True,True,16047.0
4,2021-07-07,254.69,258.31,254.2,257.03,656024,11508,256.65701,254.96,False,True,52478.0
5,2021-07-08,252.73,257.115,251.26,254.23,468956,11848,254.376208,253.655,False,True,8901.0
6,2021-07-09,256.35,257.29,253.86,256.87,478242,10478,256.073838,255.35,False,True,12460.0
7,2021-07-12,256.89,257.54,255.08,256.64,414447,13309,256.504863,257.19,True,False,10557.0
8,2021-07-13,256.44,257.32,255.64,255.67,417287,8844,256.264548,256.285,False,False,9505.0
9,2021-07-14,256.32,256.77,253.54,254.35,348905,8230,254.59483,255.0,True,False,5931.0
10,2021-07-15,253.15,255.215,251.73,253.98,440515,9657,253.781945,254.105,True,False,19488.0
11,2021-07-16,255.22,255.99,252.08,253.36,331962,7613,253.55756,253.985,True,False,14680.0
12,2021-07-19,247.78,254.09,247.41,253.87,1102507,15562,250.772483,250.57,True,True,25457.0
13,2021-07-20,254.76,256.445,253.55,255.68,751991,14324,255.304643,255.64,True,True,24516.0
14,2021-07-21,256.05,258.27,254.88,256.58,485966,10317,256.478484,256.58,True,False,8293.0
15,2021-07-22,256.99,257.8352,253.31,257.09,588676,8760,255.944093,255.28,False,True,22892.0
16,2021-07-23,259.53,261.46,258.6,260.61,408026,10030,260.109104,260.745,False,False,8688.0
17,2021-07-26,259.5,263.61,258.995,263.2,544830,11139,262.643506,261.14,True,True,9121.0
18,2021-07-27,262.0,264.75,260.13,264.74,343446,10936,263.056306,263.87,False,True,8510.0
19,2021-07-28,265.35,265.35,261.91,262.1,273895,8933,262.642774,261.97,False,True,7743.0
20,2021-07-29,263.46,265.19,261.23,263.22,379286,11221,263.750434,264.9,True,False,11058.0
21,2021-07-30,262.18,265.28,261.75,264.73,442521,10586,263.972193,263.01,False,True,12494.0
22,2021-08-02,266.0,267.575,264.075,264.97,862865,18198,265.429876,264.47,False,True,16452.0
23,2021-08-03,270.48,294.52,270.48,293.67,1501542,25764,289.560084,288.65,True,True,60053.0
24,2021-08-04,295.0,299.495,289.55,289.88,963833,17628,293.668282,298.49,True,False,91782.0
25,2021-08-05,291.36,296.42,289.67,295.23,887243,15105,293.998796,294.52,True,True,27662.0
26,2021-08-06,294.86,296.96,288.04,292.88,674931,12368,292.295869,291.05,True,True,30936.0
27,2021-08-09,291.75,292.0,286.56,289.55,452268,10381,289.340728,287.865,True,True,19834.0
28,2021-08-10,289.5,293.27,288.15,291.56,358534,10431,291.168075,291.89,False,False,25111.0
29,2021-08-11,291.56,296.79,291.57,295.45,595930,10709,294.988277,295.08,True,True,15037.0
30,2021-08-12,294.2,304.84,294.375,304.09,860605,16256,302.337601,298.47,True,True,13048.0
31,2021-08-13,302.09,305.65,301.33,304.87,513157,12028,304.430423,304.99,True,False,13007.0
32,2021-08-16,304.54,308.88,301.24,308.62,455161,8408,306.233199,304.815,True,True,7611.0
33,2021-08-17,307.15,310.33,305.64,309.83,740567,14868,308.406086,306.51,True,True,18776.0
34,2021-08-18,309.24,312.765,301.65,302.2,799242,15690,305.659477,310.63,False,False,45748.0
35,2021-08-19,298.58,303.06,297.24,302.66,675620,16297,301.270224,297.56,False,True,13248.0
36,2021-08-20,302.73,304.01,300.43,302.4,490511,12636,302.406595,301.875,False,True,10564.0
37,2021-08-23,304.2,306.46,301.64,302.39,646071,14039,303.079676,304.1,False,False,8953.0
38,2021-08-24,302.39,304.65,300.62,300.97,446018,10317,301.601266,303.74,False,False,6566.0
39,2021-08-25,301.04,307.85,300.27,307.19,468491,11566,305.721175,304.6,True,True,9638.0
40,2021-08-26,307.76,308.47,305.06,306.0,413092,11585,306.616029,306.02,False,False,11997.0
41,2021-08-27,306.74,309.92,305.34,307.8,440788,11337,307.026886,306.92,False,True,6201.0
42,2021-08-30,307.6,309.355,305.59,307.21,347315,10458,307.608827,308.565,True,False,7951.0
43,2021-08-31,306.83,309.92,305.06,308.74,729746,14153,308.418561,308.81,False,False,12303.0
44,2021-09-01,308.74,310.73,306.5987,309.31,510331,16036,308.593616,307.85,True,True,26494.0
45,2021-09-02,310.84,312.44,309.075,311.8,422393,12141,310.968668,311.62,True,True,9791.0
46,2021-09-03,309.74,317.43,308.4996,313.35,368838,10866,312.8637,311.74,True,True,11101.0
47,2021-09-07,312.79,313.69,307.07,311.78,582852,16433,311.015834,310.84,True,True,18917.0
48,2021-09-08,310.22,314.51,309.695,312.58,390152,11696,312.712045,312.23,False,True,10652.0
49,2021-09-09,312.99,318.295,312.11,315.87,531888,16166,315.51827,314.21,False,True,12441.0
50,2021-09-10,317.84,317.39,311.885,313.66,504563,11664,314.183417,312.735,True,True,11308.0
51,2021-09-13,314.14,314.9,306.09,309.34,476427,13754,309.236837,308.85,False,True,8864.0
52,2021-09-14,311.15,314.315,310.0,310.6,360906,12077,311.408615,311.94,False,False,6883.0
53,2021-09-15,310.61,317.66,309.27,316.97,551243,15377,315.530607,312.6626,True,True,11447.0
54,2021-09-16,317.82,317.91,313.295,315.93,379466,12536,315.641889,314.83,True,True,9823.0
55,2021-09-17,315.29,317.33,309.28,310.33,1462376,15176,310.802453,313.95,False,False,14580.0
56,2021-09-20,304.02,312.0298,302.2,311.78,419764,12664,309.656899,310.23,True,True,7664.0
57,2021-09-21,313.99,316.27,307.355,307.5,867928,19623,309.100797,311.19,False,False,11262.0
58,2021-09-22,309.73,319.4,308.95,316.55,726486,14880,315.912028,312.56,False,True,6166.0
