,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,130.04,131.31,129.03,129.15,1410301,17914,129.919846,130.72,True,False,30938.0
1,2021-07-01,129.14,131.15,128.54,130.58,1052600,17964,130.351789,129.98,True,True,26211.0
2,2021-07-02,130.82,134.37,130.36,133.82,1063976,17760,133.238072,132.5461,True,True,28003.0
3,2021-07-06,133.3,133.5,131.84,132.74,1199009,18212,132.685149,132.64,False,True,43332.0
4,2021-07-07,132.7,137.53,132.03,136.88,1384673,24365,136.060878,133.97,False,True,43359.0
5,2021-07-08,133.055,135.5,130.24,133.27,1285710,20612,133.304894,132.32,True,True,35427.0
6,2021-07-09,135.19,135.66,133.375,134.84,740554,15145,134.421329,134.5542,False,True,19013.0
7,2021-07-12,134.63,136.45,134.0,135.42,682108,12657,135.437389,135.76,True,False,13425.0
8,2021-07-13,134.765,135.06,131.52,131.74,1404332,22655,132.296131,132.56,False,False,42873.0
9,2021-07-14,132.36,134.47,131.91,134.19,777157,14233,133.727885,133.07,True,True,21319.0
10,2021-07-15,133.295,134.43,129.86,131.26,975504,16374,131.645982,133.41,False,False,24975.0
11,2021-07-16,131.74,132.945,130.81,130.95,575659,12090,131.671611,132.41,False,False,28418.0
12,2021-07-19,128.39,129.08,126.41,128.55,836751,16548,128.156786,128.01,True,True,22722.0
13,2021-07-20,129.12,134.8,129.1193,134.38,855698,16301,133.751228,132.17,True,True,17622.0
14,2021-07-21,135.0,138.0,134.72,135.93,986119,17087,135.966166,136.68,True,False,30498.0
15,2021-07-22,135.66,135.89,133.719,134.41,615677,13550,134.503465,134.66,False,False,38959.0
16,2021-07-23,135.5,135.6776,133.7958,134.84,1058720,17647,134.704416,134.84,True,False,10290.0
17,2021-07-26,134.15,135.28,133.45,135.09,635476,12639,134.607717,134.35,False,True,16778.0
18,2021-07-27,134.0,135.59,133.39,134.97,745718,14470,134.720617,134.56,True,True,17045.0
19,2021-07-28,135.77,136.6107,133.01,133.3,515354,10753,133.831503,133.63,True,False,12931.0
20,2021-07-29,134.22,135.61,133.08,134.97,723686,13135,134.860244,135.38,True,False,17753.0
21,2021-07-30,134.0,136.45,133.27,133.95,615906,12379,134.210425,134.66,False,False,15556.0
22,2021-08-02,135.58,137.1584,134.901,136.5,1025243,16692,136.169769,136.17,True,True,26050.0
23,2021-08-03,136.755,139.95,136.2601,139.7,1435729,20018,138.900455,139.48,True,True,57455.0
24,2021-08-04,139.11,139.9,135.9135,136.62,1042674,17415,137.363654,138.005,False,False,45347.0
25,2021-08-05,137.43,138.42,135.82,136.0,542481,10585,136.50008,136.36,False,False,13352.0
26,2021-08-06,137.42,137.83,133.9,134.02,738745,13702,134.84636,135.1,False,False,28271.0
27,2021-08-09,133.26,133.89,130.52,132.85,876446,16089,132.745669,132.29,True,True,17730.0
28,2021-08-10,132.69,136.0094,132.38,135.31,522332,12076,135.129846,134.64,True,True,16562.0
29,2021-08-11,133.2,133.79,130.88,131.9,1344388,20048,131.940124,132.19,True,False,39825.0
30,2021-08-12,132.79,132.89,128.74,129.34,880282,14467,129.654364,129.4,False,False,35046.0
31,2021-08-13,129.29,129.75,127.7725,128.09,713972,13833,128.331973,128.18,False,False,21554.0
32,2021-08-16,127.16,129.26,124.67,129.07,1139414,17283,127.884373,128.62,True,True,30458.0
33,2021-08-17,127.88,128.37,125.88,127.47,1161664,15899,127.077217,128.0,False,False,63387.0
34,2021-08-18,126.42,127.965,124.53,124.62,808747,16135,125.697985,127.24,True,False,13786.0
35,2021-08-19,123.31,124.64,122.51,124.24,599261,11458,124.023843,123.0,False,True,15261.0
36,2021-08-20,124.13,124.9,123.12,124.76,512493,11949,124.46983,123.575,True,True,12371.0
37,2021-08-23,125.47,125.84,124.09,124.92,606558,12132,124.946278,125.04,False,False,24671.0
38,2021-08-24,125.36,126.48,125.05,125.54,508353,12130,125.6859,125.29,False,True,15965.0
39,2021-08-25,125.54,128.08,125.4,127.48,591967,11722,127.420661,126.87,True,True,14381.0
40,2021-08-26,126.91,127.82,125.75,126.26,556833,11374,126.554691,126.77,False,False,14012.0
41,2021-08-27,126.05,127.345,125.535,126.59,427110,9622,126.629959,125.585,False,True,15376.0
42,2021-08-30,127.01,128.2,125.5,126.49,516367,9815,126.956892,126.775,True,False,15178.0
43,2021-08-31,126.59,126.84,124.27,125.21,1086468,16579,125.219545,124.57,True,True,28360.0
44,2021-09-01,125.88,127.55,125.845,127.34,832320,16331,126.886034,126.78,True,True,37921.0
45,2021-09-02,127.32,127.75,125.86,126.44,690527,12591,126.620852,127.25,True,False,16025.0
46,2021-09-03,126.2,127.63,125.29,127.15,607087,12083,126.756454,125.99,True,True,17490.0
