,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,53.82,54.18,53.75,54.11,14593333,78128,53.954614,53.835,True,True,391866.0
1,2021-07-01,54.25,54.48,53.855,53.96,13171035,79230,54.095725,54.115,True,False,402923.0
2,2021-07-02,54.11,54.45,54.0,54.18,10588902,71703,54.228324,54.37,True,False,434167.0
3,2021-07-06,53.99,54.09,53.55,53.88,15261753,101587,53.849877,53.715,True,True,583454.0
4,2021-07-07,53.8,54.375,53.72,54.32,14347726,67986,54.235515,54.3,True,True,399783.0
5,2021-07-08,53.99,54.165,53.735,54.13,11875612,76056,54.011947,53.93,True,True,269075.0
6,2021-07-09,54.29,54.52,54.18,54.46,10792988,59202,54.416769,54.28,False,True,214541.0
7,2021-07-12,54.37,54.595,54.27,54.48,15098999,70438,54.448428,54.48,False,False,185312.0
8,2021-07-13,55.0,55.295,54.75,55.02,15161219,96383,55.0807,55.18,True,False,394353.0
9,2021-07-14,55.02,56.3499,54.96,56.26,21924145,117753,55.948655,55.6358,True,True,846922.0
10,2021-07-15,56.3,56.47,55.91,56.44,15021738,94167,56.285181,56.15,True,True,321067.0
11,2021-07-16,56.5,56.68,56.26,56.4,14819111,80559,56.477766,56.625,True,False,843269.0
12,2021-07-19,56.12,56.35,55.16,55.73,19325734,115596,55.591268,55.5185,False,True,616629.0
13,2021-07-20,55.76,56.3299,55.52,55.83,16168715,96858,55.911478,56.01,False,False,302826.0
14,2021-07-21,57.24,57.56,56.425,56.55,20861912,126802,56.849831,56.985,True,False,616116.0
15,2021-07-22,56.62,56.74,56.05,56.47,13373330,87605,56.457998,56.345,True,True,497810.0
16,2021-07-23,56.55,57.33,56.45,57.01,12117970,78756,56.974379,56.8662,True,True,354820.0
17,2021-07-26,56.91,57.12,56.56,57.06,8670638,58055,56.951254,56.665,True,True,318492.0
18,2021-07-27,57.17,57.54,56.92,57.26,12785255,83435,57.266365,57.365,True,False,361579.0
19,2021-07-28,57.05,57.16,56.629,56.74,9790288,67262,56.811893,56.97,False,False,228903.0
20,2021-07-29,57.1,57.25,56.86,57.05,9556558,54779,57.0619,56.945,True,True,295385.0
21,2021-07-30,57.17,57.25,56.9,57.03,11678484,56103,57.043821,57.16,True,False,193246.0
22,2021-08-02,57.19,57.24,56.705,56.88,9733756,64469,56.907265,56.955,False,False,219219.0
23,2021-08-03,56.97,57.0,56.745,56.92,8753977,57273,56.890656,56.76,False,True,214443.0
24,2021-08-04,56.775,56.95,56.0101,56.1,11861321,80265,56.224295,56.33,False,False,458699.0
