,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,229.97,230.8459,229.06,229.52,1785549,25783,229.730898,230.4,False,False,32786.0
1,2021-07-01,229.5,231.5,228.66,231.13,1973050,28126,230.737231,229.975,False,True,46577.0
2,2021-07-02,231.99,234.21,231.33,233.96,1991006,27887,233.243275,232.81,True,True,53561.0
3,2021-07-06,233.82,235.575,233.2301,235.42,3120635,43189,234.616623,234.04,False,True,77787.0
4,2021-07-07,234.68,236.59,233.46,235.82,3136174,42067,235.438287,233.865,False,True,144232.0
5,2021-07-08,233.4,237.27,232.1,237.12,2425408,36207,235.764875,234.47,True,True,60961.0
6,2021-07-09,237.49,238.4717,232.75,234.99,4025606,45669,235.902772,237.0,False,False,62166.0
7,2021-07-12,235.55,238.0,235.15,236.01,2927817,33013,236.130952,236.64,True,False,154888.0
8,2021-07-13,235.9,236.65,234.03,235.3,1968408,28690,235.38925,234.65,False,True,55698.0
9,2021-07-14,235.73,237.23,234.73,236.35,2097891,23181,236.412664,236.64,True,False,28476.0
10,2021-07-15,235.74,235.99,230.69,231.47,3605161,38358,232.23564,231.94,False,False,85358.0
11,2021-07-16,232.84,233.04,231.21,232.46,2224085,28405,232.134164,232.16,True,True,55395.0
12,2021-07-19,231.88,234.3,230.57,234.14,2284655,34392,232.651995,231.82,False,True,40909.0
13,2021-07-20,235.0,237.75,233.935,235.02,2286083,33420,235.271232,235.93,False,False,73728.0
14,2021-07-21,235.94,237.37,233.59,237.29,1639537,21929,236.445864,235.0,True,True,74618.0
15,2021-07-22,237.34,239.7,236.37,238.49,1702679,26405,238.31509,238.145,False,True,77410.0
16,2021-07-23,238.95,244.55,238.56,244.15,2445149,38460,242.429698,239.16,True,True,47180.0
17,2021-07-26,243.74,245.28,242.57,243.21,2676254,32734,243.294978,243.92,True,False,77758.0
18,2021-07-27,243.57,244.06,242.66,243.58,2114093,27144,243.390956,243.34,True,True,41855.0
19,2021-07-28,244.23,248.4,242.64,246.51,1677174,27004,246.583814,245.475,True,True,38463.0
20,2021-07-29,247.59,248.24,242.2401,245.33,1921313,29958,245.346605,245.72,False,False,49211.0
21,2021-07-30,244.86,245.95,242.63,243.5,1899524,26235,243.95889,244.37,True,False,44667.0
22,2021-08-02,245.51,247.885,244.25,246.6,1954465,31175,246.567714,245.98,True,True,71007.0
23,2021-08-03,244.68,259.37,243.5,255.99,5400199,68802,254.865807,257.45,True,False,167592.0
24,2021-08-04,255.81,270.65,255.42,262.47,3889046,61489,264.807277,265.36,True,False,163261.0
25,2021-08-05,263.29,265.51,261.33,264.19,2261269,36936,263.920691,263.37,False,True,97687.0
26,2021-08-06,263.14,264.27,260.74,263.44,2154872,35268,263.009008,262.69,True,True,83757.0
27,2021-08-09,264.98,273.04,264.5,267.16,3233547,39437,268.133231,271.485,True,False,195630.0
28,2021-08-10,266.65,271.08,266.18,269.45,2058805,29731,269.118647,266.87,False,True,52454.0
29,2021-08-11,269.6,270.94,262.66,264.1,2811822,38112,265.875302,269.405,False,False,63550.0
30,2021-08-12,263.01,264.535,261.49,263.47,2100778,34854,263.301582,263.81,True,False,102036.0
31,2021-08-13,263.64,265.69,263.02,264.21,1480722,25073,264.357194,264.4635,False,False,43958.0
32,2021-08-16,264.5,270.26,264.265,269.94,2620146,33539,268.347179,267.7127,True,True,73834.0
33,2021-08-17,270.9,275.87,267.18,272.71,2092427,37159,271.771908,272.28,False,True,49083.0
34,2021-08-18,272.02,274.76,268.03,268.52,2522024,33944,270.886788,272.98,False,False,65543.0
35,2021-08-19,266.15,271.8475,265.43,270.4,1894273,31077,269.730428,269.81,False,True,34843.0
36,2021-08-20,270.77,272.8665,269.06,270.91,1531180,29198,270.880437,271.57,False,False,33512.0
37,2021-08-23,272.83,272.91,267.7,267.82,2434936,35595,269.169225,271.6305,False,False,34139.0
38,2021-08-24,266.46,267.44,261.78,262.77,3735797,48816,263.4511,265.57,False,False,85549.0
39,2021-08-25,262.75,264.52,261.29,263.87,2387229,35587,263.354495,262.398,True,True,63934.0
40,2021-08-26,264.03,265.59,260.58,261.32,1730223,31596,261.80399,262.14,True,False,32244.0
41,2021-08-27,261.56,263.1257,258.58,259.75,1834195,31773,259.988198,260.735,False,False,67468.0
42,2021-08-30,260.02,264.07,259.61,262.31,1300296,26961,262.565297,263.105,False,False,48817.0
43,2021-08-31,262.84,263.635,257.86,258.29,2727772,35939,259.258897,261.21,False,False,54716.0
44,2021-09-01,258.735,258.77,254.49,257.4,2951673,45557,256.623179,255.76,False,True,65795.0
45,2021-09-02,257.78,259.73,256.47,259.57,1468537,26185,258.565701,257.74,True,True,41515.0
46,2021-09-03,259.78,260.99,256.7836,259.53,1123677,23051,259.428597,259.11,True,True,48152.0
47,2021-09-07,258.78,260.82,254.41,254.8,2402647,35526,256.286584,258.95,True,False,63697.0
48,2021-09-08,254.82,255.71,253.68,254.84,1525118,29032,254.690551,253.92,False,True,39243.0
49,2021-09-09,253.15,254.02,239.67,240.0,4973636,65771,243.056357,247.38,False,False,139788.0
50,2021-09-10,243.29,243.89,238.57,239.5,4626849,57836,240.46037,241.23,False,False,181542.0
51,2021-09-13,240.54,241.15,235.15,237.96,2829907,34905,237.513087,236.07,False,True,168738.0
52,2021-09-14,238.79,239.7939,231.98,233.09,3823767,48993,233.855786,236.015,False,False,69586.0
53,2021-09-15,233.54,239.38,233.06,233.73,2799912,42761,235.282765,236.69,False,False,82416.0
54,2021-09-16,234.42,234.69,229.73,231.04,2958198,41116,230.867731,230.37,False,True,101889.0
55,2021-09-17,229.84,230.83,228.23,230.1,4477942,33915,229.847774,228.71,False,True,36325.0
56,2021-09-20,228.0,232.73,227.29,231.64,2797351,43349,230.790563,230.37,False,True,75313.0
57,2021-09-21,232.14,233.72,229.74,230.17,2170293,31978,230.935181,232.31,False,False,44973.0
58,2021-09-22,230.01,231.03,227.58,228.3,2513982,37125,229.00029,229.54,True,False,39899.0
59,2021-09-23,229.5,234.2,229.01,232.18,1905966,31290,232.677603,233.01,True,False,49085.0
60,2021-09-24,233.01,235.385,231.34,231.68,1636926,27643,232.570183,234.12,False,False,53172.0
61,2021-09-27,229.5,231.06,225.613,226.4,2771775,39074,226.811212,227.45,False,False,91015.0
62,2021-09-28,226.39,226.4,220.2,221.6,3577188,48602,221.958411,222.29,False,False,122167.0
63,2021-09-29,226.0,231.44,224.56,230.36,3948616,54676,229.175499,227.835,True,True,123750.0
64,2021-09-30,233.64,237.16,230.8,231.05,3737734,55187,233.319924,234.9,False,False,107806.0
65,2021-10-01,230.53,231.68,225.45,229.59,2208884,36034,229.175806,226.64,True,True,91126.0
66,2021-10-04,227.81,230.19,224.22,224.85,4758527,54448,225.523953,226.76,False,False,96625.0
67,2021-10-05,226.58,232.56,226.1747,230.93,2793148,39911,230.577724,228.36,False,True,70912.0
68,2021-10-06,230.56,230.85,226.05,227.85,2435079,34125,227.97138,228.46,False,False,93520.0
69,2021-10-07,229.65,234.11,229.0,233.18,1994410,35353,232.942313,233.225,True,False,70501.0
70,2021-10-08,233.25,235.81,231.55,233.94,2551377,38976,234.200855,232.1369,False,True,44082.0
71,2021-10-11,236.7,237.99,233.6,233.67,1884750,29091,235.220304,237.51,True,False,47101.0
72,2021-10-12,234.94,235.07,231.98,232.78,1704370,25622,232.938729,233.55,False,False,26582.0
73,2021-10-13,234.15,237.92,232.8,236.44,2087026,30528,235.923414,234.67,True,True,76121.0
74,2021-10-14,237.15,238.44,234.11,236.69,1819029,29326,236.16906,235.23,False,True,30710.0
75,2021-10-15,237.42,239.2986,235.82,237.88,2583465,25940,237.877902,237.84,False,True,39148.0
76,2021-10-18,237.43,242.66,236.7,238.98,2519262,32257,239.267872,240.49,False,False,56406.0
77,2021-10-19,239.78,242.55,239.06,242.31,1555093,22305,241.675718,240.64,False,True,25442.0
78,2021-10-20,243.48,245.9,243.04,243.72,1520985,27333,243.981989,243.54,True,True,52636.0
79,2021-10-21,244.41,244.95,239.834,241.17,1700654,30491,241.011913,241.95,True,False,41819.0
80,2021-10-22,241.16,244.04,239.56,243.75,1924952,27431,242.509424,241.71,True,True,52709.0
81,2021-10-25,243.14,246.2667,240.52,245.05,2741007,43549,244.937652,244.03,True,True,77303.0
82,2021-10-26,243.58,248.92,237.09,248.44,4512931,70365,245.027324,240.79,False,True,171293.0
83,2021-10-27,248.7,254.46,248.32,250.17,3145486,51638,251.073685,252.44,True,False,101399.0
84,2021-10-28,250.31,256.75,250.08,253.35,3361362,44926,253.025816,254.04,True,False,96945.0
85,2021-10-29,253.99,256.47,251.77,254.76,3126178,38982,254.502803,254.8353,True,False,80912.0
86,2021-11-01,255.17,256.48,248.05,249.31,2719989,43326,250.499452,253.12,False,False,74443.0
87,2021-11-02,251.25,259.3,249.4,256.85,3991215,45515,256.774642,257.185,False,False,107225.0
88,2021-11-03,258.09,266.79,257.76,266.26,4379481,58023,264.020477,261.82,False,True,102583.0
89,2021-11-04,265.48,271.11,265.27,271.0,4132837,50159,269.513533,267.4838,True,True,154944.0
90,2021-11-05,269.25,269.49,258.56,265.0,3745481,60110,264.091544,264.26,True,True,101936.0
91,2021-11-08,265.0,266.91,259.155,260.53,2384785,38012,261.734548,262.91,False,False,120121.0
92,2021-11-09,260.52,262.16,258.39,262.02,1956414,30796,261.261892,260.29,False,True,112600.0
93,2021-11-10,261.9,266.0,261.6,264.65,2212470,29416,264.345349,263.12,True,True,118399.0
94,2021-11-11,263.47,264.32,261.95,262.63,1739316,31642,263.07647,263.67,True,False,99925.0
95,2021-11-12,261.615,262.52,258.93,259.65,1962586,33798,260.173178,260.38,False,False,135370.0
96,2021-11-15,259.01,259.61,257.16,258.43,1901555,34517,258.440625,257.9,False,True,131067.0
97,2021-11-16,257.04,260.35,255.99,257.72,2564832,28609,257.974939,259.62,True,False,115771.0
98,2021-11-17,256.5,264.55,256.07,261.18,2872158,39205,260.916463,260.09,True,True,152467.0
99,2021-11-18,262.155,263.8,259.82,261.33,1687083,25579,261.417142,260.555,False,True,135266.0
100,2021-11-19,266.4,270.8,260.3,260.7,2787586,48472,263.786906,268.89,True,False,304715.0
101,2021-11-22,262.01,263.9899,259.13,260.44,1997805,35006,261.550457,260.04,False,True,122307.0
102,2021-11-23,259.8,262.76,259.25,261.96,1984210,36206,261.579829,261.88,True,True,138689.0
103,2021-11-24,262.83,264.94,260.05,262.0,2514398,30562,261.739332,263.685,True,False,116052.0
104,2021-11-26,262.0,265.88,259.03,260.37,1490024,28362,261.304838,263.59,True,False,123613.0
105,2021-11-29,259.46,262.32,254.5,254.83,4039981,59829,256.358721,261.76,True,False,155445.0
106,2021-11-30,253.05,254.0,246.48,248.04,8258706,70512,249.066075,247.015,False,True,351349.0
107,2021-12-01,249.57,255.2991,247.89,249.13,3227319,59132,251.334119,248.13,False,True,150054.0
108,2021-12-02,246.64,249.98,245.12,247.88,3808695,48899,248.180126,247.885,True,False,159491.0
109,2021-12-03,250.03,253.48,243.08,245.58,4164589,57261,245.604134,251.2288,False,False,100593.0
110,2021-12-06,246.69,246.94,241.53,246.33,3490163,45728,244.35729,246.2512,True,True,118095.0
111,2021-12-07,244.24,245.435,241.45,245.11,4029505,64864,243.488902,244.12,False,True,204199.0
112,2021-12-08,247.0,248.1815,239.47,244.32,3632159,63567,242.777053,245.46,False,False,128305.0
113,2021-12-09,244.49,245.91,242.75,242.9,2290022,38045,243.717483,244.81,True,False,90956.0
114,2021-12-10,241.91,244.585,241.2,244.14,2375846,38622,243.414133,242.35,False,True,205906.0
115,2021-12-13,245.51,250.7,245.46,248.53,3017223,47862,248.763819,249.8,True,False,233044.0
116,2021-12-14,247.73,250.01,246.39,249.38,3418062,50506,248.967118,248.57,True,True,128634.0
117,2021-12-15,260.0,275.54,257.2098,275.28,10011120,140658,269.850787,263.785,True,True,967777.0
118,2021-12-16,275.31,283.905,272.05,279.04,5672472,89718,279.551897,275.395,False,True,369332.0
119,2021-12-17,274.0,276.67,265.3346,267.42,7579601,74173,268.449353,271.65,False,False,809538.0
120,2021-12-20,269.09,270.005,260.35,263.48,3472480,60620,262.816332,263.27,False,True,245119.0
121,2021-12-21,264.58,265.95,260.57,264.88,2697847,51131,264.003464,261.205,False,True,145227.0
122,2021-12-22,264.24,266.56,262.85,266.5,2717618,47451,265.462644,264.816,True,True,109123.0
123,2021-12-23,269.39,275.27,266.68,273.1,2630739,49066,272.651917,268.695,False,True,163363.0
124,2021-12-27,275.22,280.3,274.72,278.41,1676617,37856,277.914947,276.78,True,True,130078.0
125,2021-12-28,279.31,279.4,275.8901,276.43,1033606,26395,276.848122,277.151,False,False,92356.0
126,2021-12-29,276.12,279.36,275.74,278.42,1111685,22949,278.21455,277.845,True,True,50613.0
127,2021-12-30,279.56,280.65,276.37,277.25,1181370,25430,277.42704,277.71,False,False,58344.0
128,2021-12-31,277.32,278.73,276.01,276.22,1315182,20979,276.86507,277.96,True,False,28458.0
129,2022-01-03,273.5,274.41,267.0637,271.73,2620311,44353,270.501423,269.05,False,True,189744.0
130,2022-01-04,268.76,269.875,263.58,266.81,2339905,44834,266.445865,267.23,False,False,126452.0
131,2022-01-05,268.53,268.77,260.42,260.65,2999999,53481,263.12996,266.36,False,False,88731.0
132,2022-01-06,260.29,261.295,255.46,259.33,2856409,52895,258.593493,258.7,False,True,180860.0
133,2022-01-07,259.9,261.25,256.71,259.5,2241605,34961,259.347519,257.875,False,True,93686.0
134,2022-01-10,258.66,260.16,255.89,260.11,2564552,44732,257.99279,258.19,False,True,108137.0
135,2022-01-11,261.54,262.41,257.06,262.32,2294001,34529,260.493577,257.97,False,True,90433.0
136,2022-01-12,251.5,257.4376,250.97,255.92,6559775,96189,253.528011,253.83,True,True,746472.0
137,2022-01-13,254.24,255.5,248.55,249.67,3721235,59665,250.953814,251.16,False,False,300432.0
138,2022-01-14,250.15,250.54,242.9,244.12,2891248,55890,244.80351,248.37,False,False,149514.0
