,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,55.92,55.95,55.33,55.76,954783,13937,55.662269,55.55,True,True,29946.0
1,2021-07-01,55.9,56.59,55.59,56.27,1114455,13966,56.275049,55.955,True,True,16583.0
2,2021-07-02,56.22,56.47,56.01,56.42,916418,12168,56.315605,56.19,True,True,12926.0
3,2021-07-06,55.985,56.44,55.17,56.39,1277455,15900,56.086888,55.48,False,True,28710.0
4,2021-07-07,56.26,56.89,56.05,56.83,810482,11752,56.701801,56.63,True,True,19766.0
5,2021-07-08,56.73,57.14,56.49,56.84,763765,10981,56.818411,56.84,True,False,12105.0
6,2021-07-09,56.76,56.98,55.84,56.76,2101316,21443,56.547377,56.25,False,True,55781.0
7,2021-07-12,56.65,57.09,56.3,56.94,926898,11026,56.87178,56.96,False,False,31161.0
8,2021-07-13,56.89,56.99,56.28,56.53,830968,14360,56.656188,56.91,True,False,17819.0
9,2021-07-14,56.49,57.4,56.33,57.23,766420,11941,57.1285,56.79,True,True,15504.0
10,2021-07-15,57.04,57.85,56.93,57.81,966027,12076,57.484831,57.3,False,True,20252.0
11,2021-07-16,57.85,58.89,57.78,58.55,1076170,13786,58.534478,58.2,False,True,15651.0
12,2021-07-19,58.61,58.79,57.36,58.05,1461704,19785,57.965618,58.11,False,False,33254.0
13,2021-07-20,58.17,59.23,58.085,58.31,1161167,18758,58.480208,58.6,False,False,21250.0
14,2021-07-21,58.05,58.53,57.38,57.42,988987,14060,57.707009,58.34,True,False,20352.0
15,2021-07-22,57.5,57.815,57.17,57.56,993442,15021,57.501903,57.345,True,True,19891.0
16,2021-07-23,57.645,58.645,57.61,58.61,760978,13393,58.315049,57.93,False,True,20888.0
17,2021-07-26,58.64,58.89,58.065,58.6,769124,11013,58.536434,58.24,False,True,14649.0
18,2021-07-27,58.64,59.91,58.4,59.73,1028441,13900,59.55207,59.22,True,True,32123.0
19,2021-07-28,59.57,59.84,58.95,59.37,1221700,17123,59.330917,59.58,False,False,38849.0
20,2021-07-29,59.11,59.25,58.6,58.9,728857,12789,58.900737,58.74,False,True,14651.0
21,2021-07-30,58.94,59.43,58.45,58.53,930131,12907,58.766845,59.11,True,False,23511.0
22,2021-08-02,58.64,59.19,58.42,59.15,925114,15946,58.948863,58.875,True,True,32511.0
23,2021-08-03,59.08,60.03,59.035,59.98,1477002,19081,59.819342,59.74,True,True,59313.0
24,2021-08-04,59.78,60.0,59.03,59.93,1131507,13719,59.660985,59.52,True,True,46164.0
25,2021-08-05,60.095,60.545,59.71,60.47,1209450,15291,60.192819,60.0,True,True,33665.0
26,2021-08-06,59.32,61.215,59.29,60.8,1185077,16860,60.806043,60.82,True,False,22724.0
27,2021-08-09,61.2,61.2,60.37,60.69,746472,10835,60.629632,60.67,True,True,24880.0
28,2021-08-10,60.42,60.75,60.39,60.51,710229,11755,60.562471,60.63,True,False,28318.0
29,2021-08-11,60.6,61.16,60.445,60.83,831248,12254,60.812324,60.82,False,True,36876.0
30,2021-08-12,60.96,61.06,60.585,60.66,856069,11505,60.722872,60.86,True,False,16661.0
31,2021-08-13,60.66,61.13,60.66,61.07,830502,13658,61.016969,61.0,False,True,20078.0
32,2021-08-16,61.16,61.82,60.94,61.64,1088038,15204,61.472702,61.56,False,True,34105.0
33,2021-08-17,61.32,61.75,60.97,61.74,1015096,15045,61.508304,61.16,False,True,26508.0
34,2021-08-18,61.88,61.84,61.1,61.42,921989,14258,61.383268,61.48,False,False,20674.0
35,2021-08-19,61.54,61.815,61.27,61.48,932822,14200,61.54668,61.31,False,True,24448.0
36,2021-08-20,61.25,62.35,61.13,62.18,1179038,13750,62.11612,62.125,False,True,50225.0
37,2021-08-23,62.18,62.18,60.94,60.97,1104833,15916,61.210199,61.68,False,False,25608.0
38,2021-08-24,60.97,61.0243,60.15,60.66,999419,14997,60.665972,60.75,True,False,25532.0
39,2021-08-25,60.48,60.83,60.22,60.56,935744,13238,60.565576,60.42,False,True,30818.0
40,2021-08-26,60.54,60.74,60.22,60.59,851148,11793,60.514836,60.61,True,False,23344.0
41,2021-08-27,60.85,61.14,60.48,60.84,669351,12207,60.833738,60.85,False,False,12915.0
42,2021-08-30,60.7,61.05,60.59,60.89,579187,11089,60.88313,60.89,True,False,16566.0
43,2021-08-31,60.95,61.35,60.5,60.79,949701,14349,60.862081,61.25,True,False,19215.0
44,2021-09-01,60.99,61.95,60.74,61.64,918298,13274,61.479469,61.53,True,True,32836.0
45,2021-09-02,61.82,62.16,61.67,62.05,847657,11612,61.882624,61.78,False,True,17827.0
46,2021-09-03,61.95,62.02,61.415,61.47,681540,9639,61.668812,61.75,True,False,16974.0
47,2021-09-07,60.93,61.02,59.7,59.75,1218916,15043,60.103725,60.32,True,False,35512.0
48,2021-09-08,59.75,61.5,59.51,61.08,1243606,14309,61.057618,60.92,True,True,19425.0
49,2021-09-09,60.94,61.18,60.6,60.7,1058580,11202,60.814704,60.78,False,False,8608.0
50,2021-09-10,60.41,60.83,59.695,59.77,957572,11581,59.914918,59.85,False,False,31610.0
51,2021-09-13,60.29,60.42,59.25,59.43,822159,12436,59.610556,60.08,False,False,13194.0
52,2021-09-14,59.51,59.66,59.08,59.28,630699,11878,59.319402,59.62,True,False,16983.0
53,2021-09-15,59.01,59.73,58.91,59.27,892065,13116,59.346363,59.365,True,False,20498.0
54,2021-09-16,59.21,59.595,58.59,58.65,819596,11142,58.817006,58.89,True,False,15783.0
55,2021-09-17,58.33,58.97,57.64,57.83,2223539,13647,58.121543,58.36,False,False,25061.0
56,2021-09-20,57.93,58.38,57.31,57.9,1013801,15433,57.910874,58.11,False,False,28386.0
57,2021-09-21,57.9,58.45,57.46,57.52,669291,11389,57.768749,58.175,False,False,8716.0
58,2021-09-22,57.46,57.93,57.13,57.44,696096,10914,57.543048,57.64,False,False,16163.0
59,2021-09-23,57.35,57.98,57.185,57.25,629045,11034,57.500525,57.56,False,False,8092.0
60,2021-09-24,57.5,57.68,57.065,57.11,798225,11476,57.229092,57.1,False,True,14127.0
61,2021-09-27,57.1,57.67,56.14,56.2,1178187,16080,56.686778,57.53,True,False,46056.0
62,2021-09-28,56.14,56.33,55.54,55.81,1147845,16397,55.860109,56.13,False,False,36081.0
63,2021-09-29,56.03,56.9525,55.74,56.75,1171413,15971,56.60005,56.3,False,True,22134.0
64,2021-09-30,56.94,57.0,55.58,55.98,1277597,13179,56.23099,56.74,False,False,32221.0
65,2021-10-01,56.31,56.41,55.51,55.78,1125528,15917,55.964697,55.81,True,False,24760.0
66,2021-10-04,55.6,57.09,55.6,56.82,1212306,16061,56.649873,56.56,True,True,42087.0
67,2021-10-05,56.86,57.15,56.21,56.41,1302840,15903,56.491938,56.39,False,True,28268.0
68,2021-10-06,56.08,57.11,55.83,57.08,1020331,14057,56.673376,56.15,True,True,14151.0
69,2021-10-07,57.2,57.72,56.52,56.66,976438,11598,56.796204,57.23,False,False,10908.0
70,2021-10-08,56.5,56.6,55.84,55.96,888050,11525,56.147926,56.35,True,False,14475.0
71,2021-10-11,55.9,56.04,54.53,54.66,1474470,20154,54.890884,55.5,False,False,27276.0
72,2021-10-12,54.72,55.33,54.53,54.99,1166893,15294,55.006096,55.15,True,False,23926.0
73,2021-10-13,55.15,55.49,54.46,55.46,1117977,18467,55.158409,54.64,True,True,24296.0
74,2021-10-14,55.59,56.19,55.46,56.14,846056,10907,55.99632,55.63,False,True,21627.0
75,2021-10-15,56.08,56.22,55.64,55.77,950942,10838,55.875292,56.1,False,False,27221.0
76,2021-10-18,55.5,55.6,54.87,55.33,1032813,10594,55.378956,55.36,True,False,16731.0
77,2021-10-19,55.66,55.83,55.4,55.67,1169686,14208,55.648312,55.64,True,True,43654.0
78,2021-10-20,55.82,56.7601,55.79,56.45,1131272,13758,56.405814,56.33,False,True,53122.0
79,2021-10-21,56.67,56.81,56.395,56.75,781344,12303,56.68489,56.52,False,True,14614.0
80,2021-10-22,57.0,57.51,56.92,57.38,728086,10466,57.328358,57.18,True,True,7740.0
81,2021-10-25,57.2,57.32,56.45,56.5,676132,10428,56.702299,57.01,True,False,15708.0
82,2021-10-26,56.54,57.29,56.31,56.81,1489164,11373,56.824131,56.57,False,True,14377.0
83,2021-10-27,56.87,57.02,56.44,56.51,982626,12867,56.673294,56.78,True,False,33855.0
84,2021-10-28,56.49,56.9,56.31,56.84,643943,10211,56.7064,56.43,True,True,19935.0
85,2021-10-29,56.56,57.06,56.12,56.57,1362008,14322,56.528756,56.66,False,False,16138.0
86,2021-11-01,56.47,56.905,56.07,56.85,976242,12844,56.648936,56.26,True,True,63538.0
87,2021-11-02,57.16,57.22,56.48,57.08,1088773,10442,56.964691,56.57,False,True,17063.0
88,2021-11-03,57.1,57.53,56.13,56.43,957563,15736,56.49156,56.66,False,False,18527.0
89,2021-11-04,56.51,56.78,54.95,55.65,1421344,20208,55.6053,56.23,False,False,23173.0
90,2021-11-05,56.34,57.11,55.7,56.42,1867053,24483,56.458769,56.23,True,True,33589.0
91,2021-11-08,56.42,56.42,54.91,55.28,1319998,19636,55.279474,55.34,False,False,71457.0
92,2021-11-09,55.43,55.65,55.02,55.43,839766,13949,55.427744,55.22,False,True,36562.0
93,2021-11-10,55.72,56.12,55.46,56.08,946617,13719,55.92874,55.8494,True,True,32223.0
94,2021-11-11,55.82,56.0,54.8993,55.31,988920,16532,55.285043,55.82,False,False,29347.0
95,2021-11-12,55.26,55.445,54.9,55.29,829640,12482,55.259872,55.22,False,True,42014.0
96,2021-11-15,55.55,56.26,55.34,56.24,1340273,19647,55.934463,55.48,True,True,55518.0
97,2021-11-16,56.3,56.74,55.865,55.99,1365278,18890,56.111363,56.49,True,False,74102.0
98,2021-11-17,55.82,56.23,55.25,56.11,1318340,19140,55.90677,55.39,False,True,47207.0
99,2021-11-18,55.88,56.21,55.07,55.25,1333952,17382,55.322331,55.865,False,False,24844.0
100,2021-11-19,55.49,57.03,55.43,56.79,3358678,35547,56.414612,55.89,True,True,157845.0
101,2021-11-22,56.72,57.99,56.5,57.87,1516264,20486,57.613242,56.57,False,True,39688.0
102,2021-11-23,57.92,58.27,57.51,57.86,1134450,18087,57.931843,57.66,False,True,45310.0
103,2021-11-24,58.0,58.1,57.43,57.62,772579,13164,57.669849,57.79,False,False,27014.0
104,2021-11-26,57.49,57.79,56.52,56.74,636147,9927,56.945726,57.78,True,False,37633.0
105,2021-11-29,57.0,57.37,56.42,57.28,1043193,15360,57.101051,56.89,False,True,60517.0
106,2021-11-30,57.04,56.99,54.53,54.79,3430690,23085,55.12953,56.27,False,False,57842.0
107,2021-12-01,55.21,56.69,55.01,55.36,1283093,22987,55.759177,55.29,False,True,81283.0
108,2021-12-02,55.4,56.48,55.32,55.93,949554,14834,56.010006,55.68,True,True,43559.0
109,2021-12-03,56.32,57.03,55.53,56.94,1533595,17662,56.754196,56.07,False,True,35758.0
110,2021-12-06,57.54,58.72,57.43,57.93,981658,17937,58.060539,58.15,True,False,43368.0
111,2021-12-07,57.71,58.5,57.59,58.33,1044466,16043,58.279887,57.83,False,True,28006.0
112,2021-12-08,58.38,58.675,57.93,58.33,999670,15205,58.376587,58.41,True,False,35343.0
