,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,195.86,198.98,195.54,198.63,2589129,44617,198.088209,197.57,True,True,144767.0
1,2021-07-01,199.45,199.67,197.75,199.09,1851663,32041,198.837761,198.31,True,True,34725.0
2,2021-07-02,198.84,200.2927,197.94,199.89,1608201,30245,199.534344,198.83,True,True,23675.0
3,2021-07-06,197.0,197.78,194.76,196.89,2544364,44334,196.453998,195.165,True,True,111165.0
4,2021-07-07,196.46,200.06,196.13,199.86,1690988,34410,199.06786,198.23,True,True,43302.0
5,2021-07-08,198.1,199.55,197.3201,198.27,2161011,39494,198.257084,198.13,True,True,90876.0
6,2021-07-09,199.23,201.9,199.25,201.0,2439139,31127,200.988166,201.225,False,False,48366.0
7,2021-07-12,198.1,201.46,197.9,199.98,2161023,39097,199.801275,200.84,False,False,57633.0
8,2021-07-13,200.08,201.13,199.15,199.6,1679462,34374,199.803304,200.319,False,False,42883.0
9,2021-07-14,200.56,203.18,200.01,202.83,2449783,38385,202.380237,201.225,True,True,44263.0
10,2021-07-15,201.32,202.77,200.53,202.59,2132014,40290,201.855209,201.93,True,True,69615.0
11,2021-07-16,202.86,203.21,198.91,199.37,2468373,34414,200.099502,199.76,False,False,480863.0
12,2021-07-19,197.17,198.54,195.11,197.56,3121713,53444,196.780237,196.49,False,True,98984.0
13,2021-07-20,198.23,202.22,198.07,200.82,2769744,49162,200.960723,202.04,True,False,81473.0
14,2021-07-21,201.39,202.88,199.96,200.77,1993630,38529,200.726209,200.66,False,True,52121.0
15,2021-07-22,201.25,201.65,198.6776,199.07,1699277,37172,199.310033,198.99,False,True,50100.0
16,2021-07-23,199.61,201.0386,198.94,200.49,1567983,32674,200.14113,199.6,True,True,36279.0
17,2021-07-26,201.0,202.74,199.93,201.67,2406715,46056,201.635325,200.265,False,True,55509.0
18,2021-07-27,198.0,201.06,194.91,200.47,2998605,56566,199.068872,199.44,True,True,107439.0
19,2021-07-28,199.35,200.37,198.1,198.28,2131911,36535,198.678832,199.3701,True,False,51263.0
20,2021-07-29,199.47,200.0,197.94,198.17,2114428,35844,198.473894,198.81,True,False,42657.0
21,2021-07-30,198.05,199.24,197.2,197.94,1906153,32797,198.011591,197.7808,False,True,49971.0
22,2021-08-02,199.04,200.7,197.435,197.52,1325887,31938,198.265059,198.71,False,False,26733.0
23,2021-08-03,198.365,202.21,197.4,201.03,2198673,41345,200.670513,200.72,True,True,160318.0
24,2021-08-04,200.43,200.81,197.2,197.53,2052508,37629,198.101872,198.636,False,False,50879.0
25,2021-08-05,198.5,199.12,197.285,197.8,1574228,29635,197.872028,198.09,True,False,31350.0
26,2021-08-06,198.36,199.25,197.55,198.13,1115015,26230,198.13159,198.68,False,False,25485.0
27,2021-08-09,197.9,198.1493,196.78,197.43,1191103,27602,197.412849,197.1975,True,True,41343.0
28,2021-08-10,198.0,199.49,197.7,199.25,1595708,30786,199.044866,198.98,True,True,43370.0
29,2021-08-11,199.78,201.77,199.31,201.57,2215751,30878,201.287674,200.68,True,True,34383.0
30,2021-08-12,201.61,202.3728,200.36,201.43,1231659,24532,201.21727,200.78,False,True,21381.0
31,2021-08-13,201.11,201.7102,200.29,200.58,1907691,29584,201.047749,201.227,False,False,30974.0
32,2021-08-16,201.19,202.77,200.38,202.32,1605641,33856,202.13953,202.4817,True,False,47108.0
33,2021-08-17,201.79,202.0,197.6,199.55,2281785,49890,199.037158,199.08,False,True,77191.0
34,2021-08-18,198.6,198.81,196.31,196.51,2104661,41341,197.211258,197.61,False,False,61843.0
35,2021-08-19,195.0,196.23,194.307,195.36,2302836,42277,195.364915,194.35,False,True,59509.0
36,2021-08-20,194.48,195.13,193.365,194.16,2391998,39903,194.129762,193.835,False,True,63079.0
37,2021-08-23,195.0,196.24,193.68,194.68,1969790,35196,195.000678,195.26,True,False,49617.0
38,2021-08-24,195.0,196.1,194.34,194.75,1391013,30372,194.955081,195.79,False,False,34283.0
39,2021-08-25,194.91,195.05,192.72,194.34,1609972,30010,194.276967,194.75,True,False,38574.0
40,2021-08-26,194.14,195.39,193.66,195.32,1448815,29544,194.783117,194.39,False,True,37518.0
41,2021-08-27,196.03,196.66,194.12,195.05,2141802,34441,195.19953,195.5828,False,False,49655.0
