,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,33.59,33.905,33.23,33.29,2478746,18278,33.386845,33.595,True,False,40282.0
1,2021-07-01,33.28,33.71,33.055,33.31,2766766,19379,33.405622,33.37,True,False,69514.0
2,2021-07-02,33.55,33.73,33.18,33.41,2753999,17569,33.395573,33.24,False,True,49241.0
3,2021-07-06,33.22,34.11,33.05,33.97,4571280,25516,33.794905,33.515,True,True,84558.0
4,2021-07-07,33.93,34.5,33.67,34.34,4524561,36114,34.316518,34.267,True,True,125499.0
5,2021-07-08,34.07,34.41,33.925,34.18,3505740,21926,34.150579,34.3,True,False,110140.0
6,2021-07-09,34.21,34.765,34.14,34.76,1911732,13957,34.522562,34.4,False,True,41492.0
7,2021-07-12,34.63,35.09,34.42,34.99,2129026,18440,34.933029,34.99,True,False,54694.0
8,2021-07-13,34.88,34.9,34.27,34.48,2279469,16936,34.530881,34.79,False,False,28978.0
9,2021-07-14,34.49,35.165,34.39,34.97,2819770,23448,34.95082,34.85,True,True,39672.0
10,2021-07-15,34.93,35.3,34.79,35.28,2243546,16545,35.113118,34.8,False,True,62790.0
11,2021-07-16,35.46,36.65,35.41,35.56,3156648,18751,35.585109,35.48,False,True,87196.0
12,2021-07-19,35.14,35.31,34.535,34.94,3921694,31656,34.862107,34.99,True,False,65215.0
13,2021-07-20,35.11,36.16,34.98,36.0,3273664,22264,35.944787,35.68,True,True,66888.0
14,2021-07-21,35.97,36.37,35.8,36.13,2720442,18747,36.169139,36.3,True,False,60336.0
15,2021-07-22,35.93,36.115,35.71,36.06,2976042,19309,36.001327,35.99,True,True,82816.0
16,2021-07-23,36.28,36.47,36.03,36.27,2738087,20087,36.206922,36.1,True,True,120616.0
17,2021-07-26,36.16,36.46,35.94,36.39,3727507,24836,36.273768,36.16,False,True,87550.0
18,2021-07-27,36.35,37.12,36.11,36.97,3139939,22690,36.856385,36.57,False,True,61197.0
19,2021-07-28,36.92,37.07,36.67,36.84,2973055,22537,36.855177,36.81,True,True,72165.0
20,2021-07-29,36.91,37.21,36.86,37.14,3479073,20585,37.085475,37.075,True,True,120961.0
21,2021-07-30,37.31,37.69,36.86,36.97,4644946,24328,37.056195,37.33,False,False,74431.0
22,2021-08-02,37.13,37.32,36.62,36.66,2787765,23464,36.851892,36.95,False,False,62346.0
23,2021-08-03,36.67,36.81,36.36,36.74,2711666,25502,36.657696,36.48,True,True,73206.0
24,2021-08-04,36.66,37.44,36.45,36.95,3126306,21095,37.021559,37.03,False,False,203558.0
25,2021-08-05,37.21,37.37,36.855,37.36,4246021,22733,37.217802,37.085,True,True,219536.0
26,2021-08-06,37.16,37.27,36.255,36.35,2747430,19232,36.532336,36.635,False,False,43164.0
27,2021-08-09,36.24,36.41,36.02,36.14,3235294,22143,36.163419,36.25,True,False,124302.0
28,2021-08-10,36.12,36.21,35.34,35.37,5097099,25470,35.569177,35.98,True,False,82170.0
29,2021-08-11,35.48,35.67,35.17,35.23,3860177,21932,35.293824,35.48,False,False,66214.0
30,2021-08-12,35.28,35.46,34.985,35.2,2081556,21066,35.129761,35.105,True,True,67833.0
