,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,72.62,73.1,72.29,72.81,6421272,51152,72.791936,72.7,False,True,154301.0
1,2021-07-01,73.44,73.64,72.94,73.57,4395693,39402,73.342985,73.26,True,True,89686.0
2,2021-07-02,73.24,73.33,71.6121,72.8,6099366,55883,72.442739,72.01,True,True,151144.0
3,2021-07-06,72.59,72.61,70.67,70.77,7675873,64136,71.027426,71.24,True,False,219454.0
4,2021-07-07,70.38,70.64,68.865,70.07,9818658,74083,69.953332,69.02,False,True,468916.0
5,2021-07-08,67.58,68.88,67.33,67.94,10879701,89683,68.05232,67.9,False,True,465133.0
6,2021-07-09,69.21,70.59,68.52,70.55,10303694,73686,70.014339,69.44,False,True,383720.0
7,2021-07-12,70.02,72.01,69.74,71.71,6186609,53693,71.524715,71.27,True,True,128619.0
8,2021-07-13,71.59,72.1,70.96,71.82,7463112,67084,71.690026,71.335,True,True,222479.0
9,2021-07-14,71.415,72.11,69.96,70.2,7550995,52353,70.415725,70.59,False,False,206765.0
10,2021-07-15,69.74,71.56,69.3604,70.55,5705360,56721,70.642937,70.88,False,False,137266.0
11,2021-07-16,70.5,70.65,68.3,68.89,10443726,67714,68.857193,68.7,True,True,216654.0
12,2021-07-19,67.54,68.115,66.2,66.68,8870921,79765,66.960074,67.23,True,False,230116.0
13,2021-07-20,66.26,68.26,65.73,67.94,5819506,52196,67.760866,67.68,False,True,226292.0
14,2021-07-21,68.79,70.01,68.42,69.56,5746150,49581,69.631041,69.44,True,True,229812.0
15,2021-07-22,69.45,69.67,67.14,67.25,8200033,61880,67.605131,68.48,True,False,158683.0
16,2021-07-23,67.63,68.41,67.245,67.91,6047153,50950,67.772884,67.81,True,True,136362.0
17,2021-07-26,67.92,68.63,67.65,68.04,5830389,35219,68.013642,67.855,False,True,124190.0
18,2021-07-27,67.61,67.821,66.6,67.37,3875622,40682,67.262873,67.56,False,False,91940.0
19,2021-07-28,67.9,68.335,67.1295,67.85,5189845,48465,67.887882,67.53,True,True,102650.0
20,2021-07-29,68.47,69.28,67.75,68.57,4462050,46184,68.725131,68.845,True,False,126605.0
21,2021-07-30,68.44,69.12,67.76,67.95,4070838,32747,68.167414,68.58,False,False,81462.0
22,2021-08-02,68.35,69.71,67.62,67.74,4919363,54763,68.287425,69.28,True,False,87545.0
23,2021-08-03,68.04,68.24,66.16,67.41,4831282,42995,67.183125,66.91,True,True,161350.0
24,2021-08-04,66.53,68.31,66.5,67.67,4602312,42959,67.78931,67.99,False,False,156071.0
25,2021-08-05,68.1,69.7,68.01,69.3,4812197,44846,69.237957,69.58,True,False,201004.0
26,2021-08-06,70.3,72.45,70.06,71.93,9355539,89920,71.615841,70.81,True,True,190973.0
27,2021-08-09,71.73,74.1,71.4,73.42,6072988,55735,73.275324,72.74,True,True,237220.0
28,2021-08-10,73.1,74.99,72.92,74.53,5774148,57387,74.361678,74.03,False,True,325582.0
29,2021-08-11,74.77,75.39,74.08,74.81,6272225,52310,74.830809,75.33,True,False,265522.0
30,2021-08-12,74.68,75.5,74.36,75.42,3423965,37967,75.089378,74.72,False,True,140315.0
31,2021-08-13,75.39,75.42,73.45,74.01,3549428,39172,74.033061,74.1,False,False,125579.0
32,2021-08-16,73.6,73.78,72.12,73.26,3791411,38594,72.873703,72.57,True,True,132315.0
33,2021-08-17,72.77,72.99,71.6,72.5,5475809,46199,72.418615,72.6709,False,False,182376.0
34,2021-08-18,72.36,73.46,71.92,72.0,5818749,28495,72.371727,73.05,False,False,60494.0
35,2021-08-19,70.8,71.835,70.1414,71.06,3290772,36951,71.016847,71.0,False,True,74023.0
36,2021-08-20,70.76,72.105,70.71,71.97,3250827,33888,71.740397,71.18,False,True,72104.0
37,2021-08-23,72.42,72.74,72.05,72.3,3983483,30023,72.371681,72.26,True,True,125232.0
38,2021-08-24,72.44,74.34,72.3,74.15,5294388,40101,73.79607,73.24,True,True,73067.0
39,2021-08-25,74.32,75.4,74.01,74.58,4751631,46019,74.751688,74.971,True,False,236564.0
40,2021-08-26,74.81,75.2,73.63,73.65,3223111,36593,74.14247,74.3,False,False,75973.0
41,2021-08-27,73.85,75.9,73.735,75.84,4680901,45487,75.448848,75.0,True,True,246631.0
42,2021-08-30,75.85,76.0,73.33,73.44,9730754,75191,74.183405,74.99,True,False,105470.0
43,2021-08-31,73.305,73.6,71.96,72.85,7441413,64943,72.798227,72.77,True,True,223352.0
44,2021-09-01,72.87,73.565,71.765,73.2,4599908,50300,72.978357,72.71,True,True,139261.0
45,2021-09-02,73.57,73.72,72.58,72.91,3413632,32936,73.070278,73.56,True,False,98013.0
46,2021-09-03,72.95,73.55,72.05,72.09,3348980,35638,72.351671,72.54,False,False,90202.0
47,2021-09-07,71.57,72.425,71.021,72.08,4127953,42385,72.082094,71.97,False,True,138678.0
48,2021-09-08,71.9,72.35,71.3087,71.56,2933186,36003,71.687333,71.53,False,True,86901.0
49,2021-09-09,71.73,73.77,71.3,72.33,4547127,42395,72.738234,73.42,True,False,180639.0
50,2021-09-10,72.85,72.98,71.38,71.44,4101844,36155,71.735118,71.81,False,False,92538.0
51,2021-09-13,72.13,72.25,70.84,71.89,3174972,41963,71.621597,71.63,True,True,79936.0
52,2021-09-14,71.87,72.19,69.13,69.73,5562394,59267,69.859333,69.66,False,True,324518.0
53,2021-09-15,69.8,71.39,69.43,71.15,4242706,41421,70.888853,70.29,False,True,114019.0
54,2021-09-16,71.36,71.96,70.37,70.78,3052822,35996,70.84827,70.835,True,False,80500.0
55,2021-09-17,70.45,70.9299,69.82,70.43,10255911,47507,70.360669,70.04,False,True,158747.0
56,2021-09-20,68.51,68.97,67.3101,68.8,5829355,58682,68.288665,68.38,True,True,141945.0
57,2021-09-21,69.27,69.42,68.125,68.44,4238922,36897,68.817546,68.61,False,False,103030.0
58,2021-09-22,69.36,71.11,69.08,70.4,4939218,50729,70.53588,70.41,True,False,133033.0
59,2021-09-23,71.06,74.415,71.04,74.3,5835450,54497,73.766752,72.555,True,True,168176.0
60,2021-09-24,74.12,75.94,73.94,75.59,6429134,63703,75.540171,75.09,True,True,211879.0
61,2021-09-27,76.0,77.68,75.94,77.38,6568171,60563,77.230745,77.2,True,True,148054.0
62,2021-09-28,77.63,77.965,75.44,76.18,8719567,79105,76.369872,77.0,True,False,256365.0
63,2021-09-29,76.22,76.5,74.73,75.38,6015219,56246,75.385485,75.31,True,True,300198.0
64,2021-09-30,75.83,75.97,72.77,72.84,6993491,65511,73.544807,74.89,True,False,326682.0
65,2021-10-01,73.05,74.94,72.05,74.42,4798016,53173,73.963993,72.62,False,True,137716.0
66,2021-10-04,74.175,75.12,72.92,73.23,5881829,54446,73.512157,74.24,True,False,117997.0
67,2021-10-05,74.13,76.56,73.66,75.9,7797422,61798,75.982926,76.34,True,False,622094.0
68,2021-10-06,75.08,76.11,73.97,75.71,5675884,51741,75.301761,74.2,False,True,150177.0
69,2021-10-07,76.43,77.75,76.235,76.39,4546831,50675,76.787417,77.415,False,False,91123.0
70,2021-10-08,76.64,77.86,76.19,77.34,3455277,39739,77.321498,77.51,False,False,141842.0
71,2021-10-11,77.76,78.945,76.55,76.61,4211525,48517,77.513211,78.38,False,False,74378.0
72,2021-10-12,76.65,77.92,76.35,77.27,6093462,58380,77.288648,77.36,True,False,154074.0
73,2021-10-13,77.565,77.72,74.92,76.27,6020857,58311,75.984811,75.74,True,True,156304.0
74,2021-10-14,77.18,78.38,76.64,78.11,4789578,53817,77.914455,77.51,False,True,163968.0
75,2021-10-15,79.5,81.0,78.3601,80.9,8937517,71582,80.387643,80.2,True,True,244214.0
76,2021-10-18,80.88,81.24,79.71,80.55,6273669,49037,80.467778,81.22,True,False,163407.0
77,2021-10-19,80.58,81.63,80.23,81.54,5304367,52377,81.045636,80.76,False,True,181805.0
78,2021-10-20,81.01,81.81,80.58,81.59,6104021,53392,81.299869,81.46,False,True,216332.0
79,2021-10-21,81.43,82.57,80.74,82.24,5903399,54615,82.046638,82.12,True,True,120920.0
80,2021-10-22,82.36,83.74,82.26,83.55,5627373,54206,83.230461,83.31,False,True,188797.0
81,2021-10-25,83.785,84.01,82.85,82.89,4160991,39179,83.195819,83.53,True,False,96343.0
82,2021-10-26,83.4,84.49,83.02,83.06,6301505,49940,83.528779,84.14,True,False,116393.0
83,2021-10-27,82.42,83.73,81.09,81.15,6467752,63840,82.042194,83.19,True,False,162810.0
84,2021-10-28,81.67,82.4,81.34,81.99,3525443,38076,81.885735,82.06,False,False,108160.0
85,2021-10-29,82.19,82.71,81.74,82.03,4360140,40114,82.150811,82.03,False,False,127985.0
86,2021-11-01,82.5,82.78,81.41,81.87,4051865,41259,81.898522,81.98,True,False,84526.0
87,2021-11-02,81.74,82.52,81.38,81.77,3681747,36963,81.93887,82.32,False,False,127492.0
88,2021-11-03,81.7,83.85,81.51,83.33,7047625,61748,82.987023,82.515,True,True,185360.0
89,2021-11-04,83.12,83.125,80.31,81.45,5782638,59572,81.302902,81.77,False,False,287761.0
90,2021-11-05,82.02,82.96,80.82,81.15,4106079,40602,81.541235,82.52,False,False,140903.0
91,2021-11-08,81.57,82.66,81.38,81.68,3419775,27161,81.765017,82.15,True,False,149766.0
