,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,62.67,63.23,62.45,63.08,17870264,103911,62.953821,62.97,True,True,804989.0
1,2021-07-01,64.19,64.42,62.77,63.26,22481932,140347,63.383711,63.37,False,False,878982.0
2,2021-07-02,62.78,63.32,62.421,63.17,14542494,92813,62.957894,62.83,False,True,478662.0
3,2021-07-06,62.67,62.76,60.9,61.37,22092827,156991,61.584711,61.78,False,False,872401.0
4,2021-07-07,61.35,61.81,59.62,60.41,21638665,158272,60.398243,59.76,True,True,1380204.0
5,2021-07-08,59.64,60.705,59.31,60.14,18875828,135946,60.038981,60.12,True,True,736013.0
6,2021-07-09,60.59,61.45,60.2375,61.23,20025082,111592,61.057602,61.34,True,False,1010247.0
7,2021-07-12,60.37,61.5,60.16,61.17,21793642,98240,61.07481,61.18,True,False,619910.0
8,2021-07-13,61.0,61.51,60.5099,60.88,17089127,99615,60.974501,60.6,False,True,492601.0
9,2021-07-14,61.28,61.73,59.355,59.53,21508947,136973,60.053357,60.56,False,False,539048.0
10,2021-07-15,59.16,59.7,58.765,58.95,15803944,110701,59.124021,59.055,False,False,616596.0
11,2021-07-16,59.18,59.26,57.15,57.32,26975980,157200,57.784966,57.7298,False,False,1179987.0
12,2021-07-19,55.5,56.2,54.595,55.35,37735201,235876,55.113839,55.2469,True,True,1542553.0
13,2021-07-20,55.43,56.6,55.03,55.96,26644321,169130,55.991951,56.085,False,False,1232835.0
14,2021-07-21,56.85,58.3,56.83,57.76,20837454,131330,57.721269,57.45,True,True,717093.0
15,2021-07-22,57.44,57.7397,56.66,57.11,13471339,92181,57.119268,56.92,False,True,401722.0
16,2021-07-23,56.89,57.29,56.47,57.04,14057144,95510,56.951777,56.9914,True,True,507822.0
17,2021-07-26,57.58,58.65,57.0,58.48,18355313,109677,58.209443,57.99,False,True,911866.0
18,2021-07-27,57.72,58.01,57.205,57.83,16854428,111100,57.639469,57.74,True,True,491337.0
19,2021-07-28,58.04,58.625,57.62,58.22,16766399,114474,58.141063,57.67,False,True,559412.0
20,2021-07-29,59.01,59.33,58.56,58.93,18573186,124481,58.936042,58.92,True,True,822608.0
21,2021-07-30,58.81,58.88,57.32,57.57,28620511,162308,57.727976,57.7,False,False,1057383.0
22,2021-08-02,57.42,59.06,57.4,57.58,20806570,144110,58.011578,58.405,False,False,919386.0
23,2021-08-03,57.83,58.41,56.9299,58.2,18165343,120039,57.911788,57.79,True,True,792021.0
24,2021-08-04,57.2,57.875,56.81,56.84,20820531,135061,57.152078,57.6,False,False,907792.0
25,2021-08-05,57.38,57.7,56.83,57.2,15170140,100276,57.326574,57.435,False,False,765161.0
26,2021-08-06,57.72,58.07,57.53,57.86,14877229,92434,57.824565,57.73,False,True,428526.0
27,2021-08-09,57.19,57.52,56.83,57.2,17814923,101390,57.275778,56.99,True,True,819319.0
28,2021-08-10,57.34,58.36,57.3,58.18,16309337,102820,58.081077,58.02,False,True,790965.0
29,2021-08-11,58.18,58.5,57.72,58.35,18256973,101527,58.187736,57.955,False,True,582543.0
30,2021-08-12,57.44,57.79,56.87,57.35,19222947,88423,57.193253,57.155,True,True,694652.0
31,2021-08-13,57.0,57.07,56.3,56.77,20040684,107201,56.745719,56.5246,True,True,1019197.0
32,2021-08-16,56.0,56.09,55.2738,55.94,16932362,104885,55.879699,55.75,True,True,645083.0
33,2021-08-17,55.4,56.2967,54.995,55.56,16216027,108113,55.565518,56.13,False,False,440081.0
34,2021-08-18,55.42,55.805,54.31,54.39,21871363,123834,55.075161,55.2831,True,False,1834954.0
35,2021-08-19,53.46,53.705,52.1,52.73,30818953,199451,52.759266,52.58,False,True,1338027.0
36,2021-08-20,52.18,53.135,52.11,52.74,16874778,114814,52.693043,52.5,False,True,644755.0
37,2021-08-23,54.08,55.06,53.95,54.91,21621148,133074,54.711786,54.4762,False,True,799022.0
38,2021-08-24,55.46,55.85,55.01,55.36,17916170,92546,55.367861,55.275,False,True,355840.0
39,2021-08-25,55.2,55.77,54.8701,55.46,13267267,76655,55.470602,55.46,True,False,397597.0
40,2021-08-26,55.28,55.54,54.625,54.71,11799130,76759,55.001625,55.16,False,False,497814.0
41,2021-08-27,55.5,56.2139,55.4,55.77,15767517,103254,55.845229,55.96,True,False,756383.0
42,2021-08-30,56.2,56.34,55.12,55.16,14077327,91487,55.514267,55.54,True,False,369368.0
43,2021-08-31,55.07,55.31,54.46,54.52,27088989,128177,54.794198,55.06,False,False,854280.0
44,2021-09-01,54.51,54.755,53.6,53.77,21541547,139776,53.98129,54.12,True,False,859210.0
45,2021-09-02,54.31,55.64,54.27,55.08,23280075,149691,55.146345,55.5599,True,False,849418.0
46,2021-09-03,55.05,55.32,54.595,54.87,13860212,88304,54.911107,54.9,False,False,475831.0
47,2021-09-07,54.68,55.27,54.47,54.55,14341315,97725,54.706095,54.695,False,False,500143.0
48,2021-09-08,55.01,55.18,54.01,54.05,18662450,119342,54.429817,54.397,False,False,806743.0
49,2021-09-09,53.65,55.0,53.3,54.09,19709655,124309,54.244915,54.8501,True,False,1151521.0
50,2021-09-10,55.23,55.23,53.95,53.98,15096740,98165,54.314961,54.1139,False,False,582460.0
51,2021-09-13,54.88,55.925,54.62,55.37,22027077,140420,55.396809,55.8787,True,False,1189876.0
52,2021-09-14,55.61,55.77,54.41,54.58,19904166,112393,54.831263,54.77,False,False,803510.0
53,2021-09-15,55.33,56.534,55.31,56.42,23200648,154695,56.202951,55.98,False,True,928097.0
54,2021-09-16,56.42,56.46,55.5,55.82,17897493,114359,55.874297,55.7201,False,True,593084.0
55,2021-09-17,56.75,56.75,55.1,55.16,30021006,119744,55.527072,55.4,False,False,684940.0
56,2021-09-20,53.83,54.17,52.96,53.69,27480571,170061,53.562206,53.99,True,False,935488.0
57,2021-09-21,54.49,54.51,53.25,53.64,19670942,126409,53.795641,53.505,False,True,641472.0
58,2021-09-22,54.5,55.905,54.37,55.21,25442654,158659,55.351003,55.12,True,True,899687.0
59,2021-09-23,55.37,57.2399,55.28,57.08,22949952,137631,56.785399,56.51,True,True,707110.0
60,2021-09-24,56.75,57.82,56.68,57.59,22278682,124681,57.45495,57.53,True,True,946787.0
61,2021-09-27,59.0,59.8,58.82,59.3,32906574,198604,59.364622,59.0967,False,True,1022313.0
62,2021-09-28,60.0,60.48,59.51,59.92,37465719,238827,60.002269,60.39,True,False,1699260.0
