,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,63.27,63.49,62.59,63.26,908503,12091,63.080447,62.845,True,True,16578.0
1,2021-07-01,63.71,64.38,63.49,64.03,1134484,16796,64.040179,63.68,True,True,23337.0
2,2021-07-02,64.16,64.09,63.26,63.89,912970,11758,63.734911,63.47,True,True,18686.0
3,2021-07-06,63.76,63.98,62.52,63.09,1200727,14579,62.989527,63.07,True,True,20662.0
4,2021-07-07,62.8,63.705,62.585,63.63,920189,13050,63.294989,62.735,True,True,42352.0
5,2021-07-08,63.05,63.61,61.65,61.91,1295065,16061,62.020809,62.0,True,False,48891.0
6,2021-07-09,62.55,62.74,62.12,62.42,1020716,13246,62.41932,62.57,False,False,22767.0
7,2021-07-12,61.93,62.96,61.76,62.71,729895,12099,62.685714,62.61,False,True,25968.0
8,2021-07-13,62.54,62.675,61.78,62.0,760335,11967,62.131596,62.0399,False,False,13511.0
9,2021-07-14,62.17,62.59,61.89,62.16,770069,12899,62.225701,62.19,False,False,15099.0
10,2021-07-15,61.95,62.475,61.6,61.8,1102101,15151,61.93395,62.12,True,False,31980.0
11,2021-07-16,61.71,61.8,60.7,61.16,1215236,14386,61.121771,60.775,False,True,65960.0
12,2021-07-19,60.45,60.82,59.77,60.69,2301875,22790,60.453946,60.34,True,True,32769.0
13,2021-07-20,61.03,63.25,60.81,62.58,1683522,20656,62.625313,62.675,True,False,78498.0
14,2021-07-21,62.93,63.965,62.93,63.76,1235175,17710,63.717634,63.75,True,True,52397.0
15,2021-07-22,63.55,63.85,62.83,63.3,845493,13045,63.263001,63.195,True,True,22427.0
16,2021-07-23,63.08,63.72,63.04,63.59,655425,8866,63.506563,63.44,True,True,10807.0
17,2021-07-26,63.08,63.89,63.08,63.63,749170,9451,63.563707,63.36,False,True,34224.0
18,2021-07-27,63.78,65.13,63.48,64.8,1331462,16483,64.78823,64.83,True,False,45750.0
19,2021-07-28,64.58,65.21,64.46,65.16,1323303,14827,64.945055,64.81,True,True,26792.0
20,2021-07-29,65.55,65.8,64.93,65.4,884577,15444,65.33666,65.2,True,True,40264.0
21,2021-07-30,65.25,66.54,65.15,66.04,1252271,14137,66.165697,66.05,True,False,49157.0
22,2021-08-02,66.27,66.98,66.05,66.71,1244459,15207,66.725925,66.92,True,False,33768.0
23,2021-08-03,66.86,66.88,64.93,65.34,1912171,20386,65.438413,65.84,True,False,58005.0
24,2021-08-04,65.0,65.185,63.58,64.3,2338229,26086,64.239791,64.285,False,True,106034.0
25,2021-08-05,60.91,62.07,58.17,59.75,5219955,45587,59.507335,58.67,False,True,145879.0
26,2021-08-06,60.08,61.03,59.2,60.29,1741031,20447,60.39248,60.05,True,True,44281.0
27,2021-08-09,60.19,60.5,59.35,59.53,1844022,15811,59.618993,59.85,False,False,37430.0
28,2021-08-10,59.53,59.555,57.62,58.25,1639031,17966,58.266294,58.12,False,True,91320.0
29,2021-08-11,58.49,58.93,58.19,58.9,735024,12647,58.745185,58.59,True,True,19427.0
30,2021-08-12,58.99,59.29,58.64,59.0,603023,10369,59.006006,58.85,True,True,10397.0
31,2021-08-13,58.83,59.5998,58.35,58.69,938622,12731,58.685612,58.76,True,False,23693.0
32,2021-08-16,58.82,60.56,58.31,60.55,1292850,15469,60.006528,59.34,True,True,22558.0
33,2021-08-17,60.13,61.14,60.06,61.13,1234609,13370,60.677311,60.34,False,True,92481.0
34,2021-08-18,60.97,61.21,60.21,60.23,839254,13562,60.692082,61.015,True,False,26708.0
35,2021-08-19,60.07,60.56,59.64,59.88,868249,13044,59.999755,60.03,False,False,32382.0
36,2021-08-20,59.55,60.175,59.42,59.86,840685,13277,59.809871,60.04,False,False,39718.0
37,2021-08-23,59.95,60.23,59.37,60.01,832398,13413,59.748038,59.46,False,True,35391.0
38,2021-08-24,60.27,61.04,60.06,60.57,831395,14081,60.612333,60.505,True,True,17390.0
39,2021-08-25,60.46,60.69,60.03,60.61,683767,9894,60.494357,60.44,True,True,10445.0
40,2021-08-26,60.42,60.64,60.13,60.39,793173,12364,60.317006,60.34,False,True,12834.0
41,2021-08-27,60.62,62.11,60.41,62.09,1136643,13070,61.756749,61.47,True,True,87107.0
42,2021-08-30,62.2,62.79,61.16,61.28,1314185,12734,61.613435,62.56,True,False,17224.0
43,2021-08-31,61.3,61.89,60.93,61.7,1587955,16616,61.534013,61.24,False,True,46635.0
44,2021-09-01,61.86,62.225,60.72,61.43,964564,12535,61.322391,60.84,False,True,78191.0
45,2021-09-02,61.78,62.65,61.7,62.33,925478,12248,62.327738,62.19,False,True,25918.0
46,2021-09-03,62.1,62.61,61.78,62.43,860647,9529,62.304325,62.09,False,True,12487.0
47,2021-09-07,62.43,62.52,61.095,62.17,828121,11611,61.907578,61.65,False,True,28518.0
48,2021-09-08,61.9,62.38,61.67,62.31,686878,10231,62.151574,61.745,False,True,16912.0
49,2021-09-09,62.29,62.995,62.22,62.46,683212,9932,62.575089,62.71,False,False,17903.0
50,2021-09-10,62.61,62.795,60.78,60.89,999915,13093,61.282043,61.94,False,False,21264.0
51,2021-09-13,61.49,61.919,60.48,61.81,1104752,14482,61.382745,60.89,True,True,29961.0
52,2021-09-14,62.19,62.71,61.77,61.83,1141471,13788,62.074832,62.08,True,False,32720.0
53,2021-09-15,61.98,62.57,61.41,62.29,1984668,16514,61.977253,61.8,False,True,17207.0
54,2021-09-16,62.64,63.1,61.96,62.21,1080816,10579,62.30926,62.35,True,False,15692.0
55,2021-09-17,62.13,62.6,60.895,61.23,1618112,13035,61.409335,61.82,False,False,34879.0
56,2021-09-20,60.3,60.46,58.85,59.65,1154133,14162,59.51034,59.59,False,True,18494.0
57,2021-09-21,60.06,60.24,59.27,59.28,703887,11503,59.588332,59.76,False,False,16411.0
58,2021-09-22,59.53,60.24,58.92,59.74,983250,15712,59.859987,59.715,False,True,23776.0
59,2021-09-23,59.74,60.5,59.38,59.6,846781,12454,59.88641,60.18,False,False,22661.0
60,2021-09-24,59.53,60.21,59.18,60.01,737727,10015,59.91004,59.76,False,True,25856.0
61,2021-09-27,59.93,61.18,59.89,60.73,1033297,11656,60.711978,61.09,True,False,18738.0
62,2021-09-28,60.91,60.915,58.6899,59.14,892469,14107,59.295898,59.605,False,False,31147.0
